,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u377577,Анониим,Где учиться на психолога ? ,"Здравствуйте,данная серия вопросов возникла в связи с будущим выбором профессии.предполагается, что понравится работать психологом.1. как узнать подойдет ли профессия психолога? какими качествами нужно обладать психологу? можно ли например поприсутствовать / поучаствовать на онлайн сеансе с профессиональным психологом, чтобы понаблюдать как он работает с пациентом и почувствовать понравится или нет данная профессия. может быть самому попробовать бесплатно помочь кому-то? это помогло бы понять стиль жизни и принять правильное решение, стоит ли учиться и делать карьеру психолога.2. более детально о карьере. имеет ли смысл учиться на психиатра и потом переквалифицироваться на психолога? есть ли в этом плюсы? какие? насколько сложней учиться?психолог или психотерапевт? как лучше построить карьеру? какие направления психологии сейчас актуальны? как найти свое и найти себя?3. где учиться? какие учебные заведения порекомендуете? можно ли учиться дистанционно, чтобы получить признанный государством диплом? можно ли учиться на английском? сколько нужно денег на учебу? буду рад любым советам и ссылкам на учебные заведения где качественно и интересно учат и бюджетный вариант, так как денег много нет. (на английском учиться легче, чем на русском)4. сколько зарабатывает в среднем в месяц психолог/психотерапевт: - начинающий, - средний, - успешный. от чего зависит успех и как стать успешным психологом? с чего начать? можно ли уже работать по профессии во время учебы? кем и с кем?5. работа из дома. насколько актуальна для психолога тема работа из дома. каковы плюсы и минусы? насколько реально организовать работу чтобы она стала полностью дистанционной? к каким направлениям психологии и терапии это подходит, а к каким нет? насколько страдает бюджет при полном переходе в режим онлайн? с какими трудностями придется столкнуться?6. во время и после учебы. как начать нарабатывать практический опыт с первых дней учебы, уже во время учебы и после учебы. чтобы как можно скорей выйти на уровень высококвалифицированного специалиста. с кем и у кого работать, у кого учиться и где повышать квалификацию после диплома.буду очень рад любым рекомендациям и любому совету на любые и перечисленных выше вопросов. спасибо за помощь!",2020-05-22 00:31,0,https://www.b17.ru/forum/topic.php?id=315931
1,u382781,Princess Carolyn,"Как найти своё дело, если я ""человек-вспышка""? ","Добрый день. Меня зовут Софья, мне 20 лет и я хочу спросить, как найти дело, которым нужно заниматься всю жизнь, если сначала горишь любой, даже самой дикой идеей, а потом каждая профессия надоедает? У меня не такой большой профессиональный опыт, но я с детства знаю, что потухаю абсолютно ко всему. Есть свойство быстро загораться интересом и также быстро забивать. Сейчас этот вопрос актуален, потому что нахожусь в поисках работы. И искренно не понимаю, куда теперь податься - энтузиазм к занятости очень быстро гаснет, ещё даже не успев подкрепиться опытом.Как в такой ситуации найти дело всей жизни, сферу, в которой получится реализоваться наиболее полно? Мне очень хочется быть человеком, который развился в одной компании и продолжил там работать очень долго. Хочется расти ""вертикально"" и идти вверх по карьерной лестнице, а не ""горизонтально"", расширяя свои навыки во всём подряд.Я понимаю, что мне, скорее всего, не хватает терпения и усидчивости. Но когда я смотрю на профессионалов, говорящих, что любой негатив в работе нивелируется успехами, у меня возникает искренний ступор, почти зависть. Мне успех давал только кратковременное удовлетворение, а все последующие проблемы только загоняли под пол.Ну как вы там оказались? Как вы себя нашли? Особенно специалисты, которые пошли в свою сферу сразу после школы - поступили в правильный университет, максимально точно определив дело своей жизни.Ну как???Что я могу сделать, чтобы определиться со своей занятостью так, чтобы не бросить её, хотя бы, через пару лет? Меня пугает, что я трачу время и распыляюсь, когда уже могла бы расти карьерно. Подскажите, пожалуйста, как я могу себе помочь с этим.И, извините меня за резкость, но искренно хочу попросить вас не советовать мне поступать в университет. Я бы сделала это с удовольствием, если бы у меня была финансовая возможность и чёткая уверенность в той сфере, на которой я хочу обучаться. Ни в коем случае не принижаю ценность образования, но для себя решила, что пока нет этих двух аспектов, влезать в долги ради кота в мешке я не хочу.Большое спасибо, что уделили время.Я очень это ценю.",2020-05-21 23:56,0,https://www.b17.ru/forum/topic.php?id=315817
2,u439322,Лия 2504,Помощь в сепарации. Убрать денежные блоки. ,"Мне 30 лет.замужем, есть дочь 4 г. Два вопроса, которые мне хотелось бы проработать это сепарация, поскольку невозможно иметь счастливое будущее не приняв прошлое и родителей в нем.И высокий заработок  На маму есть глубинные обиды, которые периодически всплывают. А именно - обида, что мама все время держала на расстоянии. Да, в моей жизни тактильного контакта было достаточно, объятий, но почему-то при некоторых воспоминаниях наворачиваются слезы. Мне не хватило поддержки, хотя мозгами анализирую вроде она была, на меня не давили, за плохие оценки не ругали. Опять же ориентируясь на родителей мне казалось, что деньги и карьера это не главное. Главное найти стабильную работу, пойти в декрет. Сейчас я понимаю, что мне хочется жить другой жизнь. Я хочу строить карьеру, хорошую зарплату. Вкладывать все силы в работу, значит на ребенка не будет хватать времени. Опять же вижу какие-то ограничения.",2020-05-21 12:14,1,https://www.b17.ru/forum/topic.php?id=315711
3,u408657,ПётрВас,Может ли психология помочь улучшить отношения с деньгами? ,"Сегодня рано встал — просто заставил себя — и думал, что мне мешает иметь деньги в мироощущении.По результатам в своем внутреннем мире обнаружил, или, как говорят в полиции, установил 😊:1. У меня есть страхи. Они приводят именно к тому результату, которого боишься! Их просто нужно анализировать — разбирать — освещать сознанием.2. У меня есть ограничивающие мысли — они действуют, в чем-то как страхи, — не дают продвинуться, — ты же сам так считаешь и приходишь к этому результату.То есть, нашел по одному и того, и того.Я думаю, что психология способна сделать человека более эффективным в зарабатывании денег. Хотя продвигаться, без сомнений, нужно всеми имеющимися способами.Спасибо!",2020-02-12 12:48,10,https://www.b17.ru/forum/topic.php?id=302331
4,u621117,carpod,Прошу помочь с профессией ,"Здравствуйте, Юлия. Хочу получить у Вас бесплатную демо-консультацию на форуме сайта по вопросу:Профессионального самоопределения (мужчина, 30 лет, высшее образование - психологическое, но выбор профессии случаен, занимаюсь как хобби сайтами, но тоже без особых успехов, фактически работаю в магазине автоэлектроники - контент-менеджером, специалистом по продаже и немного по бухгалтерии). Если пофантазировать то хотел бы работать в других сферах: электрика, медицина (там, где нет людей, так как я интроверт), орнитология, астрофизика. Нравится работать одному над определенными задачами без посторонней помощи. Плохо адаптируюсь в коллективе, и плохо адаптируюсь к новому. Так же у меня есть ОКР и ПТСР (не очень благополучное детство). Из хобби увлекаюсь музыкой (гитара) и рыбалкой.",2020-05-07 16:37,0,https://www.b17.ru/forum/topic.php?id=313797
5,u623111,Psevdonim_Vika,Может ли быть человек (по MMPI) 9 (Ma) и 8 (Sc) одновременно? ,"Подскажите пожалуйста, как человек может быть 9 и 8 одновременно (сокращенный тест MMPI, 71 вопрос)?Что можно сказать по результатам теста об этом человеке?* это не яПросто интересно узнать человека[ Сообщение изменено: 21.05.2020 - 15:25 ]",2020-05-21 15:21,1,https://www.b17.ru/forum/topic.php?id=315736
6,u448202,NoStars,"Тема работы и негатива, связанного с этой сферой жизни. ","Я хочу уволиться, но моя подруга говорит (и также я улавливала эту идею из других источников), что если мне не нравится на моей работе, то надо разобраться с тем, почему мне там дискомфортно. Понять, что за уроки мне дает это пространство, эти обязанности, этот коллектив. Пройти их, усвоить полученный опыт и только тогда идти дальше и увольняться. Я нахожу это правильным.Однако вместе с тем я и не согласна, ведь например сейчас у меня такое состояние, будто я стою на краю бездны, вот-вот и я сигану вниз (уволюсь с работы). И это будет решение, принятое потому, что я больше не могу и не хочу мириться с имеющимися обстоятельствами, мне надоело, у меня накипело. Мне неинтересно, я не получаю удовольствия, и на этой работе моя реализация если и есть, то минимальна. Более того, я работаю там только ради денег, поэтому я не сказать что вовлечена в работу, пекусь о деятельности компании, стремлюсь стать лучше - нет, это все не про меня. Я там штаны не просиживаю, выполняю свои обязанности, но иногда я косячу, делаю ошибки, по сути, глупые, за которые меня карает начальство  нещадно. В то время как в моей вселенной это пустяковое дело и не заслуживает такой негативной реакции. В общем, у меня нет желания там совершенствоваться. Да, вот такая я бессовестная. Мне просто нужны денежки, которые я вкладываю в саморазвитие, интересы, обучение для другой работы.И если я приму решение уволиться, не будет ли это означать, что на следующей работе будет тот же самый челлендж и я попаду в те же обстоятельства, где буду проходить те же уроки?Ведь если у меня на каждом рабочем месте отыгрывается один и тот же сценарий (я сменила много рабочих мест) - я выполняю свою работу редко из-за вдохновения, в основном - из под палки, из страха облажаться и быть поруганной. Если надо мной не стоит строгий человек, я вообще могу филонить, откладывать, ничего не делать. Просто просиживать штаны. Значит, во мне есть что-то такое, какой-то особый деструктивный взгляд на мир, на работу, какие-то негативные убеждения, что вот так печально происходит. Думаю, это точно так и есть. Однако вместе с тем я переживаю, что вдруг если я проработаю эту проблему, то окажется, что я могу быть счастливой на ""обычной"" в моем понимании работе? Для меня это было бы печально, ведь я убеждена и уверена, что работа для меня - это что-то очень интересное и классное, что не портит мое физическое и психическое здоровье, а также то, в чем реализуются мои навыки и умения, работа, которая отвечает моим ценностям, страстям и интересам, и это то дело, ради которого я с удовольствием просыпаюсь по утрам.У меня большие амбиции, у меня не среднестатистические интересы. Мне нравится писать, я люблю мифологию, психологию, философию... Я считаю себя творческим и необычным человеком, поэтому просто среднестатистическая работа, где особо не ценятся душевные качества человека и его умение думать, рассуждать, кажется ЛИЧНО ДЛЯ МЕНЯ скучной и не подходящей. Я говорю про офисную работу, продавцов, менеджеров, операторов, администраторов и т.д...",2020-05-15 21:22,3,https://www.b17.ru/forum/topic.php?id=314920
7,u612862,Аннушка9,Найти мотивацию для работы. ,"Здравствуйте мне 26 лет, замужем, есть ребенок. Образования нет, опыта работы тоже.Мой внутренний конфликт состоит в том, что я одновременно и хочу и не хочу работать. Уже 6 лет я сижу дома и в общем мне это нравится. Нравится свободная жизнь, наслаждаться жизнью,наблюдать за тем,как растет мой ребенок. Я не из тех женщин, которые рвутся на работу и вообще не могут сидеть дома. . Муж работает,но получает не очень много,нам на многое не хватает. Живём с моей мамой, поэтому полегче,она покупает и продукты некоторые и коммуналку оплачивает почти всю.Опишу причины почему хочу работать.1 не хватает денег, надоело ужиматься. Это всегда происходит волной. Вот как сейчас.. предложила мужу заказать пиццу..но на это уйдет слишком много денег..так и не стали заказывать. В такие моменты хочется просто бежать зарабатывать,ибо достало2 понимаю,как мужу не просто и как ему тоже это надоело,хочу помочь3 просто надо, надо зубы лечить,нам многое нужно купить,по сути находимся в финансовой яме.4 хочу какой-то самореализации, общения с другими людьми, научиться чему-то новомуПочему не хочу:1. Работа выжимает все силы, которых и так не много.2 буду мало проводить времени с ребенком3 страшно что не получится4 работа будет не интересной, так как у меня нет ни опыта, ни образования,получится устроиться только продавцом скорее всего.От этого я не ищу работу. Моё желание радоваться жизни и жить свободно отбивает всю охоту устраиваться на работу.Прошлой осенью я вышла на работу, продавцом в магазин отработала 3 месяца и меня выгнали,сказали, что не справляюсь с работой. Это конечно тоже повлияло, страх теперь ещё больше.Ещё мешает страх,что не получится,что всё будет плохо и т.д. На этой работе был не плохой график с 10 до 18,но я всё равно очень уставала,нужно было целый день на ногах стоять. Я почти ничего не делала по дому,если только на выходных. что-то делала мама,в общем был бардак. Часто болела голова. Для себя тоже мало чего успевала делать. Ещё что не понравилось, буквально за 2 месяца моё сознание изменилось не в лучшую сторону, стала менее сознательной.Но с другой стороны мне очень понравилось иметь деньги, покупать всё что захочу,прикупила себе одежды,косметики,покупала много продуктов. Мне нравилось чувствовать уверенность,иметь свободные деньги,которые я могу тратить,на то что я хочу и не переживать за то,что нам не хватит до конца месяца.Вроде всё описала, если что не понятно,спрашивайте.Мой запрос: разрешить этот внутренний конфликт, найти мотивацию для того, чтобы выйти на работу",2020-04-28 14:58,0,https://www.b17.ru/forum/topic.php?id=312584
8,u479784,ФСумкин,"А шо ви хотите, чтобы я там повесил? ","У командировочного в Одессе сломались часы. Видит вывеску с часами, забегает в лавку:— Пожалуйста, почините вот эти часы.— Не могу.— Но почему же?— Я не часовщик, я моэль.— Кто, простите?— Моэль. Я делаю обрезания.— Тогда почему у вас над входом висят часы?— А шо вы хотите, чтобы я там повесил?То была преамбула, а теперь будет амбула. (с)Сегодня мне в очередной раз высказали претензию в том, что у меня-де кругом ""мощнейшие защиты"", и, кроме них, ничего не видно.Поскольку я понятия не имею, шо ви хотите, чтобы я там повесила, нельзя ли объяснить, как должны выглядеть, по мнению местных знатоков ""здоровой психики"", интересы и высказывания человека БЕЗ ""мощнейших защит""?Ну, чтобы я хотя бы могла составить себе представление о том, в чём меня, собственно, упрекают.Я-то, по наивности, полагала, что веду себя в полном соотвествии с заявленной позицией, какова бы она ни была, и никому никакого дела до этого быть не должно. Так что мне там вешать-то?",2020-04-23 17:38,38,https://www.b17.ru/forum/topic.php?id=311909
9,u387916,мисс Гринпис,поиск любимого дела ,"Здравствуйте. Не знаю с чего начать...Нахожусь в состоянии, как будто не знаю чего хочу, кто я и чувствую себя дыркой от бублика. Когда как есть не устраивает, а чего хочу - не знаю. В голове пусто-пусто...Не могу спать ночью, а утром не могу вставать с постели, (непреодолимая усталость весь день, головокружение, лень и разбитость) хотя я человек достаточно волевой. Вечером легче и в пасмурную погоду.   Главная проблема-поиск любимого дела.Восхищаюсь людьми, преданными своему делу, всю жизнь увлеченно занимающихся этим. Но не вижу себя ни в одной профессии. образование- финансист, но к своему стыду вынуждена признать,что  не являюсь специалистом в этой области. До декрета работала в банке, но ничего выдающегося не добилась. Часто меняла работу , но нигде не задерживалась. Последнее место - бухгалтер. Ходила как на пытку, все время болела. Ушла. Потом декрет...    Во время декрета пробовала курсы маникюра, хотя не нрав. -бросила. Курсы бухгалтера закончила с тошнотой-не нрав. Бровиста - аналогично. Торты делать пыталась-не нрав + розацеа после родов. Пробовала, чтоб не сидеть навстречу мечте.      Задаю себе вопрос : чем бы ты занималась, если бы была миллионером и работать не пришлось? ответа нет.     Не работать не могу - ребенка одна воспитываю. (4 года) Во время декрета перебивалась случайными заработками, чтоб обеспечить нас. Злюсь на себя за тупость,что не добилась ничего (34 года) и не умею заработать деньги. Куда могла бы выйти (типа офиса) - не с кем оставить ребенка,т.к в саду болеет постоянно, (ходим 2 дня - 3 недели болеем) поэтому чаще дома+гиперактивность и частые больницы в связи с судорогами и обследованиями ( эпилепсии). Когда обостряется у ребенка, то ее эмоциональные перепады, истерики, нарушения сна,лунатизм сильно изматывают меня. Сады не откроют до осени, дежурных садов нет. на няню денег нет тоже. Находила бабушек соседских,но все равно оч.дорого.      Все говорят ""не выпендриваться""и работать лишь бы физиологически жить. Внутри протест и ощущение беспомощности, обреченности,недовольства и тупости. Ведь это моя вина,что я ничего не добилась. Удаленную работу нахожу только продавца, к которой испытываю отвращение и ненавижу, поэтому бросаю. На другие вакансии требования как в Пентагон. Реально понимаю, что моя стоимость=тому,насколько сложно меня заменить.Тошнит от себя. Чувствую себя невостребованной и тупой. Спасибо,что выслушали.Хобби нет.",2020-05-19 15:00,2,https://www.b17.ru/forum/topic.php?id=315449
