,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u348751,M_a_r_i_a_,Эмоциональная зависимость ,"Здравствуйте.Судя по всему, я нахожусь в эмоциональной зависимости от человека, с которым долгое время общалась по переписке.Дважды пыталась прекратить это общение. Второй раз - сейчас.Я замечала, что это как-то странно, но не называла своё состояние словом ""зависимость"". Я называла это ""тянет"".Инициатива знакомства, как и последующего общения, исходила от меня. Меня зацепил его взгляд на фотографии: холодноватый, если не сказать совсем холодный, но я ухитрилась как-то по взгляду определить, что человек умный. Песни Пугачёвой ""Робот"" и ""Айсберг"", на мой взгляд, отлично характеризуют его (или его ораз в моей голове?)Сначала он довольно неохотно со мной общался, но после первой моей попытки перестать с ним общаться почему-то стал общаться охотнее.Мне нравилось с ним разговаривать, он мог дать дельный совет и иногда наши интересы совпадали и мы обсуждали что-то вместе, но чаще мне не были интересны темы, на которые он переключался. И я говорила ему об этом, но общение в таком формате продолжалось.Если это важно, у меня не было отношений ни романтических, ни сексуальных, хотя мне уже хорошо за 20. С моей стороны, кстати, была безответная любовь (ну, или влюблённость) к однокласснику, который узнал об этом через третьих лиц и мне было довольно стыдно. Она продолжалась как раз до того момента, как я переключилась на того человека, о котором говорю сейчас. То есть, там тоже ""дверь"" не закрылась.Лет до 12 у меня были хорошие отношения с мальчиками, до школы среди моих друзей вообще не было девочек. С отцом тоже были хорошие отношения. А потом я стала бояться всех представителей противоположного пола.В общем, я увлеклась в описании ситуации, мой запрос - как бороться с эмоциональной зависимостью?",2020-01-16 12:20,8,https://www.b17.ru/forum/topic.php?id=298515
1,u626047,Shizofreniya,"Фобия, шизофрения и синдром отмены гидазепама ","Здравствуйте.Тут была на выбор только одна категория, однако моя тема задевает сразу две, если не больше, надеюсь это ничего. Я выберу зависимость, так как на данный момент это основная проблема.Я прочла тут несколько рассказов людей, прежде, чем задам вопрос видимо расскажу о себе и с чего всё началось. Ну не всё, но хотя бы основную часть и проблему.Меня зовут Яна, мне почти 24 года, уже около 5 лет я страдаю от хронической паники выходя на улицу, общаясь с людьми и ловлю панические атаки в магазинах и супермаркетах (не особо понимаю с чем это связано). Всё начиналось намного проще, чем есть сейчас, я уже проходила не один курс лечения у психиатров, которые разводят руками сейчас и предлагают ложиться ибо они не имеют понятия, мол, на меня не действуют ни один препарат, однако лечь я не могу потому что мне страшно отходить далеко от дома и лежать в психушке с кучей чужих людей вокруг мне страшно.В какой-то момент 5 лет назад меня начала накрывать дикая паника на улице, мне просто было дико страшно, повышался пульс, затуманивался рассудок, я ходила, как в тумане, хотелось быстро убежать домой, так как дома такого не происходило. Кроме этого я теряла речь и меня накрывало ПА, когда я говорила с чужими людьми или просто находилась в большой толпе, из-за чего я не могла заставить себя найти работу, каждый день, когда я начала ходить на проверки по врачам мне приходилось уговаривать себя чтобы выйти на улицу, изначально я не особо понимала чего я боюсь, со временем начала осознавать, боюсь того, что мне станет плохо на улице, на глазах у людей. Ещё у меня дико ухудшилась память и ухудшается всё больше и больше, сейчас я даже могу забывать слова, а что я делала вчера вечером вообще загадка и не всегда удается вспомнить. Начала лечение у обычного терапевта, сначала, конечно, проверилась физически и ничего не найдя, терапевт послала меня к неврологу. Невролог сразу же прописала мне гидазепам 0.02 без каких-либо ограничений, т.е пей, когда страшно и всё,но который мне сильно помог и я начала выходить на улицу чаще, пытаться гулять. Но со временем физических симптомов на улице становилось больше и страх не проходил уже даже под таблеткой гидазепама из-за чего приходилось повышать дозу, самовольно, ибо на тот момент мне сказали, что препарат не особо опасный. В этот раз терапевт направил меня сразу к психиатру, где мне поставили ОКР со знаком вопроса. Лечили антидепрессантами, но гидазепам сказали продолжать пить. И с этого дня я 2 года пыталась лечиться разными препаратами попутно попивая гидазепам, он не вызывал привыкания или мне так казалось. Ни одно лекарство, кроме побочных эффектов, не принесло никаких изменений. Мне становилось всё хуже, я перестала выходить на улицу совсем, каждый выход на улицу был как кошмар. Далее меня положили на дневной стационар, где я пропила кучу нейролептиков из которых ни один не помог (хотя, то как я их пила, 3 дня, не помогло? давай следующий! (с) психиатр) и он выписал меня без диагноза ибо не смог его поставить, но неофициально он нашептал моему отцу на ушко, что моя симптоматика схожа с параноидальной шизофренией и сказал, что у них такое не лечат. Ах да, про отца, я одна никуда и никогда не хожу. Если со мной рядом никого нет я сразу ловлю панические атаки, паника становится невыносимой, я понимаю, что нет никого, кто мне поможет и убегаю домой, сколько я не пыталась ходить хотя бы до магазина сама лишь возвращалась с кучей негативных эмоций. И вот уже 5 лет одна я никуда не выхожу, везде езжу только на такси, пешком ходить нереально сложно ибо я фактически 5 лет сижу и не двигаюсь, дыхалка слабая, тахикардии постоянные, но сердце здоровое, как и легкие, это я постоянно проверяю и слишком боюсь за свое здоровье, официально паранойю они мне поставили вместе с ОКР. По итогу я продолжила пить гидазепам и сидеть дома периодически выходя в больницу или в психушку за очередным рецептом для лекарства, которое мне не поможет. Моя фобия улицы или шиза дошла до того, что я настолько панически боюсь выйти на улицу, что лучше умру дома. С людьми я не общаюсь совсем, кроме соцсетей, игр и родственников. А через некоторое время я перессорилась со всеми даже в соцсетях. Собственно у меня остались родственники, которым практически плевать и они даже не верят и человек, которого я уже скорее всего на тот момент уже зае...долбала своим нытьем о том, как я плохо себя чувствую постоянно.Ну и вот настал день Х, когда гидазепам уже даже в больших дозах (а это около 5 таблеток в день 0.02 дозы) перестал помогать СОВСЕМ, если раньше он хоть немножко и на мелкий период времени мог снять панику, то в этот день он перестал помогать. Спустя время я просто перестала его пить, но панические атаки начали настигать меня и дома, паника и страх инсульта, инфаркта и всякой непонятной дичи, я боялась почти любой болезни, закололо в сердце? инфаркт, заболела голова? инсульт, показалось, что подавилась, с паникой бегаю по дому пытаясь откашляться. Пришлось уговорить родственников купить мне дозу повыше - 0.05, и да в первые дни она мне помогала не паниковать хотя бы дома и не думать постоянно о болезнях. Через время начался этот период коронавируса, когда и я начала задумываться , а можно ли заразиться дома, а вот я ходила кровь сдавать, могла ли я заразиться и в те дни мне начало становиться плохо, я начала агрессивно себя вести, мое настроение менялось от ярости и злости, до депрессии и суицида. Я поссорилась со всеми людьми, домашних я посылаю на 3 буквы, каждый раз, когда ко мне пристают с вопросами или просто пытаются поговорить. Самочувствие ухудшалось, я не могла спать, потела, как будто из крана, особенно по ночам, днем же в основном потели ладони, начала болеть голова, шея, желудок, тошнить, давить в сердце, ломать всё тело, температура и низкое давление(раньше оно всегда было немного завышенным 120\70-140\80, сейчас 90\60-100\60. Забыла упомянуть, что до этого я резко кинула гидазепам, так как первым симптомом была тошнота и подумала может шалит печень и я слишком много пью гидазепама. Вот 2 недели я себя чувствовала ужасно, что я только не пыталась лечить, симптоматически и общалась с терапевтом, который ничего толком подсказать не мог, а в больницу уже попасть было нереально из-за карантина. Дошло до того, что я не спала всю ночь пропотела на лужу, меня трясло всю ночь, мне было дико душно и в то же время холодно, на часа 2 я смогла уснуть и когда проснулась я чувствовала себя так будто бы руки не мои, и я вообще не понимаю, что происходит. И тут я вспомнила, что перестала пить гидазепам и попросила мне его купить, 2 дня и все симптомы сняло рукой. Я на тот момент подумала, что это что-то психологическое было и гидазепам помог мне справиться с этим. Однако сейчас, если я выпью меньшую дозу гидазепама, чем обычно - все симптомы резко возвращаются, особенно боль в груди. И вот настал момент, когда я поняла, что это я ни чем не болела и не было никакой психологической проблемы, ну как минимум, если и была, то она и осталась, так как страх никуда не делся, но я поняла, что это синдром отмены, как только я прекращаю пить гидазепам или уменьшаю дозу я чувствую себя просто ужасно физически и у меня опять начинаются проблемы с настроением, которые уже описывались выше из-за чего я перестала общаться с тем последним человеком с которым общалась и мне было очень важно с ним не переставать общаться, но помириться он уже не захотел из-за его принципов (если кинул в ЧС, человека больше не существует и плевать что мы друзья уже больше 5 лет), что ударило по мне ещё и психически и теперь не проходит и дня чтобы я не сидела и не рыдала, как минимум по 2-3 раза за день и в то же время агрессивно думая о том, что можно унять психическую боль по старинке ножичком - физической болью, но потом вспоминаю, что мне и так её хватает и понимаю, что это не поможет. Родственников так я вообще уже вывела со своими болячками, так как мне каждый раз болит что-то новое, они уже устали от меня и я сама от себя устала. Так вот теперь вопрос, стоит ли ложиться в ту психушку в которой сказали, что не лечат даже шизу, и в которой мне не могут помочь уже 5 лет, чтобы избавиться от зависимости гидазепамом? Или попробовать справиться самой и если да, то посоветуйте как, буду очень благодарна. Снижая дозу не обходится без плохого самочувствия, это так и останется и мне просто терпеть? Или же можно как-то облегчить симптомы? В прочем это краткое изложение проблемы, я не описываю свои чувства в эмоциональном плане ибо это не имеет ценности в основном вопросе и я не уверена, что у вас тут уйма времени читать о моем сложном детстве, психологических травмах, которые повлекли за собой страх улицы, алкоголизме, проблемы с родителями и тд, если про это нужно будет рассказать только скажите ныть я умею.",2020-05-27 00:24,3,https://www.b17.ru/forum/topic.php?id=316453
2,u302983,IsdaLEKA,"Вес 110... растерянность, апатия... ",рост и возраст 160/52... Ужаса нет. Тяжело и неудобно. и в лучшие результаты уже не верится. Есть о чем поговорить? или здесь все  - красивые?,2020-04-05 15:05,36,https://www.b17.ru/forum/topic.php?id=309417
3,u624369,Ira334,Пищевая зависимость ,"Добрый день!5 лет назад в моей жизни произошло событие, которое изменило мою жизнь (серьезные проблемы со здоровьем). Чтобы как-то справиться с хаосом мыслей в голове, страхом и отчаянием, я начала заедать эмоции. До этого у меня не было особых проблем в отношениях с едой - я ела, чтобы жить. Сейчас же я живу, чтобы есть.Если я, например, в офисе думаю о том, как проведу вечер, и понимаю, что дома нет вредной еды, у меня начинается паника - я сразу начинаю придумывать варианты, зайти ли в магазин по дороге домой или заказать доставку. Я просыпаюсь с мыслями о том, что у меня есть в холодильнике. Недавно поймала себя на том, что накладываю себе слишком большие порции. Спросила себя, почему я так делаю, ведь голод мне не грозит, я в любой момент могу купить/приготовить/заказать практически все, что угодно. Ответ ошеломил - я боюсь, что после еды во мне останется пустота. Причем не в физическом смысле (останусь голодна), а скорее в моральном.Если несколько лет назад еда была действительно легким способом справиться с болью, то теперь я это делаю скорее по инерции. Два года назад я лечилась у психотерапевта, чтобы проработать травму от того самого события. Сейчас я могу сказать, что действительно справилась, насколько это было возможно. Я снова стала выходить из дома, общаться с людьми, достигать целей (окончила университет с отличием, нашла хорошую работу, победила в нескольких конкурсах по специальности). Единственное, что меня сейчас тормозит и беспокоит - это отношения с едой и моим телом.За последние 4 года я набрала порядка 40кг. Мне сложно смотреть на себя в зеркало, потому что отражение меня абсолютно не устраивает. Я всегда придавала большое значение тому, как выгляжу. Поэтому сейчас мой внешний вид убивает меня. Иногда я думаю, что на подсознательном уровне пытаюсь саботировать себя и свою жизнь. Как будто наказываю себя за что-то и не даю себе возможности жить полноценно.Иногда мне удается сдерживать свои порывы, но я понимаю, что самостоятельно мне не справиться. По всей видимости, я не замечаю чего-то, что помогло бы мне вернуться к нормальным отношениям с едой и, следовательно, к нормальному телу.",2020-05-21 22:08,0,https://www.b17.ru/forum/topic.php?id=315800
4,u290795,Strange m,Любовная зависимость ,"Обратилась к психологу со сложностью в построении близких отношений, создания семьи.Сказала, что боюсь работать с психологом-мужчиной, так как для меня характерно создание зависимых отношений.Специалист уверил, что знает как работать-""надо зайти и выйти с другой стороны"".Я доверилась......Очень быстро влюбилась, зависимость....шоковые эмоции...и.застряла на три года без улучшений  с ним в терапии. Качество жизни упало, тревога, пропал сон, не могу думать о чем то другом, кроме него и терапии, потеряла работу, начались проблемы со здоровьем, психосоматика,  боль, гнев, ощущение что обмана, использование моей  слабой стороны, появились мысли о самоубийстве.Не уходила, так как при мысли об этом поднималась волна тревоги, до паники.Он говорил, -""смотри что ты делаешь, надо заботиться самой о себе, полюбить себя""((типа я это не знала.....за тем и пришла, что бы научиться любить себя...Он нарушал мои границы-показывал мои рисунки другим клиентам, обсуждал с ними меня, предложил мне встретиться с клиенткой и поделиться с той своим опытом преодоления сложностей, заплатив ему за общую сессию, по сути выполняя его работу.Я не планировала что бы кто то знал о моих проблемах в прошлом, даже если я с ними уже справилась. Он общался со мной как друг в соц сетях, давая надежду на романтические отношения, а потом вспоминал о границах и игнорировал..... то общается, то блокирует, то говорит отношения с клиенткой нельзя, то поехали вмести в Индию...))а потом я влюблённая сижу  его соцсетях и вижу как он Индии знакомится с девушкой, похожей на меня.Я чувствую себя внутренне уродливой и не могу понять почему меня не любят,почему он не любит...говорит, что я женственна, умна,добра....просто не любит......Я и пришла на терапию с тем, что осознавала, что со мной всё хорошо, но как будто меня любить нельзя, ни кто не любит, только секс предлагают......Я живу одна, самостоятельно всего сама добилась, купила квартиру....занималась спортом, рисую....Он три раза отказывался работать , так как я ему писала что мне плохо, просила большего внимания и тем самым нарушала границы .....потом опять решал продолжать Говорил, что он женщинами не пользуется, то порно с мужским доминированием на его странице в ВК случайно... Оценочные суждения и ярлыки- злая, жертва, фашистка)Мой гнев- это перенос, этот гнев к маме,это мне всё кажется, он на самом деле ко мне хорошо относится(значит,не доверяй, своим чувствам, верь специалисту...он знает)Когда говорила, что качество жизни подает, пропал сон, не могу есть-он это такой путь, так и должно быть, я с тобой)))Когда я говорила о том что мне не нравится в отношениях с ним - то я жертву включаю..Отказал от заключения терапевтического контракта.Когда спрашивала почему нет положительной динамики - нет ответа.Когда говорила, что хочу поменять психолога, работающего в КПТ- говорит, там тебя дрессировать будут....Забывал о том важном для мне, что я рассказывала, как, например, о смерти мамы, умирающей у меня на руках....смотрит он на сессии в глаза, взгляд добрый, сочувствующий...а через меся не помнит и мне больно,он вообще меня слушает?это всё лицемерие,  не живой интерес?Дошла полного истощения, собиралась пить антидепресанты,  не в силах оставить его, стала ещё более навязчивой, требовать больше внимания, нарушать границы, чем спровоцировала психолога бросить со мной работать, ....Он спрашивал почему я не ушла, если так, плохо)это моя ответственность))но это отчасти и травма-самодеструктивность и желание результата- столько времени, нервов, здоровья и всё бросить на полдороге?Он то продолжал всё это время говорить, что знает как мне помочь и как с этим работать.....сама виновата, выбрала его и верила специалисту и оставалась три года, а могла уйти......виновата, что есть прошлое и саморазрушительные тенденции и зависимость , а он хорошо подошёл для отигрывания и повёлся на проективную идентификацию..........Вывод- не будь дурой, не верь, не любиВиновата, что решила позаботиться о себе .....и не удачноСейчас потеряла работу и совсем нет денег на психолога....Как помочь себе в этой ситуации? Как клиент защищён от неквалифицированной помощи, что он может сделать, если оценивает работу как вред, если до было лучше, чем после.Спасибо",2020-05-23 01:54,0,https://www.b17.ru/forum/topic.php?id=315938
5,u612373,NaUdachu,"Как перестать зацикливаться на еде, вовремя вставать из-за стола ","Добрый день!Перед НГ сдала кровь, обнаружился высокий сахар, 12.Я прошла отрицание, гнев, торги) Попала к врачу-эндокринологу в марте. Очень хорошему. Она очень долго со мной разговаривала, все объяснила.Поставила диагноз диабет 2 типа, выписала лечение.Но, конечно же, главное лечение - это диета + снижение веса. Принимаю таблетки, которые назначил врач. Вроде бы они тоже должны помочь в снижении веса. Не ем сахар и продукты с белой мукой. Вижу очень хорошо, как меняется самочувствие, когда нарушаю диету. Весов у меня нет. Глюкометр тоже пока не купила, все по наитию, по ощущениям. По ощущениям я не сбросила ни грамма.На то есть причина. Я зациклена на еде. Все равно ем много сладких продуктов: фрукты, жую жвачку, пью чай с сахзамом. Это все как бы разрешено, но я для себя вижу, что это не решение проблемы, а обход.Еще очень важный момент: у меня в жизни был комфортный опыт снижения веса с помощью психологии, с помощью одной книжки и самостоятельной работы над пониманием, что и зачем я ем по упражнениям в книге.Это было очень большое счастье, просто полет. Я ела, что хотела. Но я не хотела много и не хотела ""пожирней да погуще"", как сейчас, когда выбираешь из холодильника, что повкуснее съесть из доступных вариантов. Тогда я сбросила 15 кг вообще без стресса и диет. Какое-то было важное осознание, но я его забыла(Потом что-то сломалось, все вернулось на круги своя. Правда, достаточно долго возвращалось. А вот последние 10 кг прилетели и прилипли после вторых родов. С тех пор прошло 5 лет.Т.к. я этой темой интересуюсь и могу анализировать немного то, что происходит за столом, то могу сказать, что ем по голоду. Не ругаю себя за ""вредную еду"". Не ругала... пока не поставили диабет. теперь все равно не ругаю, просто мне объективно хуже: сонливость, всякое такое. Стараюсь понимать, чего именно мне хочется, стараюсь питаться интуитивно. Но есть одно большое ""но"": я не могу вовремя остановиться. Я прямо знаю, что это перебор. Я не могу поймать тот момент - зачем я это делаю? Частично - потому что время за столом, время отдыха. Хочется отдохнуть подольше. А частично... как в той притче про то, что место в банке сначала заполнялось камнями, потом песком, потом водой... Так и я: сначала удовлетворяю голод, потом еще чуток сверху, потом когда уже ничего не лезет, то можно и чаю. И еще страдания от того, что конфеткой полирнуть больше нельзя...Поэтому запрос мой такой: хочу нормализовать питание без преодоления, ненависти. Не страдать, что мне нельзя то или другое. И не страдать, что я нарушила и мне плохо. Научиться вовремя заканчивать есть. Хочу, чтобы перещелкнуло, как тогда, когда все получилось...В работе с психологом пугает то, что я не потяну материально частые и дорогие сессии. Необходимость осознаю.",2020-04-04 17:37,3,https://www.b17.ru/forum/topic.php?id=309296
6,u304051,SoulDive,За двумя зайцами ,"Здравствуйте! Сейчас будет самый нетипичный рассказ ""О себе"" в моей жизни, пожалуй. Но я постараюсь.Мне 29, я живу и встречаюсь с молодым человеком, но понимаю, что не до конца честна ни с ним, ни с собой. Его чувства ко мне сильны и стабильны, мои понемногу угасают, особенно когда мы на расстоянии.Когда мы начали встречаться, мне был высказан ряд опасений и его личных фобий: контроль врача, только защищённый половой акт при свете со всеми проверками с максимальной степенью защиты, прием медикаментов, чтобы точно ничего ""не случилось"". У него был довольно длительный перерыв в отношениях – около трёх лет – и он не раз признавался, что от девушек просто сбегал (не отвечал на звонки, не открывал дверь). Я приняла всё это достаточно спокойно и подумала, что нужно просто поглядеть. И через месяц получила от него фразу: ""Что-то у нас всё гладко идёт, поэтому я с тобой расстаюсь"". Я тогда не на шутку разозлилась, отчитала его за эти необоснованные в мой адрес фобии и что никакого права поступать со мной и моими чувствами он не имеет. Так продолжалось неделю, в итоге он пришёл в себя. И вроде бы наладилось всё – кроме интимной жизни. Сама я ""влилась во взрослое общество"" в 24 года. И первый раз был для того, чтобы хоть как-то помочь отношениям. Не помогло; первое не понравилось, вторые закончились. После этого были непродолжительные отношения с партнёрами по обоюдному согласию ""не усугублять романтикой"". Я набиралась положительного опыта, сравнивала, в чём-то становилась лучше сама. А год назад у меня была интернациональная стажировка, где я на курсах познакомилась с юношей немного младше меня. Мы спелись сразу же, стали болтать днями напролёт. Поначалу для меня это было чем-то экзотичным и интересным, но после того, как мы поняли, что это не только умственное, но и физическое притяжение, всё стало серьёзнее. Две трети стажировки мы занимались сексом. Очень много, очень активно, получая удовольствие вдвоём. Я доводила его до оргазма трижды за ночь (чем очень гордилась:)), ему запрещала себя ласкать (до него никто меня – по сей день – не смог за пару минут доводить до почти обморока от удовольствия). Уже тогда я понимала, что такое вряд ли когда-нибудь ещё повторится. Он был того же мнения.Поначалу мы решили, что не будем выходить за рамки чисто деловых отношений. Но тянуло нас бешено – как в самых утопических романах, когда читаешь и думаешь: ""Да вы издеваетесь, где такое видели?""После стажировки мы разъехались, немного пообщались онлайн и всё затихло. Я старалась настроиться на ""рабочий режим"", успокоить свои чувства. Вышло, но слабо. На мужчин как отбило. Каким бы интересным он ни был, я оставалась равнодушна. Зато появилась симпатия к девушкам. А потом, через полгода, познакомилась с нынешним молодым человеком. И после первой ночи поняла, что мне срочно нужно что-то делать с воспоминаниями прошлого, которые, конечно же, никуда из головы не делись. Я даже не знаю, имею ли право говорить, что люблю его, когда постоянно думаю – реже наяву, почти каждую неделю во снах – о другом человеке. Меня неукротимо тянет в страну, где живёт тот парень. Я ищу повода встретиться, я из кожи вон лезу, чтобы ему стало интересно приехать. Я ухаживаю за собой и держу себя в форме, но мысленно понимаю, что стараюсь не для себя и не для своего молодого человека. Это лицемерно и нечестно по отношению к нему, а потому я прошу совета или просто хорошего нагоняя. Спасибо.",2020-05-23 09:04,2,https://www.b17.ru/forum/topic.php?id=315951
7,u438047,acid-house,Гинекофобия и ее последствия. ,"Незнаю с чего начать. Примерно год назад я писал блог о порнозависимости. Этот текст может быть омерзительным, но и забавным в тоже время. Я писал о том что не могу завязать смотреть порно-контент, много мастурбировал , реальной девушки у меня нет, возможно (!) это я так восполняю отстутствие реального общения с женским полом , хотя сейчас я уже незнаю где потолок , а где пол. За это время - ничего не изменилось , только кол-во ручных упражнений возросло до 4-5 раз в день , иногда и 7-10, если в форме. деньги на жизнь - я не работаю - достаю незнаю где , мне как-то стало плевать на все что вокруг происходит. у меня была куча проектов - незавершенных , она стала немного больше , и так же все - в процессе разработки, словом дела до конца доводить - сложно, а порой мысли - что все это конец , Очень ленивый, незнаю что будет далее. Голова стала плохо сооброжать, стал немного тормозным. Одно порно на уме, хотя к к девушке подойти - я так и не могу. Это  - забавно. Все дело в том что ... я вижу что я не всегда на самом деле так смогу жить , что рано или поздно , лавочка закроется, в тоже время я просто трачу себя в пустую, стал бояться людей , немного дикий , за собой мало слежу. Да , и в чем загвоздка я уже не пойму, лет 5-6 назад я был очень скромный, никогда бы подобное не стал бы вылаживать на общественное обозрение, возможно я лишился кое каких комплексов, но пока ... воз и ныне там, я стал асоциален. Чего я хочу от b17 ?  незнаю , может кто то что-то скажет. Извиняюсь за подачу материала, может слегка приукрасил все это, но мне кажется что я все понял , и мне 33 года , хотя нужно было это понять лет в 14-15. както так.",2020-05-21 23:17,1,https://www.b17.ru/forum/topic.php?id=315813
