,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u205671,Майская Сирень,Хочу быть здоровой и богатой ! ,"Добрый день всем.У меня есть планы, желания, мечты...Но в моей жизни ничего не меняется к лучшему.И я от этого очень страдаю, душевно, эмоционально,и  морально...Мне в следующую пятницу будет - 40 лет...А у меня ничего нет в этой жизни, я ничего не добилась, не достигла, не вышла замуж, не родила ребенка...Считаю себя инвалидом, или пустоцветом...И мне очень грустно и хочется плакать, не с кем поговорить даже про это все, что меня очень мучает и не дает покоя...Это так коротко, о себе, подробнее буду писать, в  теме.",2020-05-02 17:01,20,https://www.b17.ru/forum/topic.php?id=313123
1,u90871,Raifa,Смерть любимого котика ,"Никогда раньше не любила котов. Всегда дома были собаки. А тут вдруг мама предложила котика.... Да ещё и красивого.... В этом наверное была ошибка.... Я выбрала британского котенка, чисто белого и очень мимимишного. Ему было 2 месяца когда мы его взяли.  Я ему сделала 2 прививки по графику. И вот пришло время кастрации. Было очень жалко. Но у меня было понимание, что это нужно. Дома живёт той терьер, и в свое время из за жалости ему не стали делать кастрацию. И он живёт с нами 14 лет и вот сколько живёт столько и метит все в дома. Для нашей семьи это большая проблема. Поэтому я твердо решила что кастрирую кота, чтобы не метил, чтобы не орал, не убегал и был все жизнь добрым котёнком.  Хотя было очень жалко и я далеко не сразу решилась, все тянула.... Когда мы его взяли, то у нас не было детей и мы с мужем полюбили его очень, носились с ним. Хотя я раньше всегда подшучивал над людьми кот животных называли своими детками. Мы своего так не называли, но относились наверное именно так. Я мужа узнала с другой стороны. Оказывается он очень заботливый, ночью вставал к коту если ему вдруг часа в 4-5 приспичит поесть или в туалет. Мыл его. Вообще этот котик принес нашей семье очень много любви и радости. 2 мая я его все таки кастрировала. А 21 он заболел. Отказался от еды и воды. Я подумала что он отравился. Хотя рвоты и поноса не было. Первый раз за все время он не пришел спать к нам с мужем.  Видимо ему уже ночью стало плохо и он все ночь не спал а сидел, не ложился. И потом весь день сидел и как бы дремал. Я в обед заметила, что у него учащенное дыхание, что он дышит животом часто. Но я даже подумать не могла что все настолько серьезно. Вечером подошла к нему а он как бы стонет. Тут я уже начала бить тревогу. Коту стало становиться хуже. Посинел язык, губы, нос. Пена изо рта пошла, вроде как рвотные позывы. До больницы довезли и там он минут через 5 умер. Отек легких. Ему было всего 8 месяцев. Совсем ещё котенок. Если бы это был взрослый кот то хоть бы было понимание, что он прожил свою жизнь. А тут... Сейчас у меня чувство вины, что если бы я сразу как увидела, что он тяжело дышит, отнесла его в больницу, то возможно его бы спасли. Тем более что больница находится на соседней улице.... Возможно, что то было не так сделали при кастрации... Сначала обещали минимальный наркоз, а потом дали обычный да двойную дозу, а говорят что у британцев слабое здоровье, возможно изначально что то было с сердцем вот оно и не выдержало. Я сейчас беременная двойняшками. Очень долгожданная беременность и вот тут такое. Никак не могу перестать плакать. Ощущение пустоты, одиночества, трудно дышать.  Как мне это пережить.....  Появилось ощущение что жизнь такая хрупкая, боязнь смерти.  Все было хорошо и вот раз и нету котика. Стала ещё больше переживать за детишек. А они что то притихли эти дни, мало шевелятся. Меня это тоже беспокоит. Очень трудно.",2020-05-23 21:40,1,https://www.b17.ru/forum/topic.php?id=316030
2,u142661,Монако,"Смерть мамы, чувство вины ","Добрый день! Могу ли обратиться к Вам здесь, тк в жизни не хватает средств и смелости обратиться к психологу устно. Легче выражать мысли письменно.Умерла мама, у меня ощущение что я не досмотрела за ней. Хочу в качестве помощи получить ваш обьективный взгляд как психолога на ситуацию",2016-06-02 19:43,13,https://www.b17.ru/forum/topic.php?id=47162
3,u624876,mimozina,Пережить потерю ,"Ольга Мабарякшаевна, добрый день! Хотела бы получить Вашу консультацию, помощьМеня зовут Екатерина, в марте умер любимый папа. Не могу смириться, постоянно прокручиваю, могла ли я как-то еще помочь, может что упустилаОчень не хватает его. Первые недели 3 не могла смотреть на его фото, будто  дыхания не  хватало . Знаю, что есть стадии горя, их надо все пережить, но мне кажется и через несколько лет мне не будет легче.Будто вставили нож в сердце, прокручивают его и от этого еще больнее.",2020-05-21 23:39,2,https://www.b17.ru/forum/topic.php?id=315816
4,u434449,ОченьХорошо,Пустота ,"Здравствуйте, дорогие люди.Пару дней назад у меня умер дедушка. Видела от силы я его раз 10 за всю жизнь, он был тяжелым человеком и ко мне любви как к внучке не испытывал. Но я все равно помогаю маме с всеми организационными моментами. У меня перед глазами постоянно его труп в голове. Последние слова которые он маме накануне сказал по телефону, какие-то моменты из памяти. Как именно он умер не ясно, по этому представляю варианты событий, как оно там было. Не то чтоб я фанат себя накручивать, я свои мысли постоянно торможу. За эти дни было пару слезинок, на взрыв не плакала. Пока осознание, что он умер не пришло. В день смерти, несмотря на насыщенность дня я чувствовала себя не могу сказать, что прям плохо. Маму успокаивала и себя успокаивала тем, что его смерть сейчас очень закономерна, по нему было слышно, что скорее всего он скоро умрет. Врачи оставили его умирать, не забрали в больницу. Хотя все равно это было шоком. Мой муж как по мне очень пассивно меня поддерживал. Ну то есть никак. Хочется взять его и трясти, спросить почему он такой ахринительный товарищ. Если в первый день я была живая, то теперь я овощ. Я совершенно не хочу ничего делать, я заказываю готовую еду. До этого я с нетерпением ждала определенных вещей, а сейчас мне все равно. В груди что-то противно вращается, утяжеляет. Так хочется разругаться с мужем и уйти с мамой в закат. Что это за пустота внутри меня? Закономерная стадия которая характерна в таких ситуациях или мое состояние выходит из под контроля? я так хочу чтобы я нашла себе место",2020-05-23 09:00,6,https://www.b17.ru/forum/topic.php?id=315949
5,u612089,Pollinka,Он умер??? Нет! Он жив! ,"Сегодня у меня день рождения у моего сына, который выжил ни смотря ни на что",2020-05-22 19:56,19,https://www.b17.ru/forum/topic.php?id=315903
6,u374357,Svetlana Nik,"Как жить, если умирают близкие? ","Вот уже 4 года я не живу, а существую, создаю видимость и иллюзию жизни.Началось с того, что в достаточно молодом возрасте умерла бабушка супруга, с которой я была очень дружна, которая помогала мне с дочкой, была подружкой, всегда и во всем поддерживала. Она ""сгорела"" от рака ровно за 3 недели.Перед этим трагически погибла двоюродная сестра в возрасте 23 лет, умер дед.В прошлом году умер родной брат. Масштаб трагедии описать не могу. В начале марта его дочери (моей племяннице) исполнилось 19 лет, а через несколько дней его не стало. Сейчас у моего дяди, который всю жизнь был мне вместо отца, диагностировали рак. Как жить дальше? Только успеваю оправиться от одного потрясения, как судьба готовит другой удар. Понимаю, что люди умирают, - это закон жизни. Но сил переживать эти потрясения остается все меньше.",2020-05-06 21:58,5,https://www.b17.ru/forum/topic.php?id=313694
7,u596127,YuliannaEs222,После смерти мужа тоже мысли о смерти ,"Здравствуйте. Прошу помощи...Полгода назад у меня умер муж, он решил покончить жизнь самоубийством. Ему было 26 лет, мне 22. У  нас есть сын - 3 года.Конкретной причины произошедшего нет. У него был диабет, последнее время постоянно спал и был уставший, злой. Меня начинал пинать. И мы с сыном ушли жить к моим родителям. Муж остался жить со своей мамой (мы жили у нее). Всю неделю после ухода он меня донимал звонками, переписками. За день до произошедшего повздорил со своим отцом на тему денег. Съездил к другу - напился. Хотя ему нельзя пить. И через сутки сделал то, что сделал. Ввел смертельную дозу инсулина. Неделя комы.У меня нет слов, чтобы выразить эмоции по этому поводу, просто адская боль. И чувство вины. Он был очень хорошим человеком и отцом. И, конечно, я его очень люблю и сейчас. Одновременно с этим злость и ненависть к нему за этот поступок. Ненависть к себе. Постоянно себя виню. Не было ни дня еще, что бы не думала об этом и не плакала.Стала очень нервная. Была истерика однажды,когда увидела фото с выписки из роддома..когда пришла в себя - увидела, что зубами прокусила подбородок до крови. Сегодня свекровь написала, что сходила к нему на могилку, прибрала. И тут меня снова чуть не разорвало от боли. Мысли поступить также периодически возникают, но здравый смысл не позволяет это сделать. У меня маленький сын и возрастные родители. И я верующий человек. В очередной раз обратилась к видео протоиерея, который рассказывал, что убив себя, к человеку не попадешь. Хватило на два дня. А тут свекровь со своим рассказом.Я понимаю, что скорее всего не сделаю этого. Но страшно то, что за 22 года я ни разу об этом не думала, а теперь...Подскажите, пожалуйста, что делать?",2020-05-15 18:53,3,https://www.b17.ru/forum/topic.php?id=314904
8,u621195,Adriana Black30,Устала от жизни. Нет сил. ,"Здравствуйте, уважаемые специалисты. Вот уже 20 день чувствую себя паршиво. Устала от боли утраты, с которой не могу справиться. Достала самоизоляция, нет ни работы , ни денег. Поиск новой работы пугает. Сил уже нет. Надежды тоже. Вера в себя на нуле. Плачу каждую ночь, в теле невозможное напряжение, которое не могу снять. Дико болит голова. И кажется, что без той, которую я потеряла мне больше не спрааиться. Как уаидеть выход? Как вспомнить все ценное, что давала мне ушедшая и встать на ноги.",2020-05-11 19:55,4,https://www.b17.ru/forum/topic.php?id=314347
9,u615844,Анна21год,Проблемы с головой ,"Уехала в другой город, к чужим людям, тогда началась проблемы. Стала чувствовать себя рассеяна, потерялась концентрация, когда брала книгу, буквы расплывались и не могла уловить смысл предложения, так же проблемы с памятью, могла выйти из своего номера отеля и забыть, как пройти обратный, так же забывала всё по мелочи. Думала, что шизофрения, было очень страшно, как будто часть себя отвалилось. Кстати, виду я другим людям не подавала, они не знали, что со мной, но замечали за мной какие-то странности, например: я могла начать спорить с людьми не учитывая не которых фактов, потому что я их просто забывала, так же могла спорить по своей невнимательности и рассеянности, и это было очень глупо и нелепо с моей стороны. После всего этого, я отправилась домой и не выходила 6 месяцев, и не с кем не разговаривала.(Только в магазин, и то было очень трудно) Дома испытывала похожие проблемы: забывала зачем пришла в эту комнату (с включением и выключением утюга, с дверями та же история). У меня путались слова, я могла нести полную чушь, когда на меня давили или могла говорить словами, которые похожие по звучанию, но разные по смыслу. (Последнее было редко, но было!)(После 6 месяцев)Сейчас стала себя более-менее лучше чувствовать, но рассеянность и не внимательность осталась. Мир теперь не такой красочный, в прямом смысле слова. Я вижу мир словно за пленкой – словно в тумане, он стал бесчувственный. (Мир – это не только люди, но и всякие окружающие меня вещи.) Я боюсь, что при контакте с людьми у меня начнётся этот ужас опять. У меня есть два варианта из-за чего это могло произойти:1) Из-за марихуаны. Мои друзья познакомили меня с ней и с ними я курила где-то год перед поездкой. После появления первых звоночков, что мое психологическое состояние начинает пошатываться, я бросил марихуану и дурную компанию. Но я думаю, что нанесла неповторимый урон своему мозгу и теперь мне не видать нормальной жизни. T_T2) НеврозУ меня были жестокие и глупые родители, состоящие в абьюзных отношениях, так же подавляли мои эмоции. И я не воспитывалась нормально, я замыкалась в себе, меня часто дома унижали и оскорбляли, приходилось терпеть. Поэтому я склон к социофобии. Часто даже не знаю, как реагировать на неблизких мне людей, их шутки, эмоции.  У меня низкая самооценка, которую я стараюсь повысить. Я только отошла от своих родителей, взялась за голову и начала формироваться, как личность, но меня откинула обратно. T_TСкажите, может ли быть мое нынешнее состояние последствием курения или тут больше повлиял психологический аспект жизни? Желательно рекомендации дать к моей ситуации.",2020-04-17 15:36,3,https://www.b17.ru/forum/topic.php?id=311030
