,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u176520,Бездонная пропасть,Возможна ли взаимная любовь для меня? ,"Здравствуйте! Могли бы вы взять меня в демо? Устала от себя в последнее время. По многим причинам. Но больше всего это связано с тем, что у меня нет больше очень близких и душевных отношений, которые были раньше с терапевтами. Теперь я ищу хоть что-то подобное в отношениях с парнями, но не нахожу. И, наверное, просто нужно принять эту нехватку материнского тепла, интереса, близости, которая была, есть и будет всегда. Но периодически я снова не могу это принять. И что такое любовь, я больше не знаю. Хотя сама очень многих людей начинаю быстро и глубоко любить душевно. И не могу перестать, даже если они от меня совсем уходят. Сумбурно. Но пока так. Так я давно в терапии. Отношения с терапевтами разрывались дважды по их решению. И после второго раза больше такого тепла, привязанности, того, что бы лечило мои раны хоть как-то, я не нахожу.   Так я всегда в той или иной мере депрессую. Это моё обычное состояние. Множество способов ему противостоять и ползти дальше также знаю. Еще у меня в прошлом году маму лечили от онкологии. Теперь периодические обследования. На следующей неделе очередное. Это всё тоже очень тяжело и очень страшно. А помочь с этим в реальной жизни некому по сути. Живу с мамой и отцом. И это вся наша семья. Отношения были очень тяжелые с мамой, да и остаются в каких-то темах очень сложными. Но это тоже всё такое, перманентное. Так мне становится легче только когда я встречаю человека, который дает мне очень много тепла. Но потом это всё разрушается, как я и писала выше. И сейчас вот совсем я уже устала быть без вот такого человека, а подобный человек больше нигде не встречается. Ну и в обоих случаях, это были мои бывшие психотерапевты-женщины.",2019-08-17 23:05,3,https://www.b17.ru/forum/topic.php?id=176561
1,u589299,Internal Explorer,Анализ в русле селф-психологии Хайнца Кохута в Москве или СПб ,"Добрый день.Мне 33 года, кандидат наук, программист, мужчина.Подскажите пожалуйста терапевта, кто в Москве, МО или в Санкт-Петербурге (можно и в Нижнем Новгороде) работает в русле селф-психологии Хайнца Кохута?Его описания нарциссизма и терапии по книге ""Восстановление самости"" весьма совпадает с моими внутренними ощущениями и дают огромный отзвук внутри. Другую психотерапию выносить не могу. (В других подходах ранее возникала слишком большая рана внутри и гнев с бегством из терапии - от ощущения что терапевт не зеркальный объект; а интерпретации часто воспринимаются как больно ранящая критика, тем более не выношу конфронтаций в стиле О. Кернберга).Суть проблемы: мне нужно постоянное внешнее эмпатическое подтверждение для того чтобы ощущать внутреннюю связность ""Я"". Без одобрений и похвалы личность начинает рассыпаться, я ощущаю грандиозную пустоту внутри и диссоциацию-фрагментацию с появлением нескольких детских частей и внутреннего преследователя который ни слова ни говоря избивает уничтожающим стыдом; сильную депрессию, потерю работоспособности, очень злое состояние, адскую тревогу и мучительную деперсонализацию с потерей эмоций вообще.Если получил одобрение от кого-то кто кажется значимым - тут же фрагменты ""Я"" опять соединяются и какое-то время хожу цельным, бодрым, совсем не злым, сознание просветляется, работоспособность взлетает вверх, исчезает пустота, уходит ""внутренний преследователь"", тревога и деперсонализация. Как будто и не было болезни.Фармакология на всё это слабо влияет, антидепрессанты паллиативное облегчение дают на пару месяцев, а потом эффект исчезает. Частный психиатр одно время лечивший лекарствами эти ""колебания настроения"" (были перепробованы все типы антидепрессантов, главные транквилизаторы, вальпроаты/ламотриджин/литий/кветиапин) сказал в итоге что это в психоаналитической плоскости дело.В любви тяга к использованию женщины как ""селф-объекта"" регулирующего моё внутреннее состояние, все отношения разрушались с обвинением меня в крайнем эгоцентризме.В терапии как осознаю, на начальной стадии ищу зеркального отражения, терапевта мощно идеализирую и ощущаю слияние с ним-""грандиозным"" пока чувствую полную эмпатию; малейшая же конфронтация от терапевта мгновенно вызывает рану и фрагментацию, с переживанием крайне враждебного отношения ко мне.В детстве была очень неэмпатичная мама, как сейчас думаю она возможно страдает от синдрома Аспергера и поэтому отражать мои эмоции в раннем возрасте не могла. И отец грандиозный нарцисс, страдающий алкоголизмом, тоже почти лишенный эмпатии.На этом основании после обширного чтения литературы я подозреваю у себя нарциссическую патологию в варианте ""vulnerable narcissism"" (""covert narcissism"", ""introverted narcissism""). В статьях пишут что ""covert narcissism"" очень плохо диагностируется извне (в отличие от классического грандиозного) и пациенты долго страдают до его выявления. Мне к примеру за жизнь пытались то мягкую шизофрению поставить, то биполярное расстройство (психиатры); то синдром Аспергера, то просто сильный невроз вызванный враждебной частью суперэго (аналитики). Однако читая литературу в виде западных PDF-статей в научных журналах я сам осознал что это всё не оно, а именно нарциссическая проблематика.Одно время подозревал borderline personality disorder - но затем понял, что при бордерлайне нет такого резкого облегчения от одобрения/зеркалирования + нет тайных ощущений собственной грандиозности + выше импульсивность + в отношениях у BPD есть страх быть покинутым, ""липкость"". (А у меня не липкость к людям, а наоборот страх ""поглощения"" ими или критики. Покинутость нормально воспринимаю, сам постоянно бегу от людей).Почему я запал именно на Кохута - он максимальную эмпатию давал пациентам моего типа у которых дефекты связности в ""самости"", без всякой конфронтации которую я не выношу в терапии.Говорят Кохут в России непопулярен (популярен Кернберг который мне не нравится своей конфронтационностью, ранюсь им уже когда читаю его книги) - но возможно всё же кто-то есть работающий строго в русле его подхода?С уважением,DNikitov2020",2020-01-06 19:10,44,https://www.b17.ru/forum/topic.php?id=296891
2,u625259,Дмитрий 12-1967,"Депрессия, апатия ","Добрый день.  Обращаюсь к психологу впервые. У меня следующие проблемы. На протяжении многих лет страдаю от периодически возникающей депрессии, апатии, отсутствии радости в жизни. Не могу найти себе хобби, интересное занятие по душе, поэтому часто скучно.  Иногда случаются панические атаки.  Также не получается справляться со стрессовыми ситуациями. Наверное, поэтому ухожу от проблем с помощью алкоголя. Примерно раз в 3-4 месяца ухожу в запой  дней на 10. В связи с этим возникают ссоры и непонимание в семье, если так будет продолжаться, не исключен развод.  Мне часто кажется, что меня никто не понимает, не любит, как бы весь мир несправедлив ко мне. В эти моменты очень жаль себя.  Очень надеюсь на Вашу помощь.",2020-05-24 11:34,2,https://www.b17.ru/forum/topic.php?id=316076
3,u585352,Gimpel,Ничего не надо ,"Хотелось бы получить мнения специалистов по такому вопросу. Дано: мужчина, 31 год, высшее образование, живет с родителями, работает из дома удаленно за 25-30 тысяч в месяц. Зарабатывать больше не стремится. Говорит, что свое жильё ему не нужно, потому что ему все равно достанется родительская квартира. Своя семья ему так же не нужна (по его словам). В свободное время сидит в интернете или бесцельно шатается по улицам города. Близких друзей нет. На свою зарплату может купить какую-то вещь себе (1 раз в 2 или 3 месяца), а остальное просто копит и в основном живет за счет родителей. Ничем кроме интернета не интересуется, каких-то хобби, увлечений нет.Что можете сказать о таком человеке? Может у него депрессия?",2020-05-25 16:12,2,https://www.b17.ru/forum/topic.php?id=316249
4,u606554,CatWoman,Бессонница и тревога за будущее. ,"Доброе утро. Александр !Можно обратиться к вам с просьбой провести для меня демо - консультацию ? Запрос такой - я уже почти 4 месяца очень плохо сплю, причина - тревога и беспокойство по поводу моего неумения зарабатывать деньги на жизнь. Я живу в Анапе, переехала 2 года назад, снимаю комнату в гостевом доме. У меня есть своя квартира в Тульской области, я ее сдаю. Переехал в марте 2018 г , потому что следую по Пути Души, я ранее я являюсь последователем К. Довлатова, занимаюсь саморазвитием и личностным ростом. Я всегда хотела жить на море, и после проведенной со мной сессии , коучем ШК, Ириной Кукиной, я приняла решение отремонтировать свою 1 комн кв-ру и переехать в Анапу. Я тхочу, в перспективе, купить здесь квартиру, но пока не могу, по причине того, что это маленький город и зимой здесь нет работы. Летом, в принципе, тоже, было очень сложно найти работу, подходящую мне. Я не хочу работать по 12-16 ч в сутки. Раньше работала продавцом - консультантом одежды, но с нормальным графиком, 10-19. Тут таких нет. Работала 2 сезона горничной, заработала на данный момент эпикондилит правого локтевого сустава, теперь больше в эту деятельность не пойду, врач запретил нагрузку на правую руку.Сейчас в городе карантин, все магазины закрыты, вообще нет работы. Тревога за то, как и на что дальше жить и снимать летом жилье. не дает спать, потому что летом цена в 2 раза больше. вместо 6000  - 12000р в месяц. Моя квартирантка платит 7500 мне и все платежи там. Зимой сходится, но живу в проголодь, а летом.. непонятно что будет. Пожалуйста, помогите разобраться ! Мне очень надоело так жить, постоянно ломать голову. на что завтра покупать продукты и лечение моей кошке - Алисе, ей 1,5 года.Я хочу обрести уверенность в завтрашнем дне и научиться нормально спать, здоровым сном. Сейчас я постоянно чувствую себя уставшей, живу в хроническом стрессе и очень хочу из всего этого выбраться. Имеется также хроническая депрессия, уже не один десяток лет. Ранее работала с терапевтом, по скайпу, с коучами. Если возможно, хотелось бы 1 час пообщаться с вами онлайн.В режиме демо.",2020-04-23 08:54,2,https://www.b17.ru/forum/topic.php?id=311848
5,u596224,Ангелок в депрессии,Депрессия. Не хожу на работу ,"Сегодня третий день, как я прогуливаю работу. Сама не могу понять почему. Вроде работа нормальная, не тяжелая, стресса на ней не испытываю, там все ко мне хорошо относятся, особенно руководство, хвалят, поощряют, дают маленькие подарочки и тд... С коллегами тоже ровные отношения, ни с кем не в конфликте. В чем может быть дело такого нежелания, никак не могу разобраться? Погода тоже хорошая, не жарко и не холодно, т.е. сопротивления выйти на улицу тоже не испытываю. Так в чем же дело? помогите разобраться...",2020-05-13 08:59,10,https://www.b17.ru/forum/topic.php?id=314546
6,u407808,Reisen,Уплощение аффекта в контексте депрессии и дереализации ,"Недавно общался с одним психотерапевтом. Я связался с ним, чтобы узнать мнение о своем состоянии и получить рекомендации. Возникло 2 момента, на которые хотелось бы узнать другую точку зрения:1) в процессе он выказал интересный факт о депрессии: она имеет место там, где есть снижение настроения, но если настроения ""нет"" (жизнь не наполнена событиями, составляющих настроение + нет эмоциональной связи с чем бы то ни было), то и о депрессии речи не идет. Я о таком ранее не слышал. Так ли это на самом деле?2) меня сопровождает постоянное состояние, которое по описанию похоже на дереализацию, но мы оба полагали, что это не она. Однако я четко могу сказать, что у меня есть ощущение некоего тумана в голове, ощущение ненастоящности всего окружающего, словно я актер в театре, а также имеет место уплощение аффета, которое прогрессирует с годами. Врач сказал, что это точно не дереал, но не понимает, что это за явление. Есть ли у вас какие мысли на этот счет?",2020-05-25 03:22,1,https://www.b17.ru/forum/topic.php?id=316183
7,u609014,Колобок47,"мне плохо, одна,страшно,беременна, меня ломают и угрожают, устала ","Добрый день. Столько всего происходит, очень быстро. Был ранее брак, расходились тяжело было, в принципе муж хороший был, но разные, не жалею что развелись, остались родными людьми, у него в голове только работа и на благо общества он получает от этого удовольствие. Я переехала в свою квартиру без ремонта, сменила престижную рботу и занялась творчеством, потом Я познакомилась с мужчиной в сентрябре, встретились в октябре, месяц общались, домой не пускал, часто сидели до поздна в машине( у него нет своей квартиры), дарил цветы. Я была вынужденна подрабатывать в такси, он сказал, чтоб я не ездила, будет давать сумму не достающую(я была рада), но остерегалась, не почему то мне казалось, что он тиран, но мне так хотелось чувств, в конце концов влюбиться и если честно вдоволь назаниматься сексом(с мужем проблемы были), и я понимала, что это как сказать прийдется закончить так как отмечала для себя плохие моменты(слова, выражения и тд.) а еще я начала год назад у всех спрашивать про детей, как захотели, мне 28, боялась что не смогу забеременеть немного(было кровотечение и аборты), с мужем незнаю как не приятно было делать(1 раз было и вообще, фууу). а тут ну вот хочется и все, тем более он хотел, говорил, что материально потянет, ну там ты будешь матерью наших детей, муж так не говорил(уши я развесила, но не доверяла, но виду не подавала, нет же оснований не доверять человеку). Да и он так говрил с горящими глазами. Я понимала, но почему то очень хотела, незнаю почему. и 19 ноября, сказала давай попробуем, и получилось с первого раза, это наверно чудо. И если задать в глубине души вопрос жалею, нет.  Еще много всего происходило, из последнего месяца 15 февраля меня удерживали в машине моей же и забирали ключи, сломали ветровик, 11 марта за волосы тягали я тоже защищалась, Были у психотерапевта вдвоем на днях, я была очень удивлена, он ему в глаза говорил она сильная личность сломает тебя и если ты хочешь быть с ней то будет по моему, а вообще ей нужны деньги и она будет манипулировать ребенком, я офигела, это наверно ничего не сказать(вы знаете честно деньги нужны и изначально та сумма которую он предложил 20тр меня бы устроила, я бы смогла накопить на кроватку доделать ремонт(квартира 21квм), не переживать за еду и тд. Так как сейчас зп 21-24 минус ипотека 15, еще творчество дает оборот денег, но очень низкий выход, но я рада, а давать перестал в феврале. И когда я была там и меня спросили на что я собираюсь жить, я озвучила свои доходы и начала плакать, НО я мыслю позитивно и сказала это временно потом я выйду на хорошую работу, буду пахать но деньги будут и когда говорила обо всем никогда не брала его в расчет, потому что не могу надеяться. вообщем я на след день была очень подавлена, и чет все вокруг говорят типо не вовремя и я дура, но мне 28 почему не вовремя то, я 7 лет пахала руководителем это же не смымл жизни, меня мама оставила без жилья я накопила немного и оформиа ипотеку, есть машинка не дорогая, когда пора то, я бы и с хорошей работой могла остаться одна. Дело в том, что за 21 день марта мы виделись 3 раза и 1 день истерика его, потом за волосы дергал, и сегодня прошу отсать я реально думаю о том чтоб уехать из города, а он выглядит как угроза, я буду к тебе ездить, я начинаю просто рыдать взахлеб, я говорю че ты делаешь ляльке же плохо, а  он это не а ты я спокойно разговариваю, ая чувствую давление, потом пока я была на обеде приезжал звонил в домофон, мне вроде не страшно, а я хожу оглядываюсь. а еще он утром сегодня приехал говорит соскучился, зачем пустила не понимаю - животик гладит, мне хочется поддержки и ласки, так как я одна совсем в этом городе и с родителями не общаюсь(тоже долгая история драма какая то). подруги есть 2 и все в разных городах, но я им только и толдычу про свои душетерзания это не правильно и я их понимаю. вроде и мыслить пытаюсь позитивно, но все равно скатываюсь, где взять силы и как не реагировать на него, обычно я уезжала или не общалась а тут эмоционально не отпускают и я ведусь(после психолога ну а до этого волосы были предлагал целоваться, я еле как устояла чтоб не кинуться в объятья, понимаю что это плохо, меня за волосы тащили из машины а я готова этому человеку броситься на шею). помогите пожайлуста, незнаю поддержите чтоб выйти из этого состояния(потому что оно не стабильное, сегодня я рыдаю а завтра за волосы себя вытаскиваю из депрессии) я не хочу быть в роли жертвы, но мне тяжело на душе тяжело. я уже и масочки и в филармонию и пузяшком разговариваю и творчетво и не отчаиваюсь. а еще психотерапевт назвал меня проженной. что это я так и не поняла и почему он так говорил. получается я какой то манипулятор, ну разве манипулятор будут везде блокировать и готов от сего отказаться и остаться без еды и опять кататься в такси, занимаясь творчеством нюхаю клей и так а это вредно. постаралась быть откровенной, не пишите пожайлуста те кто предлагает помощь за деньги, и за 7 дней разобрать, пожайлуста не тратьте не мое не свое время, денег на консультацию нет, лучше отложу на кроватку и на первые месяцы с лялькой.",2020-03-21 15:33,3,https://www.b17.ru/forum/topic.php?id=307495
8,u469094,Lolyta,Работа вгоняет в уныние ,"На данном месте я тружусь уже 2,5 года. Раньше тоже были периоды, когда накатывала усталость и нежелание что-либо делать, но последнее время никаким отдыхом это состояние не убирается.Вот вроде бы и работа больше творческая, но спрос начальства такой, что создаётся ощущение конвейера, очень тяжело работать под гнётом тирании.Раньше я просто уходила в отпуск и мне становилось легче, появлялись новые силы, а сейчас даже месяц на дистанционке не выручил - устала, от мыслей о работе начинается изжога.Коллектив в основном возрастной, сними скучно, нет мотивации и какой-то эмоциональной подпитки от общения. Я целыми днями сижу в своём кабинете, редко парой слов перекинемся с коллегами, это не приветствуется начальством, дисциплина, как в тюрьме.Помню в детстве ненавидела школу, экзамены, контрольные, так радовалась, когда это закончилось, выйдя на работу сичтала, что эти ощущения в прошлом, не тут то было, они вернулись на этой работе.Уйти сейчас не имею возможности, здесь не плохая заработная плата, а сейчас с работой туго везде. Крик души - не хочу!!!каждое утро просыпаюсь с этими мыслями",2020-05-25 10:04,4,https://www.b17.ru/forum/topic.php?id=316206
9,u625234,Василиса200,Обида на родителей ,"Я в семье младшая, и всегда чувствовала долг быть хорошей дочкой,чтобы не расстраивать маму. И чувство этого долга меня и угробило. Любые попытки начать свою жизнь сперва сводились к маминым болезням, потом ссорам с ней, потом фразам ""я никому не нужна"" и это опять заставляло меня быть рядом. В желании угодить и не расстраивать маму,потеряла себя. И сейчас понимаю,что менять что-то уже поздно,очень поздно. И ненавижу себя и свою жизнь, за то,что я не могла сказать НЕТ столько лет! Жизнь прошла... Понимаю,что кроме мамы у меня никого нет! Но не могу находиться рядом с мамой вообще! Всплывают все обидные слова, поступки, развод родителей, понимание того, что я все упустила... Разговор не клеится с ней. Сразу слезы, обида и ""я же все ради тебя!"". Понимаю,что своим отчужденным поведением доставляю ей страшную боль... хочу исчезнуть.",2020-05-23 17:14,0,https://www.b17.ru/forum/topic.php?id=315996
