,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u164408,Iricka,Без названия или Не знаю что делать ,"Добрый день! У меня сложные отношения с мамой. Я как раз пришла на форум из-за сложившейся с ней ситуации и жалости к себе. Сначала темы тут, попытки разобраться в себе. Затем несколько очных консультаций. Затем психолог у сына. Помимо всего этого я участвовала в нескольких психологических марафонах. Все это помогло мне взглянуть по другому на мои проблемы. Что-то удалось изменить, точнее мое отношение. Точно могу сказать, что нет жалости в таком количестве. удалось понять некоторую суть своих действий, что стоит за ними. Т.е. процесс не стоит на месте.Однако, есть некоторые вещи, которые никак мне не даются. Умом я понимаю, но не могу отпустить и делаю так, как всегда. Потом переживаю, но снова делаю также.Дело в том, что я не могу избавиться от страха. Страха перед мамой. Я её боюсь как ничто другое в этой жизни. Как вошел этот страх в раннем детстве, так он до сих пор там и живет. Ум говорит одно, а чувства другое. Страх отнимает очень много сил, энергии. Из-за него бывает целый день уходит в никуда. Я каждое утро мой день начинается со страха - боюсь звонить маме, боюсь, что нужно будет с ней куда-то поехать, я боюсь быть рядом с ней... И каждое утро для меня это силы, которые надо приложить, чтобы успокоить себя, настроить на позитив. Иногда пью успокоительные утром, чтобы не портить никому день. Ни себе, ни детям.И вроде мама-то у меня не плохая, она старается для нас. Но что тяжело и мне и детям, она чуть что сразу взрывается и орет. Орет так, что хочется спрятаться сквозь землю. В последнее время уже и при детях не стесняется, переходит сразу на мат.Можно подумать о мазохизме каком-то. Если мне так плохо, зачем общаться с мамой? Но и без нее я не могу. Чувство вины губит. Что я плохая дочь, бросила маму. Да и без чувства вины у меня есть потребность в маме, быть в какой-то мере рядом. Да, привыкла так я.Вот такая вот каждодневная ситуация. И хочу, и не хочу. И могу, и не могу...________________Неделю назад у меня с мамой произошел конфликт. Суть его не важна. Итог мама со мной не разговаривает. Игнор. С одной стороны я получила, что хотела, делай что хочешь. Не надо созваниваться с мамой, нет каких-то общих дел. Но мне от такого конфликта все хуже и хуже. Практически и физически начинаю заболевать. Для меня остается невыносимым этот игнор и ссора. Когда я это понимаю, мне плохо от осознания такой сильной зависимости. Но не могу прекратить ее, все равно возвращаюсь снова и снова. Тут хочется написать ""худой мир лучше доброй ссоры"", вот это про меня... Я иногда думаю, что лучше вот так бояться. чем открыто ссориться. Но без ссор не получается. Не могу я совсем их избежать. То одно, то другое - ссоры случаются. Причем я в большинстве случаев просто молчу. Если возражать и доказывать, то еще хуже.Вот сейчас, уже неделю, я в мучениях... Как мириться с мамой, что делать, как перебороть страх и начать ей звонить? А надо ли оно мне...Я не знаю с чего начинать работу, я не знаю что делать, я не знаю как разорвать эту цепь страхо-зависимости. Моя жизнь разрушается, я сама разрушаюсь, но я тяну и тяну все это.Я берусь за какие-то отдельные части, но не вижу результат. Я пыталась работать со страхом, но он не уходит. Он усиливается. Пыталась работать с зависимостью, тоже все на месте. У меня неудовлетворенность от того, что уходит много времени и средств, а ничего не меняется в моей жизни. И тут все дело во мне, в моей слабости и страхе.______________________Что хочу от форума? В первую очередь просто высказаться. Высказалась. А далее хотелось бы услышать мнения, взгляд со стороны так сказать.",2020-05-24 14:24,7,https://www.b17.ru/forum/topic.php?id=316102
1,u618801,milaostapenko,Онкофобия ,"Добрый день, уважаемые психологи сайта! Хочу попросить помощи в решении данного вопроса. Раньше замечала за собой повышенный страх смерти после потери бабушки (это была внезапная новость, и я до сих пор не могу поверить). У меня именно детская реакция: будто бабушка уехала, но она вернется. Я умом понимаю, а сердцем нет. После этого наросла тревожность за жизнь родных. Очень переживаю за то, как долго будет еще жить моя семья. Были суицидальные мысли, но вот какого характера: заболеть бы чем-то серьезным и уйти... Сама себе физически вреда не нанесу Боже упаси, но вот болезнь - как выход. Далее я сама раскрыла в себе, отчего у меня есть такое желание умереть: от стремления получить покой. У меня зимой была высокая температура, я вообразила, что умираю и попыталась понять, что именно меня интересует в умирании. До меня дошло: покой. Именно его у меня нет, наросла большая тревога после потери бабушки. Т.е, стремление умереть это просто слишком грубый образ и сигнал моей психики, мол: успокойся, расслабься, отпусти. Это я поняла. Но проблема не ушла. Я возобновила свое желание жить, появился блеск в глазах, много дел, создала личные проекты, улучшила взаимоотношения с партнером.Но происходит нечто не понятное. Я испытываю вину перед своим организмом за свои мысли. Я знаю, что некоторые болезни - психогенны в больше степени. Онкология - для меня психогенная болезнь. У меня в роду от нее умирали (бабушки, дедушки, прабабушки). Появилась липома пару лет назад, и надо же было врачу ляпнуть: у вас есть риск заболеть... вы понимаете. Но тогда я жила мыслью о болезни, это порадовало. Сейчас - нет. Я чувствую вину перед организмом за свои мысли об этой болезни. И кажется, что она может наступить, ведь раньше я ее ждала. Теперь на меня навалились разные мелкие болезни, как не одно, так другое. Я болеть уже НЕ ХОЧУ. У меня много планов. Но я будто отгребаю за свои такие мысли. И развилась онкофобия: высматриваю родинки, хожу на узи, скоро иду сдавать анализы. Будто мысли о болезни и смерти меня ещё не отпустили. Подскажите, пожалуйста, что можно предпринять.",2020-05-24 12:46,3,https://www.b17.ru/forum/topic.php?id=316228
2,u302361,Kris1103,Секс и патологическое восприятие ,"В общем, такая беда, точнее 2 беды: 1. В последнее время (где-то с прошлой осени) я постоянно хочу секса. Казалось бы, что такого, но... Дело в том, что раньше секс практически меня не интересовал. Мы занимались им с мужем, но довольно редко, из-за чего он иногда ныл мне, что надо бы почаще. Но мне просто не хотелось. А когда я начала пить антидепрессанты и нейролептики, то либидо ушло вовсе. Но это было ненадолго, месяца на 3 наверно, год-два назад. Сейчас же я как с цепи сорвалась, хочу каждый день и не знаю, что с этим долбаным желанием делать. Оно мешает мне сосредоточиться на работе, оно вызывает неприятные ощущения напряжения, иногда напряжение достигает такой силы, что перерастает в паническую атаку. И это совсем не прикольно. Про мужа уже молчу, он не знает, куда от меня деться. Правду кто-то сказал: ""Мужчины хотят секса каждый день, пока не встретят женщину, которая хочет секса каждый день."" )) Мне его жалко блин, потому что я его понимаю. Иногда возникают мысли о леваке, но я понимаю, что это будет предательством с моей стороны. Я ненавижу предателей и не хочу сама становиться предателем. В конце концов, когда я не хотела каждый день, он не левачил. Так что эти мысли меня пугают, я не считаю их правильными. 2. Эта беда еще хлеще. О таком довольно неприятно говорить. Мой муж добрый человек, он любит меня, мне с ним хорошо и спокойно. Мы практически не ссоримся, даже сейчас, в период самоизоляции, мы живем хорошо и друг другу не надоедаем. Но почему-то я начинаю воспринимать его, как отца. Нет, я не ассоциирую его именно со своим РЕАЛЬНЫМ отцом, а просто частенько появляются такие мысли в голове, что он словно мой отец. Одна извилина думает: ""Блин, с ним тепло, как рядом с папой, он надежный, как папа... Папа, папа, папа..."", а вторая ее перебивает: ""Пардон, сестра, ты больная что ли? Ты с этим челом трахаешься, какой нафиг отец?! Камон, это долбаный инцест!"" И от этих противоречий голова кругом, хочется натурально кричать. Но что еще хуже, мысли об инцесте у меня крутятся вместе с постоянным желанием секса. И они меня возбуждают. В общем, я не знаю, что со мной за хреновина происходит, но от неправильности всего этого в голове каша и ураган. Рассказать это мужу стыдно, боюсь, что он подумает, что это все из-за него, и перестанет относиться ко мне с такой теплотой и нежностью. Да, еще такое дело: 3 года лечу тревожное расстройство вкупе с депрессией. Постоянно чувствую напряжение в горле и в солнечном сплетении, состояние, как перед экзаменом, иногда случаются панические атаки.",2020-05-12 15:11,7,https://www.b17.ru/forum/topic.php?id=314449
3,u466489,LarisaVb,"Невроз, ОКР ","Здравствуйте. Спасибо, что согласились помочь.Мне 40 лет. Уже год я нахожусь в этом ужасном состоянии, но, думаю, проявления невроза были намного раньше. Сейчас у меня постоянная тревога, бывают навязчивые контрастные мысли (боюсь, что сойду с ума, особенно боюсь, что у меня шизофрения или БАР, что сделаю что-то с собой или с детьми, боюсь впасть в депрессию). На фоне этих мыслей тошнота, голова кружится, бывает уснуть не могу, из сна выкидывает или какие-то картинки, обрывки мыслей, бывает мышцы дергаются и ""простреливают"", появился страх, что я что-то не так делаю, не так пишу сообщения, что-то говорю не так и люди видят какая я глупая и странная. Я обращалась за помощью к психиатру, психотерапевту и двум психологам, неврологу. Прошла курс КПТ. Мне все сказали, что я здорова и это ""просто нервы сдали"". Но это продолжается и если я здорова, то что со мной происходит? Помогите, пожалуйста, разобраться в моем состоянии.",2020-04-24 10:11,2,https://www.b17.ru/forum/topic.php?id=311985
4,u625593,Роман166,Притворяюсь что все нормально ,"Добрый день,  эта проблема у меня была давно, но я как-то сам справлялся с этим временно, но в этот раз она стала еще серьезней. Началось все с того, что я начал все реже общаться с людьми, сейчас даже в компании друзей я чаще всего молчу, а какую-то мысль мне становиться сложно передать. Не могу сосредоточиться на разговоре с человеком, теряется суть разговора в какой-то момент. Как будто я думал о чем то другом.С кровати буквально заставляешь себя встать, из дома выйти так же сложно. Часто в голове крутятся негативные мысли, думаешь  что хорошо, что плохо, часто осуждаешь себя за то, что не так сказал или сделал. Порой кажется что схожу с ума или становлюсь очень глупым, появилась сильная застенчивость, на фоне всего этого не могу заняться одним делом, внимание постоянно переключается.Тут еще прибавилась постоянная головная боль, нервозность при общении с близкими, начал замечать что сжимаю челюсть, пальцы рук и ног, сильно ухудшилась память.Вечно непонятные мысли в голове и при этом пытаюсь притворятся что все нормально, сейчас это длиться пол года.Как вернуться к получению радости от жизни и общением с людьми, как снова быть сосредоточенным ?",2020-05-24 10:01,1,https://www.b17.ru/forum/topic.php?id=316205
5,u292219,Затворник и Шестипалый,Тревога ,"Наталья, я вижу у вас появилась возможность давать демо консультации. Возможно на фоне того, что мы сейчас все изолируемся. Вы мне можете смело посоветовать поискать кого-то ещё и тд.Я последнее время очень плохо себя чувствую. Очень высока тревога. Что я сейчас это пишу и особо не соображаю. Я не могу пить антидепрессанты, поскольку они несколько меняют циркуляцию крови в малом тазу и хотите верить, а хотите нет, но буквально через пару дней мой нуждающийся в лечении варикоз начинает болеть. Его надо планово оперировать, но из-за коронавируса вся жизнь стоит на паузе. И с операциями плановыми и консультациями аналогично.Есть разные стрессовые факторы, которые на меня сейчас давят. Но если честно у меня даже ощущение последнее время, что я не могу просто спокойно мыслить.Я ругаюсь с матерью, потому что даже если я попаду в психушку или помру она не будет со мной проводить время. У неё есть работа, внучка или бог знает ещё чего. И вообще она устала, отвали. Вот такая форма поддержки.Мне наверное надо взять себя в руки и составить план и начать заниматься и делать упражнения. Я прочитал Кена Кизи пока был на самоизоляции. Сейчас читаю Олдоса Хаксли. Я...Может я начну с составления списка, что меня так сильно беспокоит на этой неделе?",2020-04-13 14:04,0,https://www.b17.ru/forum/topic.php?id=310470
6,u426524,Like The Moon,Психотерапия стихо-сложением ,"А давайте писать стихи ?! Стихи имеют свойство исцелять душу и ещё это увлекательный процесс , который тренирует мозги и развивает сообразительность Правило будет такое: подхватить две последних строчки предыдущего автора и сочинить своё.Погнали!Мне 36, зовут Чатланка!Всех приглашаю я сюда!В мой мир игры созвучных строчек,Для профилактики себя!Недаром в библии гласилось,Что слово  - мощная фигня!Им можно, словно бог, рождать жеМыслеобразность бытия!Давайте будем креативноСпонтанно мыслить ,Делать арт!Арт-терапия - это сила!Ну что , готовы?!Запуск! Старт!",2019-06-06 06:03,37,https://www.b17.ru/forum/topic.php?id=166921
7,u625609,oftentimes,Что если меня называют другом ,"Здравствуйте. Я человек новый на Вашем сайте.Просьба не задавать вопросы на которые у меня нет сразу ответа.Очень волнуюсь,  что пишу здесь.У меня есть два человека, которые считают меня другом.Мне не кажется,  но они приходят на квартиру, только потому что я собираю коллекцию алкогольных напитков. Я не считаю себя вправе отказывать им в удовольствии дегустировать,  потому что не делаю это один.Но когда они порядком засидевшись у меня в гостях начинают меня унижать,  так как в трезвом виде этого сделать не могут, наверное переживают что я их не приглашу в будущем к себе, меня это сильно греет.Друзьями я их не считаю, скорее презираю их.Что мне делать? Вчера поймал себя на мысли,  что хочу ударить человека по лицу.Помогите справиться с напряжением.",2020-05-24 11:23,4,https://www.b17.ru/forum/topic.php?id=316219
8,u617648,Вадим 49183850205819,Странное ощущение ,"Ощущение потеря связи с миром и как будто моё тело не до конца ощущается. Сидел за ноутбуком, читал по учёбе презентации и вдруг это чувство и не проходит. Что это?",2020-05-24 12:21,2,https://www.b17.ru/forum/topic.php?id=316225
9,u623486,naidych,"тревожность, скачки давления, боли в конечностях ","Добрый день! Хотела бы получить у Вас демо-консультацию. Тревожность и мнительность, которые присущи моему характеру всю жизнь, переросли в скачки давления. Теперь перед любым выходом из дома у меня волнение и скачет давление. А последний месяц появились боли в конечностях, блуждающие. Врачи ничего не находят, говорят психосоматика. Уже два месяца занимаюсь КПТ в группе, но пока не помогает, страх перед давление пока остается. Вы вчера отреагировали на это моё сообщение: ""Необходимо выяснить психогенную причину происходящего. Если уже 2 месяца работали, то, наверное, уже есть какая-то концепция происходящего? Из-за чего такие симптомы возникают, по-Вашему?"" По моему мнению всё запускается от страха, в голове наверно проносятся какие-то мысли о том, что я сейчас куда-то поеду, и там у меня поднимется давление, от этого будет инсульт и я умру.. т.е. приходим к страху смерти.. даже если я вопрос повышенного давления отпускаю для себя на какое-то время, обязательно возникает что-то, но что переходит моя тревожность: или в груди начинает болеть и я сразу думаю от инфаркте, или в животе боле и я сразу думаю об аппендиците или апоплексии яичника, или где-то ещё боли и  у меня сразу мысли о раке.. короче катастрофизация полная.. и вообще, нервная система очень быстро стала разгоняться на почве этого волнения, давления, чуть что, меня сразу в жар бросает, в голову дает, я чувствую высокое давление, страх, ну и т.д.",2020-05-17 14:05,1,https://www.b17.ru/forum/topic.php?id=315156
