,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u624513,Kiisa,помогите разобраться ,"Доброго времени суток. Долго собиралась с мыслями написать, всё думала - сама справлюсь. Не получается. Много статей читала на тему, как уйти от депрессии, найти смысл в жизни. Везде пишут: вспомните о своей мечте,поставьте цель и идите к ней. А что если мечта и есть причина депрессии ( как мне кажется ) ? Вернее неосуществимость этой самой мечты. А она одна единственная - самая, самая и думать больше ни о чём не могу. Мне через месяц 40 лет. Есть семья: муж, сын ( почти 13 лет ). Мечтаю о ещё одном ребёнке. Всеми возможными путями добиваюсь этого. Последние 5 лет превратились в один большой график, походы в репродуктивный центр, лапароскопия и т.д и т.п. Секс по расписанию (((.  В итоге перенесла ( но не пережила ещё ) одну зб и внематочную беременность. Опускала руки, но потом шла дальше и пробовала снова и снова. Устала очень. Мне почти 40 и шансов всё меньше. Моя мечта от меня всё дальше и дальше. Советуют отпустить ситуацию, но не получается, не понимаю как это сделать и сержусь на себя ещё больше. Умом понимаю, а сердце и душа рвётся на части... Ничего уже не радует, другой цели или мечты найти не могу. Как зомби, просто существую, выполняя набор каких-то своих обязанностей. У подруг по двое, а то и трое детей - стараюсь видится с ними как можно реже ( чувствую себя неуютно рядом с ними ). Понимаю,что надо что то менять. Помогите разобраться.",2020-05-22 11:51,2,https://www.b17.ru/forum/topic.php?id=315855
1,u625022,sadd11,Апатия и ощущение никчёмности ,"Добрый день! Меня зовут Настя, мне 18 лет. У меня такая проблема, что в последние несколько лет у меня стали учащаться по количеству в месяц и увеличиваться по продолжительности... как бы это сказать... приступы апатичности? Хотя перед этим случаются истерики на пустом, казалось бы, месте... Всё хорошо, вроде, а потом любая фраза/слово - меня понесло, слёзы градом, не могу успокоиться, самокопание и ненависть к себе никчёмной. Раньше это было на почве моего похудения. Я была нормальной, но начала сидеть на диете в 12 лет, потом срываться, набрала вес. Слабительные и вызов рвоты пошли в дело. Потом переборола себя, почти полюбила, но начались срывы в плане истерик (16-17 лет). Казалось, что я просто не хочу отрываться от семьи на время учёбы, но я всё же уехала (как-то почувствовала себя лучше и забыла всё, что было). Тот, к кому приехала, начал давить на меня по поводу того, что я не поступила туда, куда вот бы надо было бы, я очень жирная, вот похудеть надо бы. У меня снова начались загоны, истерики. Бросила учёбу. Уехала домой. Недавно приехала к другому человеку. Здесь стало ещё хуже. я надеялась, что буду работать, не буду видеться с ним настолько часто, но, спасибо карантину, я сижу теперь 24/7. Меня сначала оскорбляют, чего я такая жируха столько поглощаю, а потом насильно заставляют есть. Отказываться у меня уже нет ни сил, ни желания, потому что этот человек меня не слышит от слова совсем. Ему плевать, главное, сделай то, что он хочет (касается не только еды). На этой почве я ругаюсь каждый день, рыдаю почти тоже каждый день. Ощущение, что я ни на что не годна, ничего могу сделать нормально... Сначала у меня запал на новое дело, а потом, спустя каких-то дней 5, меня накрывает, ничего не хочу, ничего не получится. Хочу лечь, чтобы никто меня не трогал, и плакать...",2020-05-22 16:49,3,https://www.b17.ru/forum/topic.php?id=315882
2,u417212,Каюм,Психотерапевт затягивает терапию ,"Здравствуйте! Вопрос к клиентам терапевтов. Было ли у вас в процессе работы с вашими психотерапевтами ощущение, что он затягивает терапию? То есть вы чувствовали, что она могла бы идти быстрее, но почему-то от сеанса к сеансу вы продолжали чуть ли не топтаться одном и том же месте и это продолжалось достаточно длительное время (месяцы, а то и годы). Как будто терапевт специально тормозил развитие, и вы с каким вопросом пришли, с таким и остались. Если такие случаи были, то по каким признакам в поведении терапевта и его манере вести сеанс вы это отмечали и какие чувства вам подсказывали, что терапия искусственно затягивается?",2020-05-20 15:45,15,https://www.b17.ru/forum/topic.php?id=315602
3,u281046,робинзон,"""Тепличные"" люди или не хватает духу быть ""рыжим"" ","Однажды я сходил на футбольный матч. В команде гостей играл футболист с рыжими волосами. Местные болельщики использовали эту его особенность и не упускали случая поглумиться над ним. Лично мне было очень неловко за их поведение. Но все эти нелицеприятные выкрики производили обратный эффект: футболист как на зло играл еще лучше.) Его самообладание, психическая устойчивость просто поражали.     Подобные ситуации (прессинг болельщиков) часты в боксе. И вот я попробовал поставить себя на  место этих спортсменов и понял, что я бы не смог этого ни за какие деньги. Я не хотел бы больше ни за что приехать в этот город после подобной неприязни и оскорблений, возможно я бы не захотел после этого заниматься даже этим делом, связанным с подобными гадостями, не захотел бы ради высокой цели проходить через эти унижения ...   Не смотря на глубокую закомплексованность, я не лишен таких волевых качеств как целеустремленность, настойчивость, терпение(и даже в некоторых случаях мужество), но у меня очень слабая психическая устойчивость и этим я обязан особенностям темперамента и изнеженному воспитанию. Самообладание, выдержка, стойкость, решительность, уверенность мне неподвластны и в неблагоприятной психологической атмосфере, создаваемой в отношении меня окружающими, я полностью сдуваюсь. Зависимость от отношения ко мне окружающих, комплексы, психологическая неустойчивость как вынесенный приговор неудачника.",2020-05-23 01:49,16,https://www.b17.ru/forum/topic.php?id=315937
4,u464208,Limonchello,Повышенная потребность во внимании - лишний вес! ,"Помогите развязать этот клубочек. Ситуация такая, что неодинока, есть семья: муж, сын. Любимые и любящие, но в силу своих темпераментов и характеров, а так же занятости они не могут давать мне столько внимания сколько я хочу. А я хочу почему-то очень много этого внимания, вечно ною по этому поводу. Они (муж и сын) и целуют, и обнимают, и говорят что любят, а мне мало и мало. Достаю их своими обидками, особенно мужа, сына жалко:), но тоже хочется больше внимания от него. Понимаю, что попадаю в ловушку. Поскольку муж занят и сам по себе интроверт начинаю реагировать на комплименты, флиртовать с теми кто пытается познакомиться. Слава Богу до измен не довожу, это табу, но бывают сложности с прекращением общения со слишком навязчивыми и непонимающими мужчинами. Мне не нужны отношения на стороне, мне нужно лишь внимание. Понимаю что мой лишний вес, от которого никак не могу избавиться, хотя делаю все что нужно, это как часть внимания к себе, своему телу. Оно больше нормы, но пикантно и притягательно действует, выходит вот она вторичная выгода. А здоровье не благодарит и нужно быть стройнее. Очень хочется разорвать эту связку и придумать как понизить такую высокую потребность во внимании. Буду рада специалисту не на фиксированное количество сообщений или дней, а который готов провести тему до конца.",2020-02-25 11:12,4,https://www.b17.ru/forum/topic.php?id=304189
5,u621313,Mikelanjelo,Залезла в мою голову и не дает покоя ,"Привет, хотелось бы узнать ваше мнение. Мне нравится одна очень крутая девушка, онапрям идеальная. Мне так хочется общаться с ней, и поэтому я поставил себе цель. Цель примерно такая, заинтересовать ее, и взять ее номер, не ради романтики (хоть мне этого тоже хотелось бы) но я боюсь, что не смогу стать для нее номером один, а ведь мое скрытое желание которое я боюсь озвучить даже себе это стать для нее важнее всех, потому что она именно такая сейчас для меня. Как поверить в себя, и что я смогу добится ее? И какой план действий вы мне можете предложить? Что бы вы сделали на моем вместе, если бы вы поставили себе немного большую цель? И как действовать вабанк, как будто это мой последний день?",2020-05-22 20:54,5,https://www.b17.ru/forum/topic.php?id=315905
6,u416048,DrSens97,Мужчина должен ,"Здравствуйте, наткнулся на статью одного психолога тут. Что в природе мальчика достигать целей. Справедливо ли это что мужчина ОБЯЗАН достигать целей или нет? Что вы скажете?",2020-05-24 10:12,7,https://www.b17.ru/forum/topic.php?id=316064
7,u427688,Valerie_SW,Трудно начать учиться после длительной болезни ,"Здравствуйте, Александр Сергеевич. Спасибо, что согласились провести со мной демо-консультацию.Меня зовут Валерия. Мне 39 лет. У меня с детства бронхиальная астма. Последние 3 года я медленно восстанавливалась после тяжелой ятрогенной надпочечниковой недостаточности, возникшей из-за кортикостероидов, которые были назначены для контроля астмы. Ситуация развивалась больше 9 лет: невозможно было найти источник быстрой утомляемости, общей сильной слабости. И только когда я уже по квартире ходила с трудом, нашелся грамотный эндокринолог, который и выявил причину. Преднизолон и ингалятор Серетид дали такой побочный эффект. Я очень ждала восстановления, чтобы заняться учебой. Хочу освоить программирование под мобильные устройства.Сейчас я уже неплохо по моим меркам восстановилась и, наконец, есть силы (физические) заняться такой долгожданной за эти три года учебой.Я составила четкий план, что я делаю. Наверное, есть смысл здесь его привести.1. Повторяю по самоучителю алгебру до 9-го класса включительно. (Сейчас делаю, но часто отвлекаюсь).2. Иду на образовательный ресурс и беру курс по азам программирования. Частично задания там уже делала и у меня получалось.3. Изучаю по учебнику алгоритмы и структуры данных.4. После этого я беру на том же образовательном ресурсе более сложный курс по java.5. Изучаю программирование под мобильные устройства.6. Параллельно, начиная с п.1 изучаю (повторяю забытый) английский.Мое первое образование естественнонаучное, вуз окончила с красным дипломом. Раньше учиться получалось легко, без усилий.Еще очень важный момент: у меня есть абсолютная поддержка и всяческая помощь в освоении новых знаний от близкого человека, который в этом профи. В общем, слон пойман, разрезан на кусочки и остаётся начать его есть. И здесь как раз возникает проблема. Я всячески увиливаю от занятий. Откладываю их. Руки сами тянутся серфить в интернете. Я анализировала это свое состояние и нашла несколько проблем.1. У меня астма нестабильная и любое обострение может потребовать системных стероидов, которые опять заглушат надпочечники. Так уже было 2 раза за последние 3 года. Это значит, у меня будет перерыв в обучении, пока снова физическое состояние не восстановится. И эти перерывы меня сильно демотивируют. Я не вижу четкого последовательного процесса обучения, придется топтаться на месте, повторяя забытое.2. За время болезни (последние 3 года) я отвыкла от учебы, работы, погрузилась в жуткую прокрастинацию и сейчас очень сложно возвращаться к учебе.3. Есть опасение, что в 39 лет, да еще с астмой, мозги медленнее соображают. И вообще не поздно ли?4. Мне не хватает момента соревнования. Пойти на курсы очно не могу из-за здоровья.",2020-05-15 12:00,3,https://www.b17.ru/forum/topic.php?id=314850
8,u250865,lol-nomer-1,Накрывает подавленность на самоизоляции ,"Ещё раз здравствуйте, дублирую мое сообщение. Увидела вашу демку с Helika. Моя ситуация похожа на то что описывает она.Так же не понимаю что хочу в жизни, делаю какие-то действия, хожу на работу, общаюсь с м.ч., но не проживаю жизнь. Много лет ищу ""кем хочу стать"" и чем занять себя. Испытываю скуку и подавленность. В рамках демки хотела бы понять в каком направлении можно двигаться в терапии, какими методами, сколько это может занять времени(=денег), сможем ли сработаться. Мне кажется я имею тенденцию ""сопротивляться"" и подвергать сомнению всё что, мне предлагают профессионалы.Почувствовала потребность в консультации и желание начать терапию, потому что на самоизоляции меня ""кроет"" в домашних условиях больше обычного - начинаю депрессовать, чувствовать себя жалко и покинуто, плюс возможная необходимость вскоре сменить работу(увольняют из-за личной неприязни).",2020-05-19 19:04,0,https://www.b17.ru/forum/topic.php?id=315485
9,u378569,The Princess of Shadows,о сообщении в неположенное время ,"Здравствуйте. После одного не правильного поступка у меня возникла проблема, которую не знаю как разрешить.  Один раз, когда я была в не совсем нормальном для себя состоянии, я написала человеку. И все бы было хорошо, если бы время было не позднее. Я написала человеку (врачу-психиатру) в 22:49... Теперь мне кажется, что он не ответит мне, поскольку игнорит мое сообщение ..   Но мне нужна справка, что моя температура тела не является ""заразной"". Вообще не знаю могут ли существовать такие справки :) Дело в том, что  у меня температура тела от 36,0 до 37,7 градусов на протяжении дня. А я хочу устроится на подработку, нужна сан.книжка... Сейчас карантин , проверяют температуру, и мне нужно подстраховаться. К тому же я не горю желанием быть в игноре или где, из-за того, что я не всегда слежу за временем...  Я сильно проштрафилась с врачом? Как Вы считаете , какова вероятность того, что он ответит?Пока он не отвечает, но оставил в друзьях ...",2020-05-20 16:25,2,https://www.b17.ru/forum/topic.php?id=315612
