,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u140101,julia svetlova,Направление жизни ,"Большое спасибо, Дмитрий Николаевич, что согласились на демо-консультацию.Очень рада, что дождалась.У меня сейчас - очередной сложный-переходный период в жизни.Просьба побыть со мной в этом.",2019-09-09 07:13,11,https://www.b17.ru/forum/topic.php?id=179662
1,u625670,Елена,"Нужно работать, а я не могу ","Полтора года назад мне стало плохо: усталость, слабость, мозги будто не мог сконцентрироваться, апатия. Меня мучили тревоги. Я не смогла работать, мне пришлось уволиться. Я немного отдохнуть, взяв в долг (ведь здоровье важнее).Я была уверена, что расплачусь. Я всегда нахожу выход из сложных ситуаций и буду работать в 3 пота.Но время шло. Я лежала на диване и спала как убитая. Нет ни физических, ни моральных сил. Незачем дальше жить.Дальше я пошла в больницу - гормональный сбой, клиническая депрессия. Я лечилась, но даже деньги в долг закончились, а сильных улучшений нет. Я перестала лечиться т.к. денег нет. Сейчас я боюсь работать, я не хочу работать, я не смогу.. Но мне нужно, чтобы выплатить долги. Стать бомжом и жить на улице - лучший выход для меня, мне так кажется. Да, я умом понимаю, что это не должно было быть так. Что моя жизнь не должна балы так закончится..Если смотреть рационально - сейчас мне нужно пойти работать, успокоиться и потихоньку выплатить долги. Но я не могу пересилить депрессию, себя. Я не могу подавить тревогу и страхи. И не знаю что делать. Я не могу справиться сама. Как вы думаете есть ли какой-либо выход?",2020-05-25 15:36,0,https://www.b17.ru/forum/topic.php?id=316246
2,u622170,Aglya,Что делать если нет мозгов ,"Я в школе была тупая. Мало что понимала, но учителя думали обо мне, что я хорошая девочка. Потому что мне приходилось... я всегда приходила на занятия, не мешала, делала дз -в их глазах человек, который внимательно слушал 45 минут учителя все понимает ...а на деле -у меня в голове было 0.Для меня было адом все. История я не запоминала вообще. Нам задавали пересказы параграфов ...и я даже 10 листов запомнить не могла. Могла читать весь день и все равно ничего не запоминала.Информация не укладывалась вообще. По русскому -было страшно. Как писать какие-то слова... вообще дикость, за диктанты 5/2 всегда. Я даже не понимаю как в маленьком сочинении делалось столько ошибок. хотя после моей проверки было все правильно, а 5/2..Единственное что более менее -математика. Сложить на пальцах или калькуляторе цифры -это было просто для меня. Выучить пару формул.Все всплыло после 9 класса когда я стала сдавать экзамены.Учителя поняли что я ничего не знаю. Вызывали мою маму и сказали, что у меня пустая голова...что они не знают как я сдам.. Мама бегала всегда с подарками чтобы меня тянули.В институте начался треш.. я ходила на все лекции, старалась. Но было тоже самое. То, что люди делали за день...я могла делать неделями. При ответе было 3 обычно и мне говорили,что я списала. Хотя списывала я в 5% с общего обучения.Ужасные адские времена были. Я хотела учиться, но словно у меня не было мозгов для этого.Понятное дело, что потом лучше не стало.Недавно приснился сон.... я опять в школе, учителя нас готовят к экзаменам. Моя учительница ходит и говорит нам о подготовке. Подходит к каждому и оценивает знания. После проверки меня ...она ставит минус и спрашивает: ""у тебя есть кому тебя содержать?"" Я молчу и резко просыпаюсь. Я так испугалась... для меня это страшно..не понимать мир, не мочь взять знания...я реально боюсь а что будет.. почему  во сне я слышу такие вопросы.Понимаю,что мозгов у меня нет. И я не понимаю что делать с этим",2020-05-24 11:05,11,https://www.b17.ru/forum/topic.php?id=316072
3,u465389,Nataxa777,Прошу помощи. ,"Здравствуйте ! Если честно уже не знаю с чего начать такой беспорядок в голове. Последний год наверно со мной происходит самое страшное. Год назад я шла в магазин и у меня на улице очень сильно закружилась голова, что мне пришлось сесть на землю. Я тогда сильно испугалась и с того дня перестала выходить на улицу. К слову за пол года до этого случая я уже обращалась к психологу, меня беспокоила постоянная беспричинная тревога когда я нахожусь в общественных местах. Вот после этого случая пол года я вообще не выходила из дома, потом начала работать с психологом по символдраме начала хоть и не одна но выходить из дома, но со своей тревогой я до сих пор ничего не могу сделать. Я думаю что и ПА случались именно из-за тревоги. Эти страхи , тревога и ПА просто не дают мне жить, я уже не знаю что мне делать, к кому обращаться. Помогите мне пожалуйста!",2020-05-21 16:50,2,https://www.b17.ru/forum/topic.php?id=315750
4,u601694,Nenki,Не знаю что делать со своей жизнью ,"Во мне что то сломалось, наверное. Почему-то перестал видеть смыслы в своих действиях. То, что приносило удовольствие стало безразличным. Опять пришлось уволиться с работы так как стали болеть кисти и стопы, плюс судороги, а ещё ноги оттекли. Видимо тело не выдерживает работу на ногах по 12 часов. Устал от бедности. Опять испытываю глубокое разочарование к этому миру и к себе в частности. Смысл мне находиться в этом мире, где я не могу обеспечить себя материально на достаточном уровне или хотя бы не страдать физически?",2020-05-18 20:15,2,https://www.b17.ru/forum/topic.php?id=315355
5,u107840,Мирабэлла,Задачка... ,"Задали по ""Основам психологии"" тест. Я Посидела основательно написала ответы - решила тест. Сдала, довольная и уверенная, что все верно. А мне возвращают с комментариями: ""один ответ верный, два пункта наполовину, а остальные из десяти - неверные"".В лекциях ответов не нашла. Может мне на этом сайте помогут? А? Пожалуйста!",2020-05-05 20:53,4,https://www.b17.ru/forum/topic.php?id=313556
6,u239380,Наташа46,Как выкидывать вещи? ,"Как выкидывать вещи?Если одна и та же вещь  один день у меня вызывает радость, а  второй день день - нет?",2020-05-18 11:23,5,https://www.b17.ru/forum/topic.php?id=315284
7,u622611,early rise,Не знаю как быть ,"Здравствуйте.У меня вопрос.Помогите пожалуйста с определением данного феномена.  Не могу идентифицировать себя уже на протяжении нескольких недель.Суть проблемы в том, что в нашем доме поселился новый сосед в квартиру, которая прямо под моей.С этого момента моя спокойная жизнь закончилась. Виделись с ним на улице один раз , ему лет 30, у меня рядом с ним возникло ощущение что он ""дурак полный"", но всё меняется когда он в квартире, т.е. когда ведёт диалоги по телефону,  мне слышно,  жуткие вещи, от которых становится не по себе, особенно когда разговоры про его дела, про его занятость.Как быть в этом я не знаю?",2020-05-25 13:28,3,https://www.b17.ru/forum/topic.php?id=316234
8,u139876,Eva97,"Не знаю что делать со своеи жизнью, с мужем. Пустота ","здравствуите Вера. Спасибо, что отозвались.начну с фактов:  с мужем женаты 7 лет, детеи нет. муж все это время наседал с детьми,но был вечно всем недоволен- то я недостаточна хозяиственная, то о нем не забочусь, то недостаточно женственная, мужиком называл, за то,что я интересуюсь работои черезчур и мне было важно наити работу по душе, а не просто чтобы ""получить договор лишь бы где и уити в декретныи"".в общем вечное недовольтво мужа стало мне поперек горла и я из зависимого положения(финансово), стала прилагать усилия, чтобы вырваться из этого давления и ""ты должна быть такои и такои"". я закончила универ, нашла работу, мне она не нравилась, но надо было где-то начать работать. муж ждал,что я получу там договор и уиду в декретныи. (я при этом нахожусь в другои стране, где я одна, и мне важно было получить гражданство,чтобыполучить свою стабильность  в стране).но я проработала 3,4 года на старои работе и нашла другую работу (в другом городе) недалеко (77км) можно ездить, но я сеичас взяла квартиру на 3 месяца (пока испыт. срок) отдельно в этом городе ,чтобы разобраться в себе.На старои работе был женатыи коллега,с которым завязались отношения, которыи рассказывал что уидет от жены и бла бла бла. В общем есть к нему чувства, но с его стороны не было деиствии, одни слова и страхи всеобщего осуждения и потери друзеи и зоны комфорта.Он то хотел ко мне переехать на квартиру - чувство было.что прямо испугался, что я ушла от мужа в свободное плавание. Но т.к. его не было никогда ни в поисках квартиры, ни в обсуждениях будущих планов я его послала, сказав-отличная идея жить вместе: как поговоришь с женои, приходи конечно. На что он начал невнятное,что может бесконечно говорить о любви ко мне и т.д. но слишком велико его чувство вины к жене и дочке,чтобы сказать там ""Б"".на квартире я проживаю максимум до среды, потом не выдерживала и ехала домои. Квартира у меня до концы марта еще, но я живу с мужем дома. везде плохо и одиноко, но дома отя бы муж-есть с кем поговорить.Друзья есть , знакомые (я ранее работала недалеко от этого города), и тут записалаь в спортклуб и с девочками познакомилась, но у них семьи, дети. а я как ""не от мира сего"", нигде не могу наити ""пристанище"". и ощущение одиночества не покидает.Я не знаю что мне делать, как потерянная.... Работа нравится, все устраивает, зарплата неплохая. Но понимаю,что не это я хочу.семьи мне не хватает, любви, внимания, чувство что я никому не нужна.Сеичас мне уже не скучно, это както прошло, перешло в безразличие и какое-.то потереянное ощущение радости жизни. вообще я оптимист по жизни, а тут как будто этот женатик забрал мою радость. еще момент-с женатиком отношения были 4 года, но секса (классич) не было - я так и не смогла ему довериться и полностью открыться- боялась беременности (на мои вопрос что будет делать,если ребенок, он: ну буду заботиться о нем, я вообще детеи больше не хочу, но если будет-буду рад) меня такое не устроило и собственно я не могла быть с ним полностью открытои  и довериться на все 100 - потому что как можно довериться человеку,если у него есть другая женщина....я так и не смогла преодолеть этот барьер, хоть чувства к нему есть и куча надежд конечно с его слов (он обещал уити когда дочке будет 18, потом когда она уедет на год в японию, потом когда приедет из японии, потом он ""не могу, тяжело уити"") в итоге, дочке уже 21 будет а воз и ныне там.я просто не знаю что еще рассказывать, много всего было и с мужем.с женатиком вроде договорились о дружбе, и вроде все неплохо складывалось, я чувствовала себя (о боги!) наконец то полноценнои личностью рядом с ним , а не таинои за семью печатями, и вроде все не плохо было, пока я не увидела его радостные записи на посиделки с женои и у меня от ревности снесло крышу. и его жена узнала что мы в компании были с ним на квэстах и устроила ему взбуч (т.к. я настаивала,чтобы была открытая дружба). я сказала ему что прости, я буду нечестна к себе и к тебе и буду плохим другом, я не могу быть другом ,когда есть чувства и делать вид,что их нет и все хорошо не могу.понимаю,что ты не хочехсь бОльшего, поэтому я ухожу, т.. я хочу отношении с тобои (если уж..)дальше он писал, потом пропал на месяц. через месяц пришел и сказал,что дочка уезжает учиться с апреля и он может переехатъ ко мне жить. а квартира моя до марта-я предложила переехат уже в марте и потом искать квартиру вместе. на что он сказал,что в марте не может-хочет еще дочке помочь (я сказала,ты и так это можешь делать, живя со мнои), вместе квартиру он сказал искать боится, что я его выгоню, потому что не уверен,что нужен мне- я типа свою личную линию делаю и гну часто. на что я сказала- а какую линию ТЫ планируешь со мнои, чтобы я пересмотрела свои линии? ответа не было. его предложение было,что каждыи уходит от партнера и ищет отдельные квартиры и мы встречаемся и сближаемся, т.к. он не уверен во мне и по сути меня не знает.я сказала,что ТЫ за эти годы ничего САМ не сделала для сближения(на все мои предложения провести вместе время, были отказы -жена.жена...). на это его предложение я отвеила,что если ты за 4года не знаешь нужна ли я тебе, то ответ ясен- НЕ нужна и нечего нам время дальше терять. еще я спрашивала какие его планы на нас, на меня, как кто мы будем жить вместе. ответов не было.я сказала,что план ""встречании"" мне не нравится и я не буду этого делать. если он не уверен - предлагаю март-жить у меня месяц и понять это. бОльшего предложить (без его планов и конкретики не могу) и что не стану рисковатъ стабильностью и защитои которую дает муж и тем,что муж по сути единственныи роснои человек в этои стране(какими бы не были наши с ним отношения) и если со мнои что-то случится, то только муж будет рядом как и предыдущие 10 лет - и этим всем рисковать ради... ради чего? встречании. нет, такого я делать не буду и я не этого хочу. и либо мы живем вместе сразу и он заступается за меня как за женщину (он боится что его семья меня ненавидеть будет, если ссразу от жены ко мне, а не в ""пустоту"") и мы преодолеваем трудности вместе либо он идет к жене и не морочит мне голову.он ушел. потом писал что-то, потом его друг передал через меня комп-он встретился со мнои.еще женатик сказал,ну ты когда на новую квартиру переедешь даи адрес, я типа буду жить с тобои))я сказала,что сама не планирую дальше снимвать квартиру-одна жить не хочу и еще месяц испыт. срока на работе- я пока останусь дома. а дальше будет видно.на дня мне подогнали квартиру (неожиданно), я решила что это как знак. послала женатику с вопросов если нужна квартира, мне тут ""свалилась"" (он же хотел переежать- решила проверить серьзност его слов, хотя было понятно, что это очереднои трындежь). Он заинтересовался и сказал,что со мнои поидет смотреть ее вчера.  За 10 минут до встречи он ее отменил кучеи извинении и что не хочет эту квартиру и желает мне удачи,.чтобы я ее получила.я сказала, что думала тебе помочь, ты же хотел уити, но не знал куда- извини, неверно тебя поняла. мне однои квартира не нужна,иначе бы я тебе ее не посылала.занавес. я поwла на бокс в спортклуб и отбоксировала злость.",2020-03-06 13:36,3,https://www.b17.ru/forum/topic.php?id=305564
9,u361837,n1k2i3a4,Жизнь в селе . ,"Здравсвуйте. Хотел узнать все ли в селах живут подобным образом как мы . Понимаю что у всех по разному но хотелось бы узнать общие принципы чтобы понять - а стоит ли вообще жить в селе .Я 92 года рождения . Мои родители сельские изначально также как и их родители в общем коренные сельчане .  Изначально после войны был колхоз , мел завод , кирпичный завод , фермы , был клуб , школа , и очень очень много народу - это по рассказам так как в 60-е я не жил . Что теперь ... Молодежи нет - все поразьехались в города почему - потому что работы нет в селе нет ни колхоза ни фермы и мелзавода ни кирпичного завода - все это  было в селе . Из села приходится добираться на автобусе или машине в ближайший город на работу , при этом держим хозяйство , огород.Как живут городские - все покупают . Как живут сельские - часть покупают часть выращивают сами . Но вот уже что то вырастить просто так не получается - картошку нужно обработать химикатами чтобы жук не сьел - а значит она отравлена , также как и городская в магазине тоже хрен знает чем обработана . Чтобы вырастить тех же бройлеров купив молодняк суточный - ему нужно купить таблетки и вонючий гранулированный комбикорм - потому что самодельный пшеницу ячмень кукурузу перемолотые и смешанный они едят неохотно и не растут . Единтвенное только что поросята и корова - реально экологически без всяких химических вещей - трава, букаки , кабачки . Зерно тоже не понятно чем опрыскивают и поэтому хлеб сейчас тоже под вопросом . Выходит что жизнь в селе ничем не отличается от городской - работы в селе нет приходится ездить в ближайший город , после работы обрабатывать огород опрыскивая от вредителей , кормить птицу вонючим комбикормом . Только вот корова и поросята выращиваются также по старинке как и раньше - но корову держать очень не просто и если некуда сбывать молоко тогда ее держать невыгодно - куда девать молоко . Получается что жизнь в селе стала какой то другой , мы получается также покупаем продукты , вещи , как и городские , только что живем в своем доме , но тратим деньги на дорогу так как работа в городе . а если село в 30 -50  км от города ? Все ли так живет в селах или только мы и есть ли выгода в проживании в селе если теже продукты что покупаем также травятся и выращиваются химически .",2020-05-24 12:07,20,https://www.b17.ru/forum/topic.php?id=316084
