,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u145649,oksa123,Проблемы с дочерью ,"Добрый вечер!Просто умоляю помочь мне понять, как можно исправить поведение дочери. Ей 6 лет, с самого рождения очень эмоциональна и импульсивна, ее тяжело было переключать с того, что ей хотелось. Лет, наверное, с 3х начались истерики по пустяковым поводам: не хочет чистить зубы, не хочет высмаркивать нос и тд. Минутное действие требовало прилюдий и получасовых разговоров-уговоров. Справляться удавалось, но 2 года назад родился младший сын и спустя примерно еще полгода дочка стала невыносимой.Год назад были случаи энуреза и энкопреза, но удалось все быстро наладить. Сложнее оказалось с ногтями (причем на всех конечностях), она их объедала до мяса. Опять разговоры длинною месяца в 3 и все прошло как страшный сон.Сразу скажу, что времени я с ней провожу достаточно и занимаясь, и играя. Брата она обожает и с ним часто играет. Что беспокоит именно сейчас, так это грубость и чрезмерная импульсивность. К примеру, она может раскричаться из-за элементарной просьбы одеть кофту или тапки, убрать за собой кружку или зубную щетку, не говоря уже об игрушках.  Может нагрубить или сказать что-то приказным тоном. Особенно достается бабушке, конфликты бывают по несколько раз в день.Я за своей речью слежу и обращюсь с ней вежливо, не приказываю никогда. Наказываю лишением радостей (телевизор, сладости). Разговариваю постоянно, но опускаются руки, тк в спокойном состоянии она все понимает и со мной согласна, но каждое утро у нас как день сурка - все по-новой. И так каждый день.Все известные мне методы: лишение удовольствий, разговоры, объяснение логических последствий, премии и похвалы за достойное поведение работают временно. Хорошо действует только одно - когда я выхожу из себя и начинаю кричать, она успокаивается и несколько дней может ходить как шелковая. Но я так не хочу, так как сильно эмоционально опустошена. Я рисую ей ""картины"" и показываю, как интересно может быть, когда мама в хорошем настоении, вижу, как она счастлива, но наступает новое утро и все те же самые проблемы всплывают опять....",2020-05-21 23:31,1,https://www.b17.ru/forum/topic.php?id=315814
1,u613281,Anett13,Как правильно поступить в ситуации с сыном-подростком? ,"Здравствуйте! Возникла такая щекотливая ситуация: на день рождение сына (13 лет) была подарена крупная сумма денег, с договоренностью, что он копит на телефон и не тратит на ненужные (на мой взгляд) вещи (в т.ч на оплату разных прибамбасов в компьютерных играх, тк считаю ,что в 13 лет прокачивать комп.персонажа - рановато). И вот окончание 6 класса на отлично, я предлагаю добавить нужную сумму и купить телефон, в качестве подарка за отличную учебу, но...начал юлить, отказываться, откладывать на потом, мол этот телефон тоже пойдет, он ещё не старый, может вообще я буду на игровой комп копить, и тд....Пол вечера звенел мелочью и ходил со своей копилкой в руках. Напрямую спрашиваю:Ты потратил деньги? Отвечает: Нет, прошу показать- кормит ""потом"", ""попозже"" копилку спрятал. Вопрос зачем? Ответ - чтоб не соблазниться на траты. При этом либо не смотрит на меня, либо исподлобья, либо напрягает глаза, чтобы не моргать и не отводить их...как бы выпучивая. Не так давно был случай, дала ему на неделю деньги на обеды в школе, в итоге попросила взаймы с возвратом, начал ""искать"",. Потом сказал, что потерял, через 10 минут сказал, что когда ходил в магазин на него напали мальчишки незнакомые и забрали деньги.... Я ответила, что об этом говорят сразу, начала расспрашивать, кто напал, где, что это не игрушки и не шутки, пойдем в полицию заявление писать - отказался, признался, что потратил на компьютерную игру, точнее на прокачку персонажа... в итогеНа следующий день он ушел на улицу и прислал мне смс: Я переживаю, что ребенок видит меня монстром, хотя я стараюсь разговаривать, не кричать ,не всегда правда получается, я его уже не дергаю с компьютерными играми, учится он отлично, но и контроля времени в комп у нас нет. В этот вечер после смс мы так и не поговорили, потому что  я не знаю как правильно выстроить разговор. С одной стороны это его деньги,  а с другой - была договоренность... Запуталась([ Сообщение изменено: 24.05.2020 - 13:03 ]",2020-05-24 13:02,1,https://www.b17.ru/forum/topic.php?id=316091
2,u257323,Флюгер,Как научить ребенка дружить? ,"Дочери 5.Очень требовательная и напористая.В компании с подружкой постоянно верховодит .Маму девочки это обижает, оно и понятно.Сегодня вывела меня из равновесия.Весь мозг мне съела прогулкой с ними:""Когда-когда они выйдут?""А как вышли , отвернулась и отказалась общаться.Пришлось уйти домой. Всю дорого втолковывала, что так невежливо себя вести.",2020-05-24 16:41,1,https://www.b17.ru/forum/topic.php?id=316116
3,u625542,AdaWong,Финансовая самостоятельность в 14 лет ,"Здравствуйте!Моей дочери в августе исполняется 14 лет. У нее имеется пассивный доход 21 тысяча рублей в месяц(сдача квартиры+пособие). Для нашего городка это хорошая сумма, многие взрослые, имеющие семьи, детей, зарабатывают меньше.Она хочет, как ей 14 исполнится, попробовать сама распоряжаться этими деньгами. Оплачивать коммуналку за свою квартиру, покупать продукты, сама готовить, одежду, мыло, шампуни и т.д. и т.п, вообщем, как бы жить независимо.Жить, конечно, будет со мной, но хочет проверить не сядет ли она в лужу, сможет ли правильно распорядиться деньгами, не протранжирить все, а потом просить у мамы. Она в себе уверена и считает, что даже накопит на крупные покупки. Как считаете, стоит ли в 14 лет проводить такой эксперимент? Может быть попозже? Осенью она идет в 9 класс, а после будет поступать в колледж, может быть, уже после 9 класса экспериментировать? Или вообще не надо, а ждать совершеннолетия?",2020-05-25 00:19,5,https://www.b17.ru/forum/topic.php?id=316173
4,u621921,IvannaBol,Ребенок сосет палец ,"Моей дочери 2.9От соски отказались в 2 года, спокойно без истерик. В 2.5 пошли в сад, через пару месяцев начала сосать палец, оказалось в группе так делает мальчик, от него и научилась. Боремся с этой привычкой уже несколько месяцев, уговорами, объяснениями, мазали палец специальным детским лаком горьким, ничего не помогает. Начиналось  с безобидного сосания, просто так, а сейчас замечаем, что сосет палец, когда нервничает, стоит ее поругать, сразу палец в рот. Как избавиться от этой привычки?",2020-05-17 16:17,0,https://www.b17.ru/forum/topic.php?id=315178
5,u625345,Ната Григорьевна,Подростки и сотовые телефоны ,"Я мама пятерых детей. Воспитываю одна уже 13 лет. Старшему 23 года, он женат, живут сейчас с моей мамой. Младшему - 5 лет. Средним - близнецы мальчик и девочка по 16 лет, учатся в общеобразовательной школе, и погодка их - мальчик 15 лет, учится в кадетском корпусе с круглосуточным пребыванием, приезжает на каникулы домой. Сейчас у меня с детьми конфликт по поводу времени ""нахождения"" в телефонах. Близнецы учатся очень плохо. Им некогда. Заниматься ни в каких кружках не хотят, объясняя это тем, что не будут успевать с учебой. Но очень много времени проводят, играя в игры на телефоне, просматривая видео, общаясь в социальных сетях. Были планы, что они поступают в ВУЗ после 11 класса. Но теперь понимаю, что с теми знаниями, что есть у них, это не реально. Опять платить репетиторам, зачем? Если у них самих нет тяги к учебе? Их брат-погодка учится отлично. Консультировалась с психологом. Ходили и мои дети на консультацию. Вроде всем все понятно. Но желания сильнее. Ну нельзя непрерывно ""сидеть"" в этих играх. Я не могу просто ""закрывать"" на это глаза. Я устала. Порой не хочу идти домой. Мы постоянно ссоримся на теме ""Дети и телефон"". Я стараюсь использовать телефон дома исключительно в рабочих моментах. У меня ненормированный рабочий график. Как мне с ними ""договориться""?",2020-05-24 07:47,0,https://www.b17.ru/forum/topic.php?id=316056
6,u282375,id282375,Когда твой ребёнок психопат. ,"Решила назвать тему, украв название статьи. Меня интересует этот вопрос. Лично. Систематизирую данные одной из популярных статей об Американском центре Mendota Juvenile Treatment Center, где энтузиасты содержат детей-психопатов, самые сложные случаи, попавшие туда от коррекционных центров каждого района, и от пенитенциарной системы. В подробности пока не вникла, по-моему там в любом случае ребёнок должен систематически совершать серьёзные преступления. А иначе останется в лучшем случае в местном коррекционном центре, которые ничем не блещут. Остаётся надеяться, что так как система даёт результаты, она будет экстраполирована и ""рядовых психопатов"".   Что пишут? Что 60.2 трудно диагностируется и спецы не торопятся с таким диагнозом т.к. долгое время это считалось опасным пожизненным приговором. ""В мире детской психиатрии это практически смертельный диагноз. То есть, это значит, что ничто не может помочь"". Шизофреники и то бывают хорошо адаптированы и даже успешны, а тут... Что определить можно с младенчества, а в  3-4 года очевидно. Что поступки их не импульсивны, а спланированы с умом. ""Оно было продуманным и преднамеренным"". Что родители часто бегают по психологам и врачам, а те склонны ставить более лёгкие нарушения или оптимистически смотреть, но что характерно - винить родителей. Это западная статья, молчу что у нас. ""Ребёнок реагирует на жесткое обращение и отсутствие любви.""    Признаки. ""Недостаток эмпатии, раскаяния и чувства вины, неглубокие эмоции, агрессивность и жестокость, безразличие к наказанию. Бессердечные и неэмоциональные дети без проблем причиняют другим боль, чтобы получить, что хочется. Если они выглядят заботливыми и участливыми, то, вероятно, пытаются вами манипулировать."" Прокомментирую последнее предложение - это жутко видеть, ребёнок и правда мил, красив, добр, трогателен, голосок нежен. Понимать двойное дно, манипуляцию со стороны ангелочка - это фильм ужасов какой-то. А если твой ребёнок любимый - швах, одним словом. ""Расстройство легко упустить из виду, поскольку многие очаровательные дети с этими чертами достаточно умны, чтобы маскировать его.""    Наш психолог говорила:- Мне нравится ваша девочка, она милая, добрая умная, с ней приятно работать. Она прекрасно развита, всё умеет. Рисунки правильные, яркие. Виноваты вы, со своими правилами в семье.    Дочка говорила о психологе (мне):- Тётка будет делать, что я скажу. Если не дашь мне то-то, натравлю её на тебя. Конечно, я скажу ей, что она хочет услышать и нарисую рисуночек, который она желает увидеть - мне ведь хочется, чтобы она меня хвалила.    И т.п.   Что есть генотипическая, есть фенотипическая психопатия. У кого она сформирована из-за жесткого детства - достаточно вынуть из среды + реабилитирующие мероприятия и привет нормальный член общества. ""А другие дети демонстрируют отсутствие эмоциональности даже если они выращены любящими родителями в безопасных районах."" ""Нам нравится думать, что любовь матери и отца может все исправить, но есть случаи, когда родители делают все, а плохой ребенок – просто плохой ребенок"". Мне кажется, что это всеобщая нападательная на часто бедных, измождённых, и без того с комплексом вины, родителей, стратегия - это общественно зло, с которым надо бороться.   Диагноз как ставят. ""В то время как нормально развивающиеся дети к 3 - 4 годам волнуются, если видят плачущих детей, и либо пытаются утешить их, либо сбежать, то безэмоциональные дети демонстрируют холодную отстраненность. Психологи могут отследить эти черты вплоть до младенчества."" Моя доводила до слёз дочку подруги лет в 5 - 6. И прямо злобно так. Та глупая была, верила, велась на какие-то слова, оскорбления, манипуляции и в плачь. А моя подливает масла в огонь. Я тогда и сама не думала, что это так важно и опасно. Думала, ну поругались, игрушки не поделили.    ""Исследователи из Кингз колледжа в Лондоне протестировали более 200 пятинедельных младенцев, отслеживая, предпочитают ли они смотреть на лицо человека или на красный шарик. Те, кто предпочитал красный шарик, демонстрировали больше безэмоциональных черт спустя 2,5 года."" Моя бы точно на красный шарик. Но не проверяла. Но насколько я её знаю и понимаю, красный шарик интересный, а лицо скучное. А она любит всякое интересное. Никогда раньше не задумывалась.   ""Первым опасным предвестником становится проступок или преступление, совершаемое ребенком 8-10 лет в одиночестве, в отсутствие взрослых."" - моя воровать начала, правда, раньше.    Мозг. Лимбическая система содержит меньше серого. ""Может умом понимать, что он вытворяет неправильные вещи, но он не чувствует этого."" От этого предложения у меня холод по спине. Напомнило разговоры с моей. Я знаю и она на словах понимает, что поступает плохо, что мне плохо, что всем плохо. Она ЗНАЕТ это. Но ей как бы пофигу. И она говорит ""Не знаю почему делаю, я тогда не думаю об этом. И потом не думаю. Просто хочу и всё.""    ""Человек с недостаточно активным или недостаточно развитым миндалевидным телом может не ощущать эмпатии или не сдерживать насилие."" Причина - не распознаёт страх и другие ""белые фраги"", которыми невербально оппонент передаёт капитуляцию и нормальный останавливается. А психопат идёт до конца так как нету природного табу. Человеческое табу он выучил, а природного нету. А мы руководствуемся природными моментами гораздо чаще и сильнее человеческих. Это подтверждают многие эксперименты.    Про низкую частоту сердцебиения у Малышевой в программе есть. Пульс вроде ниже 60 должен быть = психопат. У моей тоже низкий пульс, но не ниже 60. Кардиолог говорил ""сердце спортсмена у неё"". Меня помню это насторожило. Она всегда была плохим спортсменом и по уровню подготовки не опережает обычного школьника, не лучшая далеко по физкультуре и т.п. Потому что моими силами в спорте держат. Кардиолог логично заключил ""аа ну спортсменка, с 3,5 лет, понятное дело"". А сейчас я свожу одно с другим. Бесстрашие, гордость за него: ""Я лезла по тонкой веточке дерева и не упала, а все боялись"". ""Я шла на кладбище и обратно. Все водители и велосипедисты с удивлением оборачивались. А чего? Со мной ничего не случилось. Где они, твои маньяки?"" Из книг предпочитает приключения.    ""Есть также ""оптимальный уровень психологического возбуждения"", и люди с психопатией ищут стимуляции для подъема своего сердцебиения."" - а вот это мысль! ""Давал безэмоциональным детям стимулирующие препараты, их поведение улучшалось."" - а это уже идея...    Эх, всегда ненавидела и не понимала таких людей. Её папа был таким. И мужчины мне такие попадались (я их не выбирала!) Стараюсь по-возможности держаться подальше. И вот ребёнок. Дееевочка. Крест мой такой, что ли?     ""Гиперактивная система вознаграждений"" - наверное, психопаты часто становятся неизлечимыми зависимыми людьми. Игроманами, и так далее -манами. Я своей всегда говорила: ""Им можно играть в телефон, а тебе противопоказано. Они могут и играть, и учиться, и жить. У тебя - крышу сносит."" Ей обидно. Так и мне обидно!    ""Их мозг игнорирует признаки опасности или грядущего наказания."" ""Если вы не слишком озабочены негативными последствиями своих действий, то вы с большой вероятностью продолжите поступать плохо.""    Надо помнить, что мозг формируется до 25 лет. А значит, до этого времени шанс есть. (Утешаю я себя). Плавно подходим к способах коррекции. Не могу сказать, лечения.   1. Формирование привязанностей у бессердечных детей. Есть короткое время между его выходками, ремиссия, для того, чтобы успеть наладить позитивный контакт. Я это знаааю. Вот вроде бы идёт общение, доверительное. Ей глаза открыты, в них понимание, эмпатия какая-то. 1 - 3 минуты и потом - бах! - закрылась раковина ни с того ни с сего. Глаза стеклянные, если я не заткнусь и не уйду - начнётся кривляние, выходки... - надо сваливать, короче. И ждать следующего окошка. Но у меня вопрос: разве это фрагментарное общение = привязанность?   2. Бейсбольные карточки. Удивительно! Не реально соврать, в другой, первой своей теме я писала, что изобрела наиболее работающую систему, которая работает уродливо, но лучше всего. До системы дошла эмпирически с потом и кровью. Никто меня в той ветке не услышал, а мне и стыдно было раскрывать нюансы кому-то. И так море критики в свой адрес и призывы ""пересмотреть отношение"". Каково же моё удивление, что учёные единственного в мире (или в США хотя бы) центра эффективной коррекции таких состояний разработали систему ""до боли похожую на мою"". Ну теперь не стыдно, значит. У меня другие названия, сегменты, часы, мотивашки, сложная система, которую долго описывать и не надо. Хорошо описал автор статьи: ""После того, как он объяснил мне систему начисления очков (что-то из области высшей математики для меня), парень сказал, что подобный подход должен означать успех и во внешнем мире – как будто мир также работает по системе призовых очков."" - ключевое слово, что система сложная. Но такие люди на удивление легко и с удовольствием ориентируются в ней. Моя знает систему лучше меня, поправляет, если я забываю. С энтузиазмом. Но увы, она топчется внизу системы. Один из парней хвастался, что у него ВИП статус и он в верхах. Но у них там разбежка и есть те, кто не стремятся попасть наверх.    ""В Мендоте он начал понимать, что краткосрочное удовольствие может привести его в тюрьму, а отложенное наслаждение принесут более длительные дивиденды в виде работы, семьи и, что важнее всего, свободы. Это откровение снизошло на него во время погони за баскетбольными карточками."" - вооот на это я всегда пыталась обратить внимание и психологов, постоянно подчёркивала это, но никто не слышал меня. Я пыталась развить отложенное удовольствие, маршмаллоу тест, а она выбирала удовольствие сейчас и пофиг вьюга, что дальше.    ""По словам Кента Киля, программа похожа на тягание весов, только в нейронном плане: ""Если вы тренируете свою лимбическую систему, то ее характеристики улучшаются"". - этим я и пыталась заниматься, используя и спорт и другие занятия. Какая поддержка для меня эта статья, знать, что вопреки общественному мнению, критике, непониманию я шла напролом, интуитивно чувствуя, что права, потому что это работало хоть как-то. Надо придумать более чёткую систему, такую идеально последовательную. Я всегда этого хотела, но не хватает мозгов или сил это сделать.(  Наказания должны быть быстрыми и ограниченными (пишут), а поощрения, наоборот, системными.    Пишет, что нормальными им не стать никогда. ""Но они могут развить осознанную совесть, интеллектуальное осознание того, что жизнь может приносить больше удовлетворения, если они будут подчиняться правилам"". То есть через интеллект и выгоду. Читать это больно, очень больно.    ""Его успех особо значителен, поскольку его случай был одним из трудных – он был мальчиком из хорошей семьи, рожденным причинять насилие."" - то есть рождённые в хорошей семье признаются самыми трудными.((   ""Невозмутимое спокойствие персонала ослабило его защиту. ""Эти люди были как зомби, – вспоминает Карл со смехом. – Можно было ударить их в лицо, а они ничего тебе не делали"" - это то, к чему мы в итоге пришли в той ветке, что надо, чтобы я была как робот. В ""Дитя робота."" ""Он никогда полностью не приспособится к жизни, но пока ему удается оставаться преимущественно в рамках закона. "" ""Она выглядит расстроенной, но больше возвращением к скучной рутине, чем отъездом матери."" - это так, копирую информацию о психопатах, черты которых кажутся мне знакомыми. ""Но настроение ... может резко измениться. Все дело в том, что ее крайности чересчур экстремальные. Ты всегда ждешь, что что-то случится."" - один в один! ""Самое трудное в том, что от этого никогда не избавиться. Это родительство с большими ставками. И если мы проиграем, то проиграем по-крупному.""     Когда я пишу эту статью, я предполагаю, что как всегда найдутся люди, кто скажет, что к моему ребёнку это притянуто за уши, а на самом деле я плохая мать (информация о ребёнке им для этого не нужна, они делают выводы от балды). Обычно я злобно-аллергически реагирую на подобные выпады. А сейчас словила себя на мысли, что я очень хочу оказаться ""плохой матерью"", но чтобы мой ребёнок не оказался психопатом.    ""Я плохая мать, я притянула за уши, я просто ""пересмотрю своё отношение"" - и забуду это как страшный сон!"" Я лёгкая добыча для злобных дилетантов в таком состоянии, конечно. Я очень хочу нажать на кнопку ""бабло""....",2020-05-23 02:26,18,https://www.b17.ru/forum/topic.php?id=315940
7,u282375,id282375,Систематическое воровство у ребёнка 11 лет. ,"По проблеме своей высказывалась в ветке, скину ниже, но совесть надо иметь - решила всё-таки создать свою. Перетянула одеяло.    Все наши проблемы, родителей таких деток - похожи, очень похожи. Все комменты первых 3 страниц и первые N-психологов - тоже: любви дай (как будто не любящий будет бегать по врачам-форумам), отца дай (показательно, что такие проблемы есть и у отцов-одиночек, и у полных семей, я продвинутый ""соискатель"" таких как я, всех поровну), денег ребёнку дай (как будто у таких детей есть мера или где-то денег можно достать без меры), семейные правила у вас плохие (и таких семей я видела в разных регионах с разными культурами, а доходит отнятие правил до того, что собственно только одно и остаётся), список можно продолжить, достаточно ввести в гугл проблему, там все статьи как под копирку.   Вернулась на форум т.к. сегодня мне посоветовали в центре родного города очередного психолога, а я, найдя её тут, увидела, что это та самая, у которой я была уже 3 года назад. Круг замкнулся. Просто брать психологов по одному и пока не найду либо что-то страшнее случиться? Подход вызывает сомнения: мало того, что это затратно + бессмысленно = деньги за опыт, что этот не подходит. Так самое главное - каждый новый психолог вводит по новой свои порядке. Не следуешь им - ""снимаю ответственность, не выполняете рекомендации"", следуешь - по 9 кругу ада прогоняешь и без того травмированного этими опытами ребёнка, с заранее известным финалом, и, наверное, закрепляешь его поведение ещё больше.    Где найти спеца, который услышит и поверит, что если проблема длится более 5 лет, и человек не алкаш и образованный, то он наверняка читал и гугл, и все популярные книги по психологии, и перешёл на монографии, и сделал тесты, и обошёл кучу людей, и мыл пол руками + плакал + думал-думал кучу бессонных ночей и у него уже такое знание своего ребёнка, что можно докторскую защищать. А система, существующая в семье, конечно, уродская, но точно лучше книжных советов и вынужденная мера на данный момент, позволяющая удерживать ситуацию от негативного сценария, чтобы ребёнок, в случае-таки нахождения грамотного спеца - вернётся не на пепелище своей жизни. Есть ли вообще выход у таких детей кроме детдома и психушки?",2020-05-20 11:49,3,https://www.b17.ru/forum/topic.php?id=315575
8,u211672,id211672,зачем нужны дети? ,я не понимаю зачем нужны дети? для меня это лишь финансовая дыра и создание кучи проблем. я много думал над этим..... ответа не нашел,2020-04-26 07:43,4,https://www.b17.ru/forum/topic.php?id=312244
9,u479151,Kseniaya,Не горжусь ребенком ,"Ребенок стал часто говорить, что я постоянно говорю, что кто-то лучше (сделал упражнение, учится и тд). Но при этом, этот же ребенок не хочет ничего сделать, чтобы у меня не было повода так говорить. Ощущение, что амбиций ноль просто.Например, ребенок закончил 3 класс с 5 четверками по основным предметам. Из 10 отметок -5 четверок, 5 пятерок (физра, изо ит .д.).Сам ребенок говорит - у меня вссего 5 четверок из 10, поэтому я хорошо учусь.Я говорю - что это не так. Ты можешь лучше, просто не стараешься, не дисциплинирован, не организован, постоянно отвлекаешься. Да и многие эти 4 и 5 - по большому счету мои, а не ребенкины. Если бы я постоянно не наседала - давай делать, давай учить, готовиться к уроку и т.д. - а отдала бы на откуп ребенку - результат был бы гораздо ниже. Ребенок себя организовать в достаточной степени не может.Поэтому конечно, когда я узнаю результаты других детей - например, племянница того же возраста закончила с одной четверкой, при чем делает все сама, там мама не лезет в это. Подружки на танцах-  отличницы круглые за весь год и четверти.У меня волей-не волей возникает сравнение, конечно я начинаю на них ссылаться. Ей это не нравится. А на кого я должна ссылаться? На Васю Пупкина, возможного троечника?Я бы и рада не ссылаться, но мне то хочется результат выше. И раз я вижу, что в окружении есть дети, кто учится на отлично - значит и моя может. Ничего сверхестественного там нет, просто надо серьезней относиться.Тоже самое и с допзанятиями. Делает какой-то минимум. Для уровня ""для себя"" - неплохо. Но если какие-то соревнования, то уже всё - ей похвастаться нечем особо. Потому что есть гораздо более продвинутые дети ее уровня и возраста.Ребенок жил в состоянии успеха весь дошкольные период. Ее хвалили везде, где только можно - и в саду, и на занятиях, и в школе перед 1 классом в хороший класс попала по уровню подготовки. Ребенок не был раньше каким-то аутсайдером, у которого ничего не получается.Но не может и не хочет, такое ощущение, поддерживать эту успешность и уровень.А мне плохо от этого. Столько сил вбухано, а получается ребенок везде серая мышка, ничем не отличается от массы.И вот учебный год законен - а мне даже не хочется хвалить ребенка, потмоу что вспоминаются сразу все эти ""кривые лица"", когда я заставляла садиться за уроки. То есть усилий ребенка я вообще особо не вижу. ЗА что хвалит? Успехи - тоже у кучи других детей выше. ЗА что хвалить?Я не знаю, я запуталась.Раньше хвалила постоянно, но и результат был - ясно было за что хвалила. А теперь получается эта похвала, как нищему подачка  - молодец, четверку получила. Умница какая (и плевать, что 10 человек пятерку получили). Или молодец, научилась стойку делать (в то время как другие уже по 20 минут стоят и ходят в ней). Ну как то так в-общем.Я не знаю, как выпутаться из этих мыслей...Дополню - я готова хвалить даже за минимум, но если это сделано на пределе возможностей, на преодолении себя. То есть я вижу, что дается очень тяжело - но ребенок сидит, учит, не сдается,  и в итоге получил четверку. Вот это молодец. Горжусь.Но если ребенок не старается особо, ничего не делает для того, чтобы было лучше - и эта четверка - это чисто выезд на старых знаниях и на общей эрудиции - то тут хвалить не за что, я считаю.[ Сообщение изменено: 19.05.2020 - 12:02 ]",2020-05-19 11:58,12,https://www.b17.ru/forum/topic.php?id=315420
