,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u274498,Александра166,Куда дальше двигаться? ,"Здравствуйте!Прошу вас взять меня на консультацию по разбору моего состояния по поводу переезда свекрови к нам в соседний дом.Я нахожусь в отчаянье,не поникаю что делать дальше,куда двигаться в браке.В мыслях уже не исключая развода в будующем,но сейчас вот. Как не готова развестись-я много вложила в эти отношения ,считаю ,что в целом у хорошие отношения,когда не маячит рядом свекровь.Все границы семьи ,которые сейчас есть сделаны были мной и мне понадобились колоссальные усилия на это.Я разделила бюджет(раньше свекровь имела полный доступ к нашим деньгам,все траты делала без согласования ),я встретилась с ужасным негативом ,когда я озвучивала ,что мама его не слёг нашей семьи,я настояла о переезде,хотя готова была уже сама съезжать без мужа с маленьким ребёнком.мы обеспечиваем его маму отдыхом ,это происходит за наш счёт.Меня удивляло ,что всегда он сам экономит ,я тоже подстраиваюсь ,мы всегда ужимаемся в отдыхе и если едим куда -то то берём самое бюджетное.Мама же ,царевна ,как сказала куда хочет и какую сумму -он всегда даст.и его не смущает ,что бюджет маминого отдыха выше нашего.Ездил раньше с ней отдыхать ,объясняя мне ,что она старенькая и ей скучно одной.Ладно ,с этим разобрались.Муж вроде как обещает не повторять ошибок.Не уверенна.Я не чувствую границ с его стороны для посторонних отношений наших семейных от его мамы.Я не чувствую себя в защите.Мне бы хотелось,чтобы мы были за одно и выстаивали границы вместе .Помогите понять ,пожалуйста,что я могу сделать ,на что у меня есть силы ,а что мне возможно не изменить и придётся либо принимать что -то ,либо самоустранятся с этого брака.Мужа раньше любила очень,после всех этих ситуаций не могу сказать это сейчас.У нас много общего,мы уравновешиваем друг друга ,есть о чем говорить,заботимся друг о друге,он хороший отец.сейчас я рассматриваю мужа больше как партнёра -удобно или нет мне с ним.Немного грустно от этого’Получается у меня сейчас есть расчёт больше ,чем чувства.Иногда даже думать стала о любовнике ((,чтобы как -то уравновесить наш союз . У него мама -у меня любовник .Но это вряд ли сделает меня счастливой.",2020-05-23 19:01,2,https://www.b17.ru/forum/topic.php?id=316010
1,u594482,Stiglitz Hugo,Как избавиться от созависимости ,"Здравствуйте. Я закончила с вами тему о страхе разорвать отношения. Отношения закончились. Вы сказали, я страдаю от созависимости. Хочу избавиться от этого, перестать следить за бывшим в социальных сетях, а после этого самой себе портить настроение когда вижу, как он заводит новые знакомства с другими девушками. Хочу в следующих отношениях быть другой- не ревновать так сильно, не контролировать и не нуждаться во внимании партнера круглосуточно.",2020-05-14 14:00,0,https://www.b17.ru/forum/topic.php?id=314726
2,u455703,Скарлет02,Любовница ,"Никогда не думала, что столкнусь с этим....но увы и ах....я стала любовницей....если можно так сказать....Чуть больше года назад пришла на новую работу, в коллективе много мужчин и молодых парней, соответственно все их внимание привлекла я. Так как я довольна привлекательна внешне, да и внутренний мир  тоже интересен, то свободные парни стали бегать за мной толпами, оказывать знаки, флиртовать, кто-то даже пробовал ухаживать и оказывать знаки внимания. Но я ни с кем в близкое общение входить не стала, т. к. во-первых, я никогда не приветствовала служебные романы и считала, что ни к чему хорошему они не приведут, а во-вторых, у меня было тяжелое расставание с моим бывшем мужем три с половиной года назад и я до тех самых пор была в трансе, можно сказать, на тот момент я еще полностью не отпустила ту ситуацию, развод, и очень не хотела близко подпускать к себе кого-то из мужчин. Да и с самого детства мне было проще дружить и просто общаться с парнями, чем с девчонками. Мне просто нравилось мужское внимание, флирт, легкое общение, мне нравилось мужское внимание, нравилось понимать,  что я еще нравлюсь мужчинам (муж мне вбил в голову, что я страшная, толстая, никому не нужна и прочие гадости; я была в жуткой депрессии и сама уже во все это поверила). Женщины меня поначалу плохо приняли, им не нравилось, что все мужское внимание теперь в мой адрес. Но потом все нормализовалось. Чисто по человечески, естественно, я оценивала коллектив и мужчин и понимала кто мне нравится, кто нет. Один мужчина мне понравился сразу, но у меня никогда не возникало даже мысли о том, чтобы завести с ним какие-либо отношения. Может быть потому что он женат, может быть потому что он старше меня намного, я не знаю. И вот спустя год работы меня как будто по голове ударили. Просто в один прекрасный день, как по щелчку пальца, я проснулась с дикой мыслью, что я хочу ""его"" увидеть. С этого дня я стала немного по-другому на него смотреть...в то время как назло намечался корпоратив, а его жена уехала к маме (мама живет на море) в гости на три недели. Я шла на корпоратив с одной мыслью - заполучить его себе...точнее не себе, я хотела просто близости с ним, побыть с ним вдвоем...и ничего более серьзного....так мне казалось... Я получила, что хотела. Ту ночь мы провели вместе...Он мне признался, что в принципе для меня не было секретом,  что я ему тоже давно нравлюсь и он хотел со мной более близкого общения. Он много раз за ту ночь спрашивал и переживал, что это все алкоголь влияет на меня. Весь месяц мы встречались, он убедился и успокоился, что он действительно мне нравится, а не просто алкоголь повлиял на меня. Мы сразу договорились, что симпатия взаимная, но никто другу другу ничего не обещал и ничем не обязан. С приездом его жены мы больше не встречаемся по вечерам, потому что он не хочет скандалом, т. к. это отразится на детях. Я не настаиваю, хотя мне и тяжело. Мы созваниваемся иногда, на работе можем парой фраз перекинутся, еще он мне помогает с ремонтом машины (его знакомый мастер делает мне машину бесплатно), но не более того.   С женой они давно уже живут как соседи, через год когда младшая его дочь окончит  начальную школу - жена с детьми уедет к матери, а он останется здесь, разведутся. Об этом и он мне говорит и на работе все это знают, т. е. это точно правда. Он мне сказал, попросил, что все у нас будет хорошо, но через год, если конечно же я согласна ждать так много времени. Поначалу я его понимала и не настаивала на встречах...А теперь мне с каждым днем тяжелее, я скучаю и думаю, может он обманывает. Если вы знаете, что разойдетесь через год и вообще давно уже как чужие люди, зачем тогда так прятаться от нее и избегать встреч со мной, хотя бы редких.? С другой стороны, наверное, из-за уважения к ней и любви к детям.Я не знаю, что мне делать....с другой стороны, я даже рада, что мы не вместе сейчас, потому что я боюсь опять обмануться, уколоться....Спустя 4 года после моего развода - он единственный человек, которому мне захотелось сказать ""люблю"".... Я его не понимаю, иногда мне кажется, что у него ко мне чувства, а иногда кажется, что нет никаких чувств, а просто страсть...Подскажите, что мне делать.P.S. он женат, у них двое детей и он старше меня на 20 лет.",2019-09-04 15:39,5,https://www.b17.ru/forum/topic.php?id=179034
3,u431436,July-36,"Что движет людьми, совершающими инцест? ","Я имею ввиду агрессоров, то есть, родителей и дедушек с бабушками. Братья-сестры, отчимы неинтересны, интересен именно вариант кровосмешения по прямой нисходящей линии от реальных предков к потомству. Зачем им это надо? Может ли возникнуть тяга к инцесту у любого человека, поставленного в определенные обстоятельства, или для этого необходимо, чтобы с человеком изначально было что то не в порядке?Обращаются ли агрессоры по собственной инициативе в терапию? Если да, то эффективна ли она и с чем приходится работать?",2020-05-21 16:51,16,https://www.b17.ru/forum/topic.php?id=315751
4,u443739,КакВсе,Новый квест: Девушки - Взлом любви. ,"Большая часть свиданок у меня проходила без какого либо сближения, как то не настраивалось все на романтический лад. Выходило так, что ну просто веселые гульки с девушкой, без какого то сближения. Это надо было как то менять, ведь просто гульки, ну это не совсем про отношения.Думал я собственно че с этим делать, а дальше как всегда появилась грандиозная идея, которая взламывает нафиг этот процесс, который казалось бы, может только сам собой произойти.Есть такая фигня, 36 вопросов чтобы влюбиться, давно придумано, судя по видосам в интернете, нормально так работает и сближает людей.Вопросы специфические и в чистом виде их задавать, ну очень такое себе.Поэтому далее я начал придумывать с психологом подводки к этим вопросам и их перефразирование, что бы внедрить вопросы в обычный диалог. Далее нужно было как то это все протестить ). Нашел я еще одну молодую симпатичную психологиню ), разыграли мы сценки, в целом все прошло хорошо ). На меня блин конечно схема подействовала больше, чем на неё, но в принципе эт не столь важно ).Далее что, далее необходимо было протестить ситуации, когда все идет не по планы, девушки отвечают тяп ляп и.т.п. Поэтому психолог еще сыграла депрессивно-печальный психотип и еще такую пацанку-быдланку. В целом все так же прошло хорошо, то есть я совсем не посыпался, когда ответы были не такие как мне нужно. Схема конечно в таких ситуациях не дает такого сближения, но тут главное было протестит, а не потеряюсь ли я.Че сказать, уже так сказать есть рабочий прототип, что бы я мог получать от девушек все, что им досталось от мамы.От темы хочу, еще как то это все протестить. Хочу, что бы что то подсказали по схеме и как её можно улучшить и в целом все оценили. Плюс, ряда вопросов у меня тут нет, возможно они тут будут дорабатываться, плюс тут будут отчеты, о работоспособности схем на живых вариантах.Ниже под спойлером черновой вариант для себя, если по каким то моментам не ясно, задавайте вопросы.схема1. Если бы вы могли пригласить кого-нибудь на ужин (близкого человека, умершего родственника, знаменитость), кого бы вы выбрали?1.Все равно спросят про отца. Скажу что я его не знал, не помню ни одного его слова, да и близости к нему как к человеку нет, но хотел бы конечно посидеть пообщаться. А хотя мог бы и с Эрэнком Эбигнейлом пообщаться.А ты бы с кем поужинать и просто поговорить хотела ?- её ответ.- Рассказ про Фрэнка Эбигнейла.2. Хотели бы вы быть знаменитым? В чем?2. Кстати из идей на будущее, хотелось бы на курсы ораторского искусства записаться или актерского мастерства. Хотя фиг знает, вообще я как бы айтишник, какое мастерство. Кстати, а ты хотела бы быть знаменитой ?3. Прежде чем сделать звонок, вам случается репетировать свою реплику? Почему?3. Сегодня приду домой, сделаю кофейку, доем свой гирос, и буду чем в интернете листать. А ты что будешь делать ? ---А ты вообще как, продумываешь наперед свои какие то действия, планы, я не знаю, я даже там перед тем как кому то позвонить, приблизительно продумываешь что скажу.4. Каким был бы для вас «идеальный день»?4. А вообще в будущем, лет через 10, как себя видишь ? При самых, удачных обстоятельствах, как бы ты хотела ? А как свой идеальный день видишь ?5. Поговорить о её интересах если они есть. А творческие у тебя какие характеристики есть ? В душе поешь ? ) Пока никто не видит, поешь где то ?6. До сколько лет хочешь прожить ? -----Та мне чем больше тем лучше, но конечно при своей пямяти и подвижности. А чтобы ты выбрал, последние 60 лет сохранить разум или тело 30 летнего. Ну типа что бы голова всегда работала как у 30 летнего или тело ? 7. У вас есть тайное предчувствие того, как вы умрете?7. Какие фильмы смотришь, недавно последнюю часть пункта назначение смотрел, такое себе уже конечно, но на один раз можно. Там провод оторвался, а вспомнил как у меня кондиционер крепится, подумал блин, такая фигня может случится со мной. А ты проводов не боишься ?8. Назовите три черты, которые, по-вашему, есть и у вас, и у вашего партнера.8. Ты мне показалась, чем то там. Вообще думаю много могу о тебе сказать.---А ты обо мне что можешь ?9.10. Если бы вы могли, что бы вы изменили в том, как вас воспитывали?10. Рассказать про то, как меня мама математике учила, сказать что странное воспитание. А тебя как было ? А вообще с кем лучше общалась, с мамой или папой.11. 12. Если бы вы могли проснуться завтра, обладая каким-то умением или способностью, что бы это было?12. Про супергеройские фильмы поговорить, далее - какую бы суперспособность хотела.13. Если бы магический кристалл мог открыть вам правду, о чем бы вы хотели узнать?13. Вспомнить фильм Лжец с Керри, спросить хотела ли бы она знать, когда ей врут.14. 15. финансовая независимость16. друзья у тебя есть,а что в друзьях ценишь 17. 18. 19. 27. есть что то что я должен о тебе заранее узнать 28. 29. 30. 31. 32.33. 34. Какая самая ценная вещь в твоем доме",2020-05-01 13:25,14,https://www.b17.ru/forum/topic.php?id=312963
5,u625527,Freens,Как перестать быть желанной для парня? ,"Живем вместе, ему нужно через день. А я не хочу. Я лежу как бревно, ничего не делаю. Мне не хочется.. я думала отстанет..нет. не помогает.",2020-05-24 22:09,2,https://www.b17.ru/forum/topic.php?id=316156
6,u624139,Tinkerbelldi,Отношения ,"Думаю стоит начать с того что мне 19 лет,выбрала вас,так как посмотрела темы ваших статей,да и в целом мне понравилась ваша анкета.Когда я училась в школе,в классе 10,к нам пришел новенький парень и через некоторое время мы стали лучшими друзьями.Все было хорошо,за исключением некоторых моментов,когда мне казалось что он не хотел меня обнимать,вообще,спустя пару лет я узнала,что ему на самом деле хотелось обнять меня,но он боялся причинить мне дискомфорт.Ну этот вопрос мы решили, но через некоторое время он перестал писать и говорить о то что ценит меня и мне казалось что его отношение в целом ко мне поменялось,к тому же он начинал говорить постоянно о своей новой подруге и в буквальном смысле просто восхищался ею, и я ничего не разузнавая просто прекратила с ним общение, так как посчитала что он возможно начал с ней встречаться,даже не сказав мне об этом.Я обиделась.Спустя еще полгода я узнала,что ничего такого не было, и мы снова начали общение. Я не знаю к чему пишу все это.Но на данный момент я нахожусь в отношениях с этим человеком, но они приносят мне некий дискомфорт,так как за 8 месяцев отношений я не получила ни единого подарка,в то время как я постоянно пыталась его радовать и что-то дарить.Он давно съехал от родителей и жил отдельно,работая и оплачивая все самостоятельно. Он никогда не называл меня уменьшительно-ласкательными словами,да и вообще ничего романтичного не было.Одним вечером, я ему сказала мол в чем проблема, если тебе не комфортно от этого- просто расскажи мне и давай это обсудим, и спросила любит ли он меня вообще раз я не получаю подобного внимания,на что он очень сильно разозлился и сказал что за эти три месяца он постоянно оплачивал мое такси от его дома,и кормил меня у себя дома, и сказал что был очень оскорблен моим подобным заявлением,тем более тогда,когда он еле сводит концы с концами,хотя мне он подобного не говорил, затем просто высказался в мой адрес очень не приятными выражениями. Я извинилась и уехала.На следующий день я решила позвонить и спросить на все ли ему сейчас хватает денег и что если что я могу ему помочь,не смотря на то что будет дальше.Он ответил что ему дядя подкинул денег и что сейчас все нормально.После этого я три дня думала над всем этим, и я посчитала что мол не смотря на всю ситуацию я не должна слушать в свой адрес такие грубые слова, только потому что я захотела чуточку внимания и решила с ним расстаться.Он услышал мои слова,пожелал удачи и сбросил трубку. Через день он позвонил и сказал что я могла бы ему хотя бы пакет еды занести перед расставанием, и что ему ну совсем нечего есть,что все очень плохо.Я услышав все это не спала всю ночь и на утро поехала покупать ему продукты,приехала с кучей пакетов еды в 9 утра к нему домой и мы помирились.",2020-05-21 15:06,1,https://www.b17.ru/forum/topic.php?id=315732
7,u610318,Олеся172,нет отношений с мужчиной ,"создание эмоц.связи с любимым мужчиной т.е. долгострочные отношения построить с мужчиной а то не получается любовь построить и семью, жить вместе, нет мужчины....рассталась недавно.",2020-04-27 14:52,1,https://www.b17.ru/forum/topic.php?id=312445
8,u468203,Ольга2475,Я не могу простить предательства мужчине. ,Я не могу простить предательства мужчине.Что можно сделать или уже ничего.,2020-05-25 10:37,0,https://www.b17.ru/forum/topic.php?id=316212
9,u606941,Сама себе2,А если фальшь у мужчины? ,"Уважаемые участники форума. Хочу спросить, как бы вы поступили. Вот ухаживает за вами мужчина.  Носит цветы и подарки, не форсирует события с сексом. Пишет и звонит каждый день. Комплименты делает. Старается только приятные вещи для вас говорить. Заботу проявлять. Участие. А вы чувствуете фальш в его отношении. Что это все не от души, а с практичной точки зрения. И казалось бы, лучше прекратить общение...Но ведь вы и ошибаться можете...Додумывать? Как узнать точно? Или ничего тут не узнаешь, а только время покажет?",2020-05-20 13:46,10,https://www.b17.ru/forum/topic.php?id=315589
