,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u141948,КоТенок1981,"Как мужчины приходят к психологии и прочей ""эмоциональной жизни"" ","Традиционно считается, что это ""не мужское"". Если и интересоваться типо психологией для ""настоящего мужика"" то это пикап всякий, как поиметь женщину и заставить её работать на себя))) (В данном случае я имею ввиду популярный стереотип про мужчин ну и соответствующее ему поведение многих. Но ведь мужчины интересуются и эмоциональной частью жизни тоже. К счастью интересуются. Но мне такие почти не Встречаются :((( У меня сплошь и рядом стереотипые мужчины такие без эмпатии и прочих черт характера, которые они считают ""бабскими"" и не достойными его, царя и бога)))Я хочу узнать побольше про другой типаж. Кто вы, ау... Я ищу вас. Хочу больше знать о вас и тогда может притяну в свою жизнь более чуткого и душевного партнёра... И вот один из вопросов поэтому. Как в России, стране стереотипов у мужчин хватает смелости изучать эмоциональную сторону жизни? Как вы к этому пришли?",2020-05-24 21:26,11,https://www.b17.ru/forum/topic.php?id=316149
1,u176163,id176163,Фейк длиной в век: фрейдизм. Не дайте заработать разводильщикам ,"Это обращение к клиентам и психологам. Если неожиданно, среди обычной жизни, встретить психоаналитика-фрейдиста, который говорит, что мальчики ненавидят отцов, потому что хотят заняться сексом с матерью, что женщины страдают от отсутствия у них мужских органов, про всякие анальные стадии, вы можете быть шокированы. И это играет определенную роль: многие могут подумать, что это и есть настоящая психология. Но это просто фейк, развод на деньги. Уважаемые клиенты, если вы встречаетесь с психологами, которые предлагают подобные теории, не платите им деньги, просто уходите. Их коллегам-психологам просьба: сделайте так, чтобы они все знали, что такие теории не имеют под собой оснований.Вы можете думать, что это неэтично, но это не так: неэтично переходить на личности и оскорблять или называть человека дураком и пр. Но обсуждать что человек несет клиентам и что суждения не имеют доказательной базы это более чем этично, это профессиональный долг. В плане правил форума важно придерживаться пункта 4: конструктивная критика.  И конструктивная критика заключается здесь в следующем: тот, кто представляет теорию, должен ее доказать, а не наоборот.Фрейдисты обычно агрессивно ведут себя:  любое возражение просто скрывают на форуме. Они знают, что можно найти тех, кто поверит, просто в другом месте. Давайте сделаем так, чтобы все знали о том, что эта теория не имеет под собой оснований и доказательной базы. Дублирую здесь часть цитаты, которую я оставил в дневникеПеревод: Культурное влияние Фрейда основано, по крайней мере, в неявном виде, на предположении, что его теория научно обоснована. Но с научной точки зрения, классический психоанализ Фрейда мертв и как теория, и как способ терапии. Никаких доказательных данных нет, которые подтверждали бы <... далее положения теории Фрейда, которые я частично описал выше> Есть люди, которые отмечают, что Фрейд в свое время сыграл определенную роль в развитии психологии и психотерапии, и видимо это заслуженно. Он, судя по описаниям, сделал полезные шаги в развитии психологии и психотерапии: например, сделал сам по себе разговор с клиентом важной составляющей терапии. Это, конечно, хорошо. Но многие элементы его теории, даже не столь одиозные, как приведенные выше, не нашли подтверждения впоследствии. Например, распространенное у нас ""подсознание"" в старттопике я не могу создать ссылку на источник, попробую сделать дальшеPS, вы можете поддержать эту тему, оставив свой комментарий, если вы согласны, или переубедить автора, если  у вас есть актуальные мысли[ Сообщение изменено: 22.05.2020 - 14:59 ]",2020-05-22 14:48,28,https://www.b17.ru/forum/topic.php?id=315871
2,u292905,Visitor,Консультация с Психологом Средних лет Без Авто ,"Здравствуйте! Хотел бы проконсультироваться с психологом, желательно мужского пола, который не водит авто, или психологом женского пола, состоящим в браке с человеком, который не водит авто. Возраст - примерно 30-40 лет.",2020-05-24 08:05,9,https://www.b17.ru/forum/topic.php?id=316058
3,u140101,julia svetlova,Я люблю! ,"Тема про любовь и не-любовь :)Приветствуются теории, идеи, свой опыт, изречения, стихи, песни, картинки и прочее.Я люблю чтение, тексты, грамматику. Природу. Общение.Не люблю бессмысленное разрушение.И тексты Кернберга про любовь :)И что это значит?:)",2020-05-14 21:24,28,https://www.b17.ru/forum/topic.php?id=314797
4,u438047,acid-house,Пони. ,"Самый важный вопрос который меня интересовал , когда я зарегистрировался на этом сайте(психологов) пару лет назад, но который так и не осмелился опубликовать. Мультфильм - My Litlte Pony ? Мне 33 года , и он очень сильно на меня повлиял. Впервые его посмотрел лет в 29-30, чисто случайно. Кто нибудь смотрел его или смотрит ? На сайте не нашел упоминаний об этом. Это странно , сейчас я не смотрю ничего подобного , мультипликация меня никогда не интересовала, но этот мультфильм произвел впечатление. Это мультфильм для маленьких девочек , но в тоже время его смотрят и взрослые мужики. Что это за феномен ? Излишняя инфантильность , заторможенное развитие , чегототам блокировка?",2020-05-23 15:14,11,https://www.b17.ru/forum/topic.php?id=315984
5,u362977,Легко,А чего я хотела-то ,"Мне кажется, я запуталась, чего я хочу.От слова вообще. Всё, калачиком вверх лапками лежу, охреневаю от себя. Полежите со мной.",2020-05-19 19:17,33,https://www.b17.ru/forum/topic.php?id=315488
6,u362977,Легко,Закос под психолога. Или утро субботы ,"Мне нравится вести себя в темах, как психолог.Вот кто-то открывает тему, я захожу и чего-нибудь психологичное вкручиваю.Обычно, правда, мало кто реагирует, я даже не знаю, дочитывают ли до конца...Но если общаться просто в теме как обычный пользователь, то меня часто банят в теме или добавляют в чёрный список. Я защищаюсь и думаю, что это потому что я слишком яркая. А на самом деле, я просто злостно болтаю не по теме, и конечно, людям не нравится. А как Вы встречаете это холодное утро субботы? Что Вы смогли изменить в себе за это утро? Чтоб стало психологично",2020-05-23 13:31,26,https://www.b17.ru/forum/topic.php?id=315975
7,u623870,Victoria84,"Психологи, как вы выдерживаете свою работу? ","Психологи, как вы выдерживаете свою работу? В какие моменты вам бывает сложно? В какие моменты работа приносит удовольствие?Хорошо, что я – не психолог. Мне кажется, очень сложным слушать людей и об их проблемах, помогать им во внутренней работе. Люди такие разные. Столько боли и печали, где-то даже агрессии и недоверия, ожиданий и подозрений. Совершенно чужой человек приходит и возлагает на тебя большие надежды, приносит свои страдания и разочарования. Тяжело всё это.",2020-05-21 19:38,34,https://www.b17.ru/forum/topic.php?id=315774
8,u619310,apartness,Умный ли я когда ревную? Мне многое кажется. ,"Вы знаете,  чтобы справиться с чувством ревности,  я безусловно подавливаю обиду, а уже потом много и сытно ем, пока мне не становится плохо от съеденного. Потом сплю и вижу кошмары или порнографию с элементами насилия.Самое странное происходит потом, неожиданно при волнении в ситуации в общении с женщиной,  возникает желание её уничтожить.Что со мной происходит ? Может я где-то в кинотеатре фильм не тот посмотрел или в гостях попросил кассету для видеоплеера и до сих пор не вернул?Буду признателен любому мнению.",2020-05-22 12:24,2,https://www.b17.ru/forum/topic.php?id=315858
9,u596224,Ангелок в депрессии,"Измены, в чем разница? ","...между мужской и женской изменой? И еще вопрос: если партнеры бисексуальны, то со своим полом тоже считать это изменой или как на это вообще смотреть??ЗЫ не утруждайте себя писать, что разницы нет, с этим мнением сразу мимо)[ Сообщение изменено: 19.05.2020 - 14:44 ]",2020-05-19 14:20,5,https://www.b17.ru/forum/topic.php?id=315443
10,u459004,Valera80,"Карательная психиатрия в России, мнение пользователей. ",Интересно мнение и ответы пользователей этого сайта.Существует ли карательная психиатрия в России?Интересно мнение тех кто считает что они или их родственники стали жертвами карательной психиатрии в РФ. Интересны ваши истории.,2020-03-18 17:23,7,https://www.b17.ru/forum/topic.php?id=307121
