,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u209675,O k s a n a,Марафон радости часть 4 ,"Продолжаем, друзья!Делимся радостями и поддерживаем друг друга!Всем добро пожаловать!",2019-12-02 18:53,71,https://www.b17.ru/forum/topic.php?id=191891
1,u264135,Татьяна 2018,"Тема для тех, кому одиноко и хочется пообщаться. ","Я считаю, что на сайт б17 заходят люди с интеллектом выше среднего (как минимум, большинство из нас грамотно пишет и умеет излагать свои мысли). У каждого из нас своя история и жизненная ситуация и, безусловно, данная тема не заменит работы со специалистом, однако бывает, что очень нужно просто поговорить. Эдакий глоток воздуха перед очередным погружением в обычную жизнь. Темы предлагаю абсолютно разные: психология, социология, ценности, причины поведения, разбор фильмов и книг и многое многое другое. Если кто-то заявит, что есть другие платформы для подобных тем, буду рада конкретным ссылкам на сайты, а не огульно «форумы по интересам» или «форумы вашего города» т.к. мною такие найдены не были. Ну чтож, разбиваю бутылку о борт и поееехали.",2020-03-22 18:37,52,https://www.b17.ru/forum/topic.php?id=307640
2,u605787,Caroline_,Позитивная психология ,"Сам по себе этот вопрос не новый, но для меня он не раскрыт в нужной степени.Существует мнение, что позитивная психология – это особое психологическое направление, изучающее положительные аспекты человеческой психики. Если классическая психология фокусируется на проблемах и патологиях, то предмет исследований позитивной психологии – все, что помогает человеку достигать счастья.Также утверждается, что позитивная психология является гуманным направлением, поскольку она настаивает на том, что человек ""творец свой жизни"". То есть допускает, что человек может изменить многие обстоятельства своей жизни. Выделяются и необходимые элементы, необходимые для счастливой жизни: эмпатия, юмор, альтруизм, оптимизм.А как вы относитесь к этому направлению? Справедливо ли оно порой подвергается критике? Является ли оно полноценным научным направлением в результате исследований Мартина Селигмана, Михая Чиксентмихайи?Может ли это направление предложить человеку независимо от жизненных обстоятельств какие-то решения? Например, счастливого сделать еще счастливей, а несчастливому помочь улучшить свою ситуацию?Я не прошу какого-то научного подхода, поскольку мое представление достаточно обывательское. Но если кто-то расскажет о своем отношении доступными словами, то буду рада.",2020-05-24 20:34,14,https://www.b17.ru/forum/topic.php?id=316143
3,u388354,Colibri76,Растеряность ,"Добрый день. Моя проблема в том, из-за непоняток в отношениях я не могу сосредоточиться на себе и своей работе. Хожу растерянная, постоянно думаю о своём мч, и тревожусь.Проблема в отношениях: Мой МЧ, Дима, стал меньше уделять внимания ко мне, и перестал говорить слова о любви и всё в этом роде. Причём я вижу, что он также обо мне заботится. Но нет слов, и по ощущениям охладел. Я с ним обо этом говорила, он сказала, что всё не так, сказал, что любит и всё в этом роде, но ничего не изменилось с того дня. Просто обычно он по 50 раз на дню говорил что любит, хочет со мной быть всегда и т.д, писал и звонил мне с работы. Теперь вообще перестал это делать. Я понимаю, что пока с этой ситуацией не могу ничего сделать, и никак исправить. Возможно это какое-то временное  охлаждение, из-за того что мы постоянно вместе дома, у меня нет работы и т.д. Возможно и правда охладел, и скоро меня бросит, но на данный конкретный момент, я не могу ничего сделать.Не давно я начала заниматься веб-дизайном, хочу работать на дому, развиваюсь в этом направлении. Но с появлением проблем в отношениях, я тревожусь, не могу сосредоточиться, ничего не получается и т.дКак абстрагироваться от негативных мыслей?",2020-05-25 20:06,1,https://www.b17.ru/forum/topic.php?id=316274
4,u404102,Energie,Ригидный и тревожный человек обречен? ,"Человек ригидный, тревожный, меланхолик с лабильным типом нервной системы - обречен? Я так понимаю ""характер"" таблетками не лечится... Т.е. не получится стать гибким, оптимистичным и решительным человеком? Какие тогда вообще перспективы на успешную жизнь? Получается у такого человека ни в какой деятельности не будет успеха потому что.. ригидность..тревожность.... Говорят, что у всего есть две стороны... Но вот у того, что я описала могут ли быть вообще плюсы?Интересно мнение специалистов и, особенно, людей у которых такие же особенности характера.",2020-05-23 12:02,12,https://www.b17.ru/forum/topic.php?id=315964
5,u625197,Инга я,"Как понять, что мне нужно? ","Мне 29 лет. Я не могу найти себя в жизни. После 11-го класса, из-за сложившийся жизненной ситуации я не получила образования, пошла сразу работать. Не смотря на это, перепробовала себя во многом, но очень быстро теряю интерес, впрочем, как и загораюсь. Внутри меня есть силы, и огромное желание чего-то, только я не могу этого понять. Немного расскажу о себе. Я росла в неполной многодетной семье, хорошо училась, с мамой отношения всегда были не простые, а недавно я вообще решила с ней не общаться. С детства я чувствовала тягу к чему-то грандиозному, детей не хотела, семьи тоже, но верила в вечную любовь (наверное, как и все). В 20 лет я познакомилась с парнем, пробыли вместе 6 лет. Отношения у нас были не простые, постоянные ссоры, скандалы, измены, уходили друг от друга к другим, потом возвращались. В душе я понимаю, что все это меня устраивала, но как-то неловко признаваться в этом. Так продолжалось пока я не забеременела, потом конечно мои приоритеты изменились. У меня двое детей от этого мужчины, 3 года как мы разошлись, о разрыве я не жалею, потому что давно поняла, что я не испытываю радости от семейной жизни, и даже провоцировала этот разрыв. Я не понимаю женщин, которые с блеском в глазах рассказывают о готовки, стирки и уборки, которых радует каждое утро просыпаться с мужем, для меня семейное счастье-это загадка. Разрыв был тяжелый, много взаимных обвинений, упреков, а потом и слухов обо мне. После этого я была одна 2,5 года, затем начала встречаться с мужчиной, но на условиях легких отношений. Все меня устраивала, сложность только заключалось в том, что он знает моего бывшего мужа. Внезапно он начал каждый день его приплетать, что-то выяснять, это конечно меня не устраивала. Я каждый раз напоминала, что мы ничем друг другу не обязаны. Внезапно он устроил мне грандиозный скандал с оскорблениями, обвинениями и криками об интимных подробностях, которые распространил мой бывший муж несколько лет назад. Сто раз повторил, что ему на меня пофигу, я ему объявила, что все взаимно, ведь мы друг другу ничем не обязаны. История в какой-то степени повторилась. Конечно я сразу же закончила все общения. Теперь вообще ни хочу никаких отношений. Вот только почему при оговоренных условиях отношений все вышло так? Не знаю, может тут все написано в кучу, и мне просто нужно высказаться. Рассказать кому-то свое внутренние состояние, мне тяжело осознавать, что я не знаю кто я и чего я хочу. Тяжело от того, что вокруг меня толпы счастливых людей, а я не могу получать радость от обыденных вещей. Я постоянно чувствую, что прожила и проживаю не свою жизнь. Я очень люблю своих детей, но постоянное времяпрепровождения с ними меня тяготит. Как мне жить дальше, как научиться получать счастья также как все люди? Как понять, что мне нужно, и что сделает меня счастливой? Как найти себя?",2020-05-23 12:30,0,https://www.b17.ru/forum/topic.php?id=315968
6,u600140,na2120,Тест смил (mmpi) ,"Здравствуйте, Екатерина Михайловна! Прошу Вашей помощи в расшифровке результата теста. Проходила на сайте http://consul-navigator.com/. По результатам теста хотела бы разобраться в себе, т.к идёт сильное не принятия отдельных качеств, как составляющих личность. Хочу выявить эти самые качества для проработки их до степени, когда я смогу их принять. Тест состоял из 360 вопросов. L: 52F: 79K: 341: 712: 853: 594: 625: 426: 667: 718: 869: 530: 84",2020-03-25 20:59,2,https://www.b17.ru/forum/topic.php?id=308070
7,u273076,Ванэсса,Мать – хуже палачей и маньяков ,"Моя мать не била меня головой об стену, не закрывала в тёмном подвале и не выгоняла из дома. Физически я от неё заметно не пострадала. Однако в том, что касается логики поведения, мне кажется, она хуже палачей, фашистов и маньяков. Палач рубит головы, руки во исполнение приговора короля или суда (справедливого или нет – отдельный вопрос). Пытают ради того, чтобы что-то узнать или добиться от несчастного самооговора. Даже в поведении маньяка присутствует своя логика – он мучает других ради получения для себя удовольствия.Суть поведения моей мамаши непостижима. Я разбирала это в терапии, но сейчас снова накатили вопросы – эмоциональные и логические. Убить мать меня не хотела. Какая-то часть её, конечно, сожалела о моём появлении на свет, но в целом цели «исправить это» или нанести мне вред не было. Не так уж много присутствовало в детстве наказаний, ну, может, пару десятков за всё время до совершеннолетия. Как правило, яростные оплеухи, пощёчины, жестокие оскорбления и длительные визгливые скандалы были спровоцированы такими мелочами, за которые не наказывают: не поставила на место обувь, днём задвинула шторы, оставила на кухне учебник, какой-то вещи нет на месте, оторвался крючок, ложка лежит на полу… При этом в квартире обычно царствовал бардак, мать обращала внимание на какой-то элемент этого бардака и принималась визжать. За «двойки», «тройки» не ругали, а вот за «четвёрки» доставалось, но, особенно за «пятёрки с минусом». Самооговоров и извинений за что-то мать, конечно, добивалась, но они не уменьшали агрессию, а усиливали. Стоило в чём-то «признаться» как степень оскорбительной риторики и визгов троекратно возрастала. И даже удовольствия от истязаний родных (а говорю я не только о себе, нас было много) мать не получала. Наорёт на всех, надаёт пощёчин, морально смешает с дерьмом. Попрячемся по углам, сидим, дрожим – и дети в количестве пяти штук, и отец, а она идёт плакать. Завывает и ждёт, что её станут утешать – те, кого она только что обесценила, обнулила, обидно избила, растёрла ехидством, запугала страшными угрозами…Вот, что это? Даже маньяк – существо более разумное, не так ли?! Психиатрического диагноза у моей мамаши нет. В обществе она ведёт себя адекватно. Жду от форума не терапии меня. Для этого есть другие мои темы, где я с вашей помощью пытаюсь разобраться с последствиями такого «воспитания». Хочется немного сочувствия, а главное, вразумительного объяснения того, что движет людьми, когда они жестоко, алогично и бесцельно выплёскивают агрессию на близких (только на близких, не чужих). Наверняка в психологии описаны такие персонажи. Поделитесь, пожалуйста, знаниями или выскажете свои соображения. Главный Психолог моей жизни говорил, что понять (удовлетворительно рационализировать), поведение человека, который оказал важное влияние на формирование твоего характера, – важный компонент терапии. Можете считать, что разговор о таких странных людях, подобных моей мамаше, – помощь мне в понимании себя и моих косяков.",2020-05-13 14:07,19,https://www.b17.ru/forum/topic.php?id=314583
8,u164202,Marink,Уходит ,"Здравствуйте! Наверное более 30 тем посвящено унижающим достоинство человека поступкам начальницы.Было и хорошее.Имея узурпаторский характер -она защищала свою группу от наездов сотоварищей по цеху ,это было плюсом.Но нашел человек работу по-лучше .И хорошо.А на душе кошки скребут.. Последователь точно слабее и не такая грамотная. И такая пустота на душе.. Я так привязана к ней была и есть.. несмотря ни на что. Началось сожаление,слезы,сопли.. желание пойти за ней. итп. Но у нас почти никогда не было неформального общения. Ощущение большой потери не отпускает.. [ Сообщение изменено: 25.05.2020 - 18:10 ]",2020-05-25 18:05,2,https://www.b17.ru/forum/topic.php?id=316264
9,u282887,Любоффь,Осознать себя ,"Добрый день, Инга!   Обращаюсь к вам с запросом поработать со мной и в рамках демо-консультации.  В продолжении работы возникли вопросы.  По ощущениям получается у меня нет базового чувства безопасности.  И на сегодняшний день я нигде и ни с кем не чувствую себя в безопасности. Получается, что это ощущение нужно найти в себе?  Рисунок по вашему заданию не рисовала. Не могу в голове представить такое безопасное место.",2019-10-14 07:53,3,https://www.b17.ru/forum/topic.php?id=184536
