,USER_ID,USER_NICKNAME,TITLE,MESSAGE,DATE_TIME,TOPIC_LIKES_COUNT,URL
0,u450948,Anna_111,Как выгнать мужа из кровати? ,"Он храпит и занимает много места. Я хочу с ребенком спать, а не с мужем. У меня ребенок на грудном вскармливании, его по ночам кормить надо. Он засыпает только с сиськой во рту, а в своей кровати орет, смесь выплёвывает, застревает в решетке, переворачивается на живот, а обратно не умеет. А муж хочет со мной спать, без ребенка. С мужем мы сексом по ночам никогда не занимались, и вряд ли будем. У нас только одна двуспальная кровать. Она всего 140 см, втроём в ней тесно. Есть ещё две односпальные кровати. С ребенком я не могу на односпальной, и двуспальную муж не уступает. Спать негде. Что делать?",2020-05-20 15:46,5,https://www.b17.ru/forum/topic.php?id=315603
1,u455703,Скарлет02,мама....подруга или помощник...или... ,"Здравствуйте. я уже писала здесь текст на тему мамы....о своей маме....Если кто-то не поленится, прочитает предыдущий пост. Если в кратце, то расскажу так, после неудачного замужества я вернулась с ребенком к мама в дом жить.....последние пол года  живем как кошка с собакой...она придирается ко мне....что мне делать, как быть, съехать или же жить с ней...После того поста прошло пол года, а я до сих пор живу с ней....да, да вот такая я нерешительная или как это назвать.....она придирается ко мне, все не так, все не то....жить невыносимо....недавно я решила сделать у себя в комнате ремонт, попросила ее не лезть, ни помогать и не советовать какие обои лучше подойдут.....она не лезла один день, на второй день пришла и начала говорить как лучше, на третий день опять сказала, как плохо получилось и не так и т.д.....в итоге  я все сделала за 4 дня....она в какой-то степени попыталась похвалить даже, что очень быстро сделала ....но опять же добавит ложку дегтя в бочку.....быстро сделала, но опять же во первых, здесь обои не подходят, а здесь краска не ровно легла и вообще я не ожидала, что ты сможешь сделать, да еще и так быстро....я говорю, мам, представь, я могу все , если захочу, если не вставлять палки мне в колеса......ее критика меня убивает....о чем можно говорить, если родная мать тебя обсирает?в последнее время все еще ухудшилось.....я частенько оставляю с ней ребенка, так как садик закрыт из-за карантина, а я работаю....я недовольна тем, чему она ее учит...слова какие-то дурацкие (у хате, у доме, ) потом трудно ребенка переучить говорить правильно..., частушкам может научить , даже не очень приличным, , что-то говорит и рассказывает ей про бывшего мужа моего, то есть про отца дочки и его родителей......хотя она их не знает и они ее тоже.....я стараюсь итак не высказывать, потому что ну типа посидела с ребенком и на том спасибо, а если не нравится то сиди сама. но иногда не выдерживаю, либо же просто наедине начинаю объяснять ребенку, как правильно говорить то или иное слово или же, что вот эта частушка нехорошая и что ее лучше в садике потом не петь, а бабушка услышит и начинает мне мозг выносить,, а вот...вы бабку совсем задурили бабка плохому учит, а моя бабушка тоже вас учила не всегда хорошему , и матерным частушкам и что в этом такого? к слову сказать, она и хорошему много чему учит, это правда, много стихов они выучили больших без моего участия.....но вот эти моменты они бесят....или например, она может ее весь день не кормить (я уезжаю на работу в 7-30 приезжаю в 18-00) . за это время она должна ее как минимум два раза покормить , то есть завтрак и обед, ужин ладно я сама покормлю......но мама ,кашей утром может накормить и то не всегда....но завтрак ладно , может и булку с чаем попить утром я не против...( а просыпается ребенок рано, иногда я еще дома и тогда я сама сажаю ее кормить, а иногда я не успела уехать и малая тут же проснулась).но дальше она может до конца дня ходить голодня, пока я не приеду....ну это в моем понимании голодная, мама то считает, что покормила, ну то есть она спросит хочешь есть?маленькая конечно говорит, что нет, вряд ли кто в детстве добровольно и с удовольствием садится есть суп...она ей конфеток штук 10, яблочко , мороженое , йогут, печеньку с чаем....ну что то в этом роде....сладостей нается , а потом она и от ужина отказывается и когда я начинают заставлять ее съесть хотя бы немного нормального ужина, мама на меня орет, что я плохая мать, издеваюсь над ребенком, типа пусть ест что хочет, не надо заставлять.....мы дети сами в детстве также питались чем попало, чаем с булкой, конфетами, гостинцами, картошкой, , сладостями и гостинцами, потому что мама считает, что еда это не главное, что выпил воды погрыз корку хлеба за целый день, не голодный уже хорошо....а тратить время на готовку - это удел бездельников....а еще ребенок у меня итак малоежка, ее трудно накормить, а еще она никогда не попросит чего то поесть. я ее учу, что если чего то захочешь так скажи мне я приготовлю, куплю, или сама уже не маленькая открой холодильник да возьми, если там есть то , что тебе надо...и вот сейчас уже она иногда может подойти  и сказать, что мама ,например, я хочу на обед борщ, приготовь борщ, или вот недавно в 9 вечера (она ужинать толком не стала) она попросила блинчиков к чаю....так у мамы истерика была, кто говорит в 9 вечера печет блины, (главное что в 9 вечера она может какие-то дела делать, стирать например руками, полы мыть - это ее не смущает) , а блины в 9 вечера это писец....и так удивляется , когда ребенок  редкий случай подойдет  и попросит что-то приготовить меня, прям при ребенке говорит, ой как это так она просит, слава богу что мои дети не просили , в плане еды мне было просто, а то бы я с ума сошла.....я говорю, зачем ты ей переговариваешь, она и так редкий случай подошла и попросила, я наоборот ее учу, чтобы не стеснялась и просила, а ты берешь и переговариваешь...а она говорит, а я разве переговариваю, я просто сказала....если что, то когда она так говорит, то ребенок начинает стесняться, типа она что-то плохое сказала.....еще такой момент, с самого детства я чувствовала себя нелюбимым ребенком.....но мама мне всегда говорила, ты что разве мать может кого то из детей любить сильней, нет ты не права....ну я и думала, что наверное ,я и правда не права, просто я всегда ближе к ней жила , она знала , грубо говоря, что я ем и что я пью, а сын далеко и общаться с ней не очень то хочет...вот за него и больше переживает....оказалось я была права.....она мне недавно сказала....сына я люблю больше всего на свете, он самый дорогой человек....я его люблю больше всего на свете потом внучку (мою дочь) ну а потом уже тебя (меня)......а внуков других даже вообще не вспомнила, наверное потому что они от нелюбимой невестки......меня это так задело......ей я ничего не сказала, типа все норм.....а самой так обидно было...как так? он бросил тебя, приезжал редко, в основном если ему что то нужно было...помогал но редко и мало, раз - два раза в год....она пару раз просила о помощи - отказывал, типа нет возможности....когда женился отношение со всем испортились, у него кроме жены и детей нет никого дороже....я его понимаю в этом молодец, как муж и отец, ему цены нет, в лепешку расшибется, но они ни в чем нуждаться не будут и зарабатывает ,в выходные с детьми и на кухне сам, чтобы жене дать отдохнуть...молодец, не спорю, но это же не значит что на свою первую семью, то есть маму и сестру ,надо хер положить? ладно даже сестра  иногда созваниваемся, и то хорошо...но мать?какая бы она не была, она мать...неужели она не заслужила немного уважения?он не приезжает, не помогает...и считает это нормой...недавно они с семьей за последний год первый раз приехали к нам в гости на неделю , так он не подумал о том, что у матери есть физ.работа с которой ей надо помочь...он сидел с женой мыл ей жопу, менял памперсы детям и даже не подумал помочь...матери....только еще и обиделся на то что она мало сидела с внуками....а когда ей сидеть?у нее дел куча. пошел бы сделал все эти дела, а мать бы в это время посидела с внуками...разве не так? в общем, гости эти закончились скандалом, как по моему мнению, так по вине невестки, и он кинулся с кулаками на меня и мать...не ударил,...но еле еле сдержался и уехали они  с вещами...а я стараюсь помогать, и физ.работу делаю, хотя мне на хрен не нужны все ее поросята и птица и т.д - просто чтобы ей помочь, деньги даю, да немного, но у меня у самой маленькая зарплата...она еще умудряется мне сказать, что какие-то мои расходы это бред, можно было бы без этого обойтись, а деньги лучше бы ей отдала....и после всего этого он все равно лучший и любимый сын, а я говно....я все понимаю она мать, она все равно будет любить своих детей, но почему он то лучше? уехать?во-первых, жилья так и нет....но даже если я найду съемное жилье, то тогда я к ней приезжать буду только на выходные, и денег не смогу давать, ну максимум 1000-2000 в месяц...а это мало....тогда она вообще будет обижаться, что от меня нет помощи........многие мне советуют, выйди замуж, типа тогда и жить будешь отдельно и деньгами сможешь помогать.....с одной стороны вариант неплохой и даже есть два парня один со своей квартирой, другой живет в доме со своими родителями и хочет чтобы я замуж за него вышла. готов либо жить с моей мамой и помогать ей , либо же жить с у него, либо снимать, и маме помогать финансово.но я не хочу....что за бред....я в принципе не хочу замуж, а тут еще и получается из-за выгоды?да и какая там выгода....это сейчас все на все готовы, лишь бы получить меня....а потом быстро пыл сойдет.....и с ней жить тяжело....как только говорю, что съеду она говорит, что не хочет...наоборот, дом держала и держит в порядке для детей, а дети типа бросают....в какой-то степени. я поймала себя на мысли, что чем бы я не занялась, в глубине душа я думаю, а одобрит ли мама. а понравится ли ей...в магазин захожу и покупаю ребенку гостинец и ей тоже что то покупаю, то что она любит....в плане расходов....у нас раздельный бюджет, типа того....ее деньги это ее деньги....мои деньги мои деньги....я практически не касаюсь к комуналке, иногда только могу добавить ей на оплату или же полностью оплатить.....а она не касается к продуктам......иногда только может купить хлеб или еще что-то сходить....редко.....еда, продукты, это все я покупаю.......но также я еще покупаю, скажем так еду, корм для ее животных, которые мне нахрен не нужны, и мне даже жалко, если честно, на это тратить, ну и даю ей денег на оплату кредитов..а если я купила например новую игрушку ребенку, даже недорогую, ей лучше не показывать иначе будут психи, зачем ей новая, что деньги некуда девать, лучше мне дай, знаешь, что мне не хватает...или например, гель для душа покупаю себе, вот трата денег кричит, есть мыло лучшее средство...или маску для волос купила вот трата денег....да я итак ей отдаю много! почему я должна еще и в таких необходимых вещах себя ограничивать? иногда, если честно, у меня закрадываются мысли от которых мне стыдно, я думаю о том, что мне бы вполне хватало денег и я могла бы даже  откладывать, если бы я не давала ей.......а так....у меня нет даже 1000р на черный день.....ребенку скоро в школу идти , а у меня нет никаких сбережений....а школа это уже совсем другие расходы жить с ней , помогать, но жить в негативе....с другой стороны ребенка всегда есть с кем оставить....уехать... тогда помогать ей смогу совсем мало....приезжать редко....и вот если что то то ребенка уже как то неудобно будет ей оставитьа может вообще такой вариант, уехать в москву, там зароботок неплохой, она будет спокойно сидеть с ребенком, а я буду  привозить деньги? может тогда она будет довольна? хотя вряд ли ..., я буду плакать, так как без ребенка будет тяжело так долго.......а ей будет все равно мало денег, сколько бы я не привезла, как мне кажется....да и все равно скажет мне тяжело дома с хозяйством и с ребенкому меня друг живет в питере...именно друг....в отпуск я с ребенком к нему ездила, просто отдохнуть погостить....он предлагал, оставайтесь, первое время можете жить у меня, а хоть и вообще живите у меня я вас не выгоню, так как он живет один....работу помогу найти, ребенка в сад помогу пристроить.....уехать? не уверена.....высказалась.....полегчало...",2020-05-25 15:29,2,https://www.b17.ru/forum/topic.php?id=316245
2,u610886,Яоу,"Отношения и дети, как выстроить правильно ","После развода, встретила мужчину. Отношения более 2 лет. Стали жить вместе. Но, дети ставят ультиматум,  ревность, упреки. Как между огней нахожусь. Помогите разобраться в ситуации.",2020-05-25 11:37,2,https://www.b17.ru/forum/topic.php?id=316221
3,u624886,Mrs Dark,Проблемы в отношениях с близкими людьми ,Здравствуйте! В данный момент испытываю сложности в общении с мужем.,2020-05-22 18:29,0,https://www.b17.ru/forum/topic.php?id=315894
4,u471606,Андрей406,Сестра жены почти каждый день приходит к нам жаловаться на жизнь ,"Темы бывают самые разные:- здоровье свое, детей, коллег по работе, известных людей- учеба детей- дети не слушаются- ссоры с мужем- ссоры с соседями, продавцами в магазинах- нет денег \ всё дорого- нечего надеть- политика- не знаю что приготовить на обед- устала на работе \ устала сидеть дома- посмотрела фильм-всю ночь не спала- хочу в отпуск ...Я пытался намекнуть, что мол зачем всю эту грязь (аля ""Пусть говорят"" с Малаховым) приносить в нашу семью ?Оказалось, что она ни в чем не виновата и ей нужно помощь и моральная поддержка сестры !",2020-05-21 16:20,7,https://www.b17.ru/forum/topic.php?id=315745
5,u625553,Алина_98,"Проблема в семье. (Игры и ""есть чо пожрать?"") ","Здравствуйте. Дело в том, что мы с мужем живём у моей мамы, так как родился ребенок и мне нужна помощь, потому-что от мужа нету никакого толку. Деньги в дом не приносит, еду не покупает и сидит только в своих танчиках и ГТА играет после работы, ещё спрашивает ""есть чо пожрать?"". Я понимаю что он чувствует себя неловко в чужом доме... Помогите пожалуйста разобраться, и как ему объяснить чтоб в игры не играл, а помогал с ребёнком, и чтоб еду или деньги приносил, а то сидит на шее у свекрови и ищет ""чо пожрать""",2020-05-25 03:03,0,https://www.b17.ru/forum/topic.php?id=316182
6,u625548,Z1Z,я не могу жить с этим ,"Девушка 26 лет. Отец умер когда мне было 14, живу с мамой и бабушкой.Я никогда, никому, не рассказывала всю правду о своей жизни...И с каждым годом мне все тяжелей. Я не могу сформулировать свой вопрос или конкретную тему, только то что я чувствую и не знаю как дальше справляться и моя семья катастрофа.Я чувствую отчаяние, одиночество, страх, боль, стыд, и порой мне кажется лучше бы меня не было.Какое то время общалась с психологи, удалось решить проблему с отцом, сейчас не хожу на консультации.Детство.До 11 лет жила с мамой и папой. У отца была психопатия... меня постоянно били, унижали, дома было страшно находиться. Мне стыдно кому то об этом рассказывать, в один вечер когда он выпил, заставлял читать меня какую то книжку, мама в это время была в другой комнате, мне было настолько страшно, что я описалась... я плакала каждый день, все 11 лет и постоянно болела. Я не помню, что бы мама меня сильно защищала... я помню как маленькая просила ее уйти от отца, что бы они развелись, потому что мне было страшно каждый день, я плакала и задавалась вопросом зачем я родителям, если я только их расстраиваю. У отца была любовница, которая тоже была в браке и у нее был сын, все жили в открытую так несколько лет, из за этого тоже были скандалы дома. Потом у мамы появился мужчина, и мы переехали жить к нему за город, но через несколько месяцев из за экзаменов в школе нам пришлось переехать к бабушке. Она не пускала маму жить к себе, пока та была в браке ""сама выбрала-вот и живи с ним"". Мне стало легче, но отца я так и боялась... через 3 года он умер.Спустя 10 лет мне удалось отпустить обиду на отца,на приеме у психолога, осознав, что он был психически болен, но вот страхи остались со мной до сих пор. Из за страха быть наказанной, я была тихим и спокойным ребенком в школе , где не могла постоять за себя, т.к. в школе дети были из разных семей, меня обижали(я была из обеспеченной семьи), мне было одиноко и страшно, у меня не было близких друзей...Все начало меняться в институте, мне стало легче, я раскрылась немного. появились друзья, на меня обращали внимание парни. А вот дома все равно было плохо, бабушка одинокий, властный, озлобленный человек, она всегда оскорбляет меня, говорит что я живу не у себя дома, мама меня никак не защищает, она просто игнорирует эти ситуации. Волей судьбы, у меня появился молодой человек, 1.5 года мы прожили вместе, после расставания, я вернулась домой к родителям....Дальше, то о чем я не могу никому рассказать... мама начала спать с мужчинами за деньги, какое то время, я воспринимала это как ее личную жизнь, не лезла в это, да и как в 19-20 лет такое обсуждать с родителями... А превратилось все это в БДСМ, в частную практику... грани нормально стерлись. Я не хочу описывать все подробности...Как выглядит сейчас моя жизнь? Мы живем в 3м, мама водит мужчин. Она ценит и любит только деньги. 3 года назад я попала в больницу, где находилась 2 месяца, я не помню сочувствия, переживания, что бы меня погладили, пожалели...мне было страшно, поддерживали друзья, мама только привозила еду, лекарства. Сейчас я работаю на себя 3 год(начала после болезни подрабатывать и в итоге ушла на постоянную основу), меня не поддерживают родители, только упрекают, считают неудачницей и постоянно с кем то сравнивают, никогда не хвалят. Я много работала и открыла свой первый кабинет,это было сложно нет папы или мужчин которые помогли бы с мебелью, все приходилось изучать самой, спустя пол года переехала в другой кабинет, где сделала ремонт, из за постоянных стрессов, усталости, появились панические атаки, нервные срывы. И все это я держу в себе.На данный момент, у меня нет еще финансовых возможностей и снимать квартиру и обеспечивать себя, возможно к новому году появится квартира. Мне приходится жить с родителями, вот в этом всем. Меня постоянно упрекают, критикуют, я стараюсь молчать и ничего не рассказывать, из происходящего в жизни, но это не помогает.Бабушка может просто меня оскорблять и обижать, а мама как и в детстве, никак меня не защищает. Я чувствую себя одинокой, как будто никого нет рядом, меня никто не любит, я никому не нужна, и маме было проще если бы меня не было, я не знаю как с этим справиться и кто меня спасет, я просто очень устала, мне очень больно и тяжело, я больше не могу все это тянуть на себе, иногда я чувствую себя той маленькой заплаканной девочкой, которой очень страшно и никого рядом нет, и если я буду плакать,и мешать родителям, то меня за это накажут ... Мне плохо от того, что я не зарабатываю достаточно что бы снимать квартиру и обеспечивать себя и стыдно,что завишу от родителей, с которыми не хочу иметь ничего общего и страшно  от того, что если я перееду и буду жить одна, я правда останусь совсем одна и не будет никого, у меня нет семьи...кругом эти умные фразы о самостоятельности, самодостаточности, но мне нужна чья то поддержка, чья то защита, чья то забота, что бы меня кто то любил, я устала, и я не знаю где брать силы..........",2020-05-25 02:35,7,https://www.b17.ru/forum/topic.php?id=316181
7,u164943,Omu,"1:50 сижу на кухне, читаю переписку мужа с девушкой он-лайн ","В теме все уже обозначено... лечить меня неперелечить... по всей видимости.С мужем очень сложные отношения, 10 лет в браке.. правда 3 из которых мы не жили вместе.. потом опять начали жить.. на днях купили дом, планировали ремонт.. и он вдруг вспомнил былые обиды, разбудил меня среди ночи и сказал, что не любит, что опа (простите) у меня толстая и что я вообще уже не так хороша как раньше... сказать что я обалдела - это ничего не сказать..Все выслушала и ушла спать в комнату сына (спряталась)Прошло три дня и вот 1:50 я на кухне, а он в нашей спальне... переписывается..как себя вести - ума не приложу...устроить скандал с битьем посуды об голову - как-то не женственно, да и вообще уже было.. только тарелки жалко потом..собраться на пробежку, выпустить пар - страшно, все таки ночь..идти собирать вещи ""к маме"" - только родителей расстраивать..вот сижу читаю... там ничего такого, но какого черта?! Как поступить? Вот прямо сейчас? И вообще глобально?",2020-05-19 01:58,2,https://www.b17.ru/forum/topic.php?id=315383
8,u609689,ebobo,свекроооооофь - моя большая любооооооофь ,"всем доброго дня!бывает, что посторонние люди дают вам не прошенные оценки и советы? вы как это воспринимаете, реагируете? а если это свекровь? как бы вы отнеслись к тому, что на каждый ""чих и пук"" она начинает давать ценные указания, учит как жить, как лечить простуду, как строить семью, как быть хорошей женой и т.д.?если свекровь ведет себя по-хамски, правильно ли будет ответить ей взаимностью, то есть отстоять себя, а не устроить срач, или же невестка должна закрыть глаза и покорно ждать, пока ушат низвергаемого на нее гамна иссякнет?как в идеале должны строиться отношения с матерью, чтобы она была только матерью, а не третьим участником отношений?",2020-05-20 06:16,7,https://www.b17.ru/forum/topic.php?id=315550
9,u175573,Tadas,Не понимаю - это сексизм? ,"В моих темах порой проскакивали мнения которые мне казались очень странными или фанатично сексическими. А вот сейчас взглянул новое видео на на этом сайте ""Финансовый вопрос в браке. Подсказка 2."", там целый клубок этого в одном месте.Это только мне так кажется что это с логикой ни как не вяжется? У меня к такому мнению куча вопросов:1) Если женщина лежит на диване и понукает мужем, а муж ей подчиняется и тяжело работает, то с какого перепугу глава семьи муж? В таком положении получается муж захомутанный ишак, а глава семьи жена.2) Если жена зарабатывает гораздо больше мужа и тратит заработанное на себя то в чём здесь здоровые партнёрские отношения? А если муж зарабатывает гораздо больше жены, а заработанное тратит только на себя одного то это тоже здоровые партнёрские отношения?3) Здесь говориться, что если жена тратит деньги на мужа, значит он лежит на диване, а она ему мамочка. Почему считается, что если жена гораздо больше зарабатывает, значит муж гораздо меньше работает? Это из аналогии как видят свою жизнь женщины - муж тяжело работает, а она лежит на диване и понукает им? И при этом муж не мамочка ей? Почему даже не рассматривается вариант что муж больше работает, только в тыловой сфере семьи?4) Почему здоровое мужское эго это должны быть обязательно ДЕНЬГИ, а зарабатывая меньше жены муж должен чувствовать дискомфорт? Некоторые психологи говорят, что женщины довольно одинаковы, а мужчины совсем разные, разными путями достигают поставленной цели. А цель семьи разве деньги? На мой взгляд цель семьи, это дети, здоровье, безопасность, спокойствие, красивые отношения, имущество, домашний уют. И здоровое мужское эго должно быть направленно на решение этих вопросов. А для их решения нормально использовать все находящиеся в семье ресурсы, в том числе деньги, время, энергию жены. В таком разрезе мне мужчина видится главой семьи, а не выполняющим работы под команду жены. А вам?",2019-12-21 12:23,40,https://www.b17.ru/forum/topic.php?id=294532
